year,state,state_code,chamber,district,race,candidate,party,votes,percentage,winner,incumbent
2008,Arizona,AZ,State House,1,general,Lucy Mason,Republican,55861,38.43,True,True
2008,Arizona,AZ,State House,1,general,Andy Tobin,Republican,52819,36.34,True,True
2008,Arizona,AZ,State House,1,general,Dennis Grittner,Democratic,36669,25.23,False,False
2008,Arizona,AZ,State House,2,general,Christopher Clark Deschene,Democratic,36724,52.51,True,False
2008,Arizona,AZ,State House,2,general,Tom Chabin,Democratic,33211,47.49,True,True
2008,Arizona,AZ,State House,3,general,Nancy McLain,Republican,37815,38.32,True,True
2008,Arizona,AZ,State House,3,general,Doris Goodale,Republican,36177,36.66,True,False
2008,Arizona,AZ,State House,3,general,Pamela Durbin,Democratic,24698,25.03,False,False
2008,Arizona,AZ,State House,4,general,Judy M. Burges,Republican,70071,31.7,True,True
2008,Arizona,AZ,State House,4,general,Tom Boone,Republican,69590,31.48,True,True
2008,Arizona,AZ,State House,4,general,Sue Dolphin,Democratic,42283,19.13,False,False
2008,Arizona,AZ,State House,4,general,Paula S. Forster,Democratic,39118,17.7,False,False
2008,Arizona,AZ,State House,5,general,Bill Konopnicki,Republican,37576,37.72,True,True
2008,Arizona,AZ,State House,5,general,Jack A. Brown,Democratic,31966,32.08,True,True
2008,Arizona,AZ,State House,5,general,Barbara G. Brewer,Republican,30089,30.2,False,False
2008,Arizona,AZ,State House,6,general,Sam Crump,Republican,43389,30.8,True,True
2008,Arizona,AZ,State House,6,general,Carl Seel,Republican,38467,27.3,True,False
2008,Arizona,AZ,State House,6,general,Jack Doody,Democratic,30139,21.39,False,False
2008,Arizona,AZ,State House,6,general,Teri Conrad,Democratic,28894,20.51,False,False
2008,Arizona,AZ,State House,7,general,Nancy Barto,Republican,46854,36.59,True,True
2008,Arizona,AZ,State House,7,general,Ray Barnes,Republican,40471,31.61,True,True
2008,Arizona,AZ,State House,7,general,Jeanne Lunn,Democratic,31753,24.8,False,False
2008,Arizona,AZ,State House,7,general,James Iannuzo,Libertarian,8966,7.0,False,False
2008,Arizona,AZ,State House,8,general,Michele Reagan,Republican,54780,38.29,True,True
2008,Arizona,AZ,State House,8,general,John Kavanagh,Republican,50507,35.3,True,True
2008,Arizona,AZ,State House,8,general,Stephanie Rimmer,Democratic,37793,26.41,False,False
2008,Arizona,AZ,State House,9,general,Debbie Lesko,Republican,37762,28.87,True,False
2008,Arizona,AZ,State House,9,general,Rick Murphy,Republican,35912,27.46,True,True
