year,state,state_code,chamber,district,race,candidate,party,votes,percentage,winner,incumbent
2024,Alaska,AK,State House,1,general,Jeremy Bynum,Republican,4242.0,52.0,True,False
2024,Alaska,AK,State House,1,general,Agnes Moran,Independent,1995.0,24.4,False,False
2024,Alaska,AK,State House,1,general,Grant Echohawk,Independent,1909.0,23.4,False,False
2024,Alaska,AK,State House,2,general,Rebecca Himschoot,Independent,7060.0,97.5,True,True
2024,Alaska,AK,State House,3,general,Andi Story,Democratic,7961.0,96.0,True,True
2024,Alaska,AK,State House,4,general,Sara Hannan,Democratic,7000.0,96.6,True,True
2024,Alaska,AK,State House,5,general,Louise Stutes,Republican,5445.0,77.4,True,True
2024,Alaska,AK,State House,5,general,Leighton Radner,Libertarian,1549.0,22.0,False,False
2024,Alaska,AK,State House,7,general,Justin Ruffridge,Republican,4985.0,58.9,True,True
2024,Alaska,AK,State House,7,general,Ron Gillham,Republican,3398.0,40.2,False,False
2024,Alaska,AK,State House,8,general,Bill Elam,Republican,4655.0,51.5,True,False
2024,Alaska,AK,State House,8,general,John Hillyer,Republican,4249.0,47.0,False,False
2024,Alaska,AK,State House,9,general,Ky Holland,Independent,6085.0,54.3,True,False
2024,Alaska,AK,State House,9,general,Lucy Bauer,Republican,5093.0,45.5,False,False
2024,Alaska,AK,State House,10,general,Chuck Kopp,Republican,4669.0,61.6,True,False
2024,Alaska,AK,State House,10,general,Craig Johnson,Republican,2811.0,37.1,False,True
2024,Alaska,AK,State House,11,general,Julie Coulombe,Republican,4836.0,52.6,True,True
2024,Alaska,AK,State House,11,general,Walter Featherly,Independent,4341.0,47.2,False,False
2024,Alaska,AK,State House,12,general,Calvin Schrage,Independent,4763.0,60.8,True,True
2024,Alaska,AK,State House,12,general,Joe Lurtsema,Republican,3041.0,38.8,False,False
2024,Alaska,AK,State House,13,general,Andy Josephson,Democratic,3743.0,53.3,True,True
2024,Alaska,AK,State House,13,general,Heather Gottshall,Republican,3266.0,46.5,False,False
2024,Alaska,AK,State House,14,general,Alyse Galvin,Independent,4847.0,77.5,True,True
2024,Alaska,AK,State House,14,general,Harry Kamdem,Democratic,1278.0,20.4,False,False
2024,Alaska,AK,State House,15,general,Mia Costello,Republican,4543.0,51.5,True,False
2024,Alaska,AK,State House,15,general,Denny Wells,Democratic,4014.0,45.5,False,False
2024,Alaska,AK,State House,15,general,Dustin Darden,Democratic,242.0,2.8,False,False
2024,Alaska,AK,State House,16,general,Carolyn Hall,Democratic,4860.0,56.6,True,False
2024,Alaska,AK,State House,16,general,Nick Moe (withdrawn),Independent,3649.0,42.5,False,False
2024,Alaska,AK,State House,17,general,Zack Fields,Democratic,5243.0,93.6,True,True
2024,Alaska,AK,State House,18,general,David Nelson,Republican,1878.0,50.2,True,False
2024,Alaska,AK,State House,18,general,Cliff Groh,Democratic,1856.0,49.7,False,True
2024,Alaska,AK,State House,19,general,Genevieve Mina,Democratic,2654.0,60.8,True,True
2024,Alaska,AK,State House,19,general,Kaylee Anderson,Republican,1353.0,31.0,False,False
2024,Alaska,AK,State House,19,general,Russell Wyatt,Independent,338.0,7.8,False,False
2024,Alaska,AK,State House,20,general,Andrew Gray,Democratic,3927.0,63.8,True,True
2024,Alaska,AK,State House,20,general,Scott Kohlhaas,Libertarian,2163.0,35.1,False,False
2024,Alaska,AK,State House,21,general,Donna Mears,Democratic,4664.0,55.4,True,True
2024,Alaska,AK,State House,21,general,Aimée Sims,Republican,3743.0,44.4,False,False
