year,state,state_code,office,candidate,party,percentage,winner,incumbent
2000,Delaware,DE,governor,Ruth Ann Minner,Democratic,59.2,True,False
2000,Delaware,DE,governor,John M. Burris,Republican,39.7,False,False
2000,Delaware,DE,governor,Floyd E. McDowell,Independent,1.0,False,False
2000,Indiana,IN,governor,Frank O'Bannon,Democratic,56.6,True,True
2000,Indiana,IN,governor,David M. McIntosh,Republican,41.7,False,False
2000,Indiana,IN,governor,Andrew Horning,Libertarian,1.8,False,False
2000,Missouri,MO,governor,Bob Holden,Democratic,49.1,True,False
2000,Missouri,MO,governor,Jim Talent,Republican,48.2,False,False
2000,Missouri,MO,governor,Larry Rice,Independent,1.5,False,False
2000,Montana,MT,governor,Judy Martz,Republican,51.0,True,False
2000,Montana,MT,governor,Mark O'Keefe (politician)|Mark O'Keefe,Democratic,47.1,False,False
2000,Montana,MT,governor,Stan Jones (Libertarian politician)|Stan Jones,Libertarian,1.9,False,False
2000,New Hampshire,NH,governor,Jeanne Shaheen,Democratic,48.7,True,True
2000,New Hampshire,NH,governor,Gordon J. Humphrey,Republican,43.7,False,False
2000,New Hampshire,NH,governor,Mary Brown,Independent,6.4,False,False
2000,New Hampshire,NH,governor,John J. Babiarz,Libertarian,1.1,False,False
2000,North Carolina,NC,governor,Mike Easley,Democratic,52.0,True,False
2000,North Carolina,NC,governor,Richard Vinroot,Republican,46.3,False,False
2000,North Carolina,NC,governor,Barbara Howe,Libertarian,1.4,False,False
2000,North Dakota,ND,governor,John Hoeven,Republican,55.0,True,False
2000,North Dakota,ND,governor,Heidi Heitkamp,Democratic,45.0,False,False
2000,Utah,UT,governor,Mike Leavitt,Republican,55.8,True,True
2000,Utah,UT,governor,Bill Orton,Democratic,42.3,False,False
2000,Vermont,VT,governor,Howard Dean,Democratic,50.5,True,True
2000,Vermont,VT,governor,Ruth Dwyer (politician)|Ruth Dwyer,Republican,38.0,False,False
2000,Vermont,VT,governor,Anthony Pollina,Progressive,9.6,False,False
2000,Washington,WA,governor,Gary Locke,Democratic,58.4,True,True
2000,Washington,WA,governor,John Carlson (radio host)|John Carlson,Republican,39.7,False,False
2000,Washington,WA,governor,Steve LePage,Libertarian,1.9,False,False
2000,West Virginia,WV,governor,Bob Wise,Democratic,50.1,True,False
2000,West Virginia,WV,governor,Cecil Underwood,Republican,47.2,False,True
2000,West Virginia,WV,governor,Denise Giardina,Mountain,1.6,False,False
2000,American Samoa,AS,governor,Tauese Sunia,Democratic,51.4,True,True
2000,American Samoa,AS,governor,L. Peter Reid,Independent,48.6,False,False
2000,Puerto Rico,PR,governor,Sila María Calderón,Popular Democratic Party (puerto Rico),48.6,True,False
2000,Puerto Rico,PR,governor,Carlos Pesquera,New Progressive Party (puerto Rico),45.7,False,False
2000,Puerto Rico,PR,governor,Rubén Berríos Martínez,Independence,5.2,False,False
