year,state,state_code,office,election,row_type,candidate,party,votes,percentage,winner,incumbent
2000,Indiana,IN,governor,"Indiana gubernatorial election, 2000",Winning,Frank O'Bannon/Joe Kernan (incumbents),Democratic,1232525,56.56,True,False
2000,Indiana,IN,governor,"Indiana gubernatorial election, 2000",Candidate,David M. McIntosh/J. Murray Clark,Republican,908285,41.68,False,False
2000,Indiana,IN,governor,"Indiana gubernatorial election, 2000",Candidate,Andrew Horning/Mark Schreiber,Libertarian,38458,1.76,False,False
2000,Indiana,IN,governor,"Indiana gubernatorial election, 2000",Total,,,2179268,100.0,False,False
2000,Missouri,MO,governor,2000 Missouri gubernatorial election,Winning,Bob Holden,Democratic,1152752,49.12,True,False
2000,Missouri,MO,governor,2000 Missouri gubernatorial election,Candidate,Jim Talent,Republican,1131307,48.21,False,False
2000,Missouri,MO,governor,2000 Missouri gubernatorial election,Candidate,Larry Rice,Independent,34431,1.47,False,False
2000,Missouri,MO,governor,2000 Missouri gubernatorial election,Candidate,John M. Swenson,Libertarian,11274,0.48,False,False
2000,Missouri,MO,governor,2000 Missouri gubernatorial election,Candidate,Lavoy Reed,Green,9008,0.38,False,False
2000,Missouri,MO,governor,2000 Missouri gubernatorial election,Candidate,Richard Allen Kline,Reform,4916,0.21,False,False
2000,Missouri,MO,governor,2000 Missouri gubernatorial election,Candidate,Richard L. Smith,Constitution,3142,0.13,False,False
2000,Missouri,MO,governor,2000 Missouri gubernatorial election,Total,,,2346830,100.0,False,False
2000,Montana,MT,governor,"Montana gubernatorial election, 2000",Winning,Judy Martz,Republican,209135,50.98,True,False
2000,Montana,MT,governor,"Montana gubernatorial election, 2000",Candidate,Mark O'Keefe,Democratic,193131,47.08,False,False
2000,Montana,MT,governor,"Montana gubernatorial election, 2000",Candidate,Stan Jones,Libertarian,7926,1.93,False,False
2000,North Carolina,NC,governor,2000 North Carolina gubernatorial election,Winning,Mike Easley,Democratic,1530324,52.02,True,False
2000,North Carolina,NC,governor,2000 North Carolina gubernatorial election,Candidate,Richard Vinroot,Republican,1360960,46.26,False,False
2000,North Carolina,NC,governor,2000 North Carolina gubernatorial election,Candidate,Barbara Howe,Libertarian,42674,1.45,False,False
2000,North Carolina,NC,governor,2000 North Carolina gubernatorial election,Candidate,Douglas Schell,Reform,8104,0.28,False,False
2000,Utah,UT,governor,2000 Utah gubernatorial election,Winning,Mike Leavitt,Republican,424837,55.77,True,False
2000,Utah,UT,governor,2000 Utah gubernatorial election,Candidate,Bill Orton,Democratic,321979,42.27,False,False
2000,Utah,UT,governor,2000 Utah gubernatorial election,Candidate,Jeremy Friedbaum,Independent American,14990,1.97,False,False
2000,Utah,UT,governor,2000 Utah gubernatorial election,Total,,,761806,100.0,False,False
2000,Vermont,VT,governor,2000 Vermont gubernatorial election,Winning,Howard Dean,Democratic,148059,50.45,True,True
2000,Vermont,VT,governor,2000 Vermont gubernatorial election,Candidate,Ruth Dwyer,Republican,111359,37.95,False,False
2000,Vermont,VT,governor,2000 Vermont gubernatorial election,Candidate,Anthony Pollina,Progressive,28116,9.58,False,False
2000,Vermont,VT,governor,2000 Vermont gubernatorial election,Candidate,"Phil Stannard, Sr.",Independent,2148,0.73,False,False
2000,Vermont,VT,governor,2000 Vermont gubernatorial election,Candidate,Joel W. Williams,Grassroots,1359,0.46,False,False
2000,Vermont,VT,governor,2000 Vermont gubernatorial election,Candidate,Marilyn Verna Christian,Independent,1054,0.36,False,False
2000,Vermont,VT,governor,2000 Vermont gubernatorial election,Candidate,Hardy Macia,Libertarian,785,0.27,False,False
2000,Vermont,VT,governor,2000 Vermont gubernatorial election,Candidate,Richard F. Gottlieb,Union,337,0.11,False,False
2000,Vermont,VT,governor,2000 Vermont gubernatorial election,Write-in,,,256,0.09,False,False
2000,Washington,WA,governor,2000 Washington gubernatorial election,Winning,Gary Locke,Democratic,1441973,58.38,True,True
2000,Washington,WA,governor,2000 Washington gubernatorial election,Candidate,John Carlson,Republican,980060,39.68,False,False
2000,Washington,WA,governor,2000 Washington gubernatorial election,Candidate,Steve W. LePage,Libertarian,47819,1.94,False,False
2000,Washington,WA,governor,2000 Washington gubernatorial election,Total,,,2469852,100.0,False,False
2000,West Virginia,WV,governor,"West Virginia gubernatorial election, 2000",Winning,Bob Wise,Democratic,324822,50.12,True,False
2000,West Virginia,WV,governor,"West Virginia gubernatorial election, 2000",Candidate,Cecil Underwood,Republican,305926,47.21,False,True
2000,West Virginia,WV,governor,"West Virginia gubernatorial election, 2000",Candidate,Denise Giardina,Mountain,10416,1.61,False,False
2000,West Virginia,WV,governor,"West Virginia gubernatorial election, 2000",Candidate,Bob Myers,Libertarian,5548,0.86,False,False
2000,West Virginia,WV,governor,"West Virginia gubernatorial election, 2000",Candidate,Randall Ashelman,Law,1301,0.2,False,False
2000,West Virginia,WV,governor,"West Virginia gubernatorial election, 2000",Write-in,,,34,0.01,False,False
2000,West Virginia,WV,governor,"West Virginia gubernatorial election, 2000",Total,,,648047,100.0,False,False
