year,state,state_code,office,candidate,party,percentage,winner,incumbent
2008,Delaware,DE,governor,Jack Markell,Democratic,67.5,True,False
2008,Delaware,DE,governor,Bill Lee,Republican,32.1,False,False
2008,Indiana,IN,governor,Mitch Daniels,Republican,57.8,True,True
2008,Indiana,IN,governor,Jill Long Thompson,Democratic,40.1,False,False
2008,Indiana,IN,governor,Andy Horning,Libertarian,2.1,False,False
2008,Missouri,MO,governor,Jay Nixon,Democratic,58.4,True,False
2008,Missouri,MO,governor,Kenny Hulshof,Republican,39.5,False,False
2008,Missouri,MO,governor,Andrew Finkenstadt,Libertarian,1.1,False,False
2008,Missouri,MO,governor,Gregory Thompson,Constitution,1.0,False,False
2008,Montana,MT,governor,Brian Schweitzer,Democratic,65.5,True,True
2008,Montana,MT,governor,Roy Brown,Republican,32.5,False,False
2008,Montana,MT,governor,Stan Jones,Libertarian,2.0,False,False
2008,New Hampshire,NH,governor,John Lynch,Democratic,70.2,True,True
2008,New Hampshire,NH,governor,Joseph Kenney,Republican,27.6,False,False
2008,New Hampshire,NH,governor,Susan Newell,Libertarian,2.2,False,False
2008,North Carolina,NC,governor,Bev Perdue,Democratic,50.3,True,False
2008,North Carolina,NC,governor,Pat McCrory,Republican,46.9,False,False
2008,North Carolina,NC,governor,Michael Munger,Libertarian,2.9,False,False
2008,North Dakota,ND,governor,John Hoeven,Republican,74.4,True,True
2008,North Dakota,ND,governor,Tim Mathern,North Dakota Democratic–nonpartisan League,23.5,False,False
2008,North Dakota,ND,governor,DuWayne Hendrickson,Independent,2.0,False,False
2008,Utah,UT,governor,Jon Huntsman Jr.,Republican,77.6,True,True
2008,Utah,UT,governor,Bob Springmeyer,Democratic,19.7,False,False
2008,Utah,UT,governor,Dell Schanze,Libertarian,2.6,False,False
2008,Vermont,VT,governor,Jim Douglas,Republican,53.4,True,True
2008,Vermont,VT,governor,Anthony Pollina,Independent,21.8,False,False
2008,Vermont,VT,governor,Gaye Symington,Democratic,21.7,False,False
2008,Washington,WA,governor,Christine Gregoire,Democratic,53.2,True,True
2008,Washington,WA,governor,Dino Rossi,Republican,46.8,False,False
2008,West Virginia,WV,governor,Joe Manchin,Democratic,69.8,True,True
2008,West Virginia,WV,governor,Russ Weeks,Republican,25.7,False,False
2008,West Virginia,WV,governor,Jesse Johnson,Mountain,4.5,False,False
2008,American Samoa,AS,governor,Togiola Tulafono,Democratic,56.4,True,True
2008,American Samoa,AS,governor,Utu Abe Malae,Republican,43.6,False,False
2008,Puerto Rico,PR,governor,Luis Fortuño,New Progressive Party (puerto Rico),52.8,True,False
2008,Puerto Rico,PR,governor,Aníbal Acevedo Vilá,Popular Democratic Party (puerto Rico),41.3,False,True
2008,Puerto Rico,PR,governor,Rogelio Figueroa,Rico,2.8,False,False
2008,Puerto Rico,PR,governor,Edwin Irizarry Mora,Independence Party (puerto Rico),2.0,False,False
