year,state,state_code,office,candidate,party,percentage,winner,incumbent
2004,Delaware,DE,governor,Ruth Ann Minner,Democratic,50.9,True,True
2004,Delaware,DE,governor,Bill Lee (Delaware politician)|Bill Lee,Republican,45.8,False,False
2004,Delaware,DE,governor,Frank Infante,Independent,2.9,False,False
2004,Indiana,IN,governor,Mitch Daniels,Republican,53.2,True,False
2004,Indiana,IN,governor,Joe Kernan (politician)|Joe Kernan,Democratic,45.5,False,True
2004,Indiana,IN,governor,Kenn Gividen,Libertarian,1.3,False,False
2004,Missouri,MO,governor,Matt Blunt,Republican,50.8,True,False
2004,Missouri,MO,governor,Claire McCaskill,Democratic,47.8,False,False
2004,Montana,MT,governor,Brian Schweitzer,Democratic,50.4,True,False
2004,Montana,MT,governor,Bob Brown (Montana politician)|Bob Brown,Republican,46.0,False,False
2004,Montana,MT,governor,Bob Kelleher,Green,1.9,False,False
2004,Montana,MT,governor,Stan Jones (Libertarian politician)|Stan Jones,Libertarian,1.7,False,False
2004,New Hampshire,NH,governor,John Lynch,Democratic,51.0,True,False
2004,New Hampshire,NH,governor,Craig Benson,Republican,48.9,False,True
2004,North Carolina,NC,governor,Mike Easley,Democratic,55.6,True,True
2004,North Carolina,NC,governor,Patrick J. Ballantine,Republican,42.9,False,False
2004,North Carolina,NC,governor,Barbara Howe,Libertarian,1.5,False,False
2004,North Dakota,ND,governor,John Hoeven,Republican,71.3,True,True
2004,North Dakota,ND,governor,Joe Satrom,North Dakota Democratic-npl,27.4,False,False
2004,North Dakota,ND,governor,Roland Riemers,Libertarian,1.3,False,False
2004,Utah,UT,governor,Jon Huntsman Jr.,Republican,57.7,True,False
2004,Utah,UT,governor,Scott Matheson Jr.,Democratic,41.3,False,False
2004,Vermont,VT,governor,Jim Douglas,Republican,58.7,True,True
2004,Vermont,VT,governor,Peter Clavelle,Democratic,37.9,False,False
2004,Vermont,VT,governor,Cris Ericson,Marijuana,1.4,False,False
2004,Washington,WA,governor,Christine Gregoire,Democratic,48.9,True,False
2004,Washington,WA,governor,Dino Rossi,Republican,48.9,False,False
2004,Washington,WA,governor,Ruth Bennett,Libertarian,2.3,False,False
2004,West Virginia,WV,governor,Joe Manchin,Democratic,63.5,True,False
2004,West Virginia,WV,governor,Monty Warner,Republican,34.0,False,False
2004,West Virginia,WV,governor,Jesse Johnson (West Virginia politician)|Jesse Johnson,Mountain,2.5,False,False
2004,American Samoa,AS,governor,Togiola Tulafono,Democratic,55.7,True,True
2004,American Samoa,AS,governor,Afoa L.S. Lutu,Independent,44.3,False,False
2004,Puerto Rico,PR,governor,Aníbal Acevedo Vilá,Popular Democratic Party (puerto Rico),48.4,True,False
2004,Puerto Rico,PR,governor,Pedro Rosselló,New Progressive Party (puerto Rico),48.2,False,False
2004,Puerto Rico,PR,governor,Rubén Berríos,Independence,2.7,False,False
