year,state,state_code,office,candidate,party,percentage,winner,incumbent
2003,California {{small|,,governor,Yes,,55.4,True,False
2003,California {{small|,,governor,No,,44.6,False,False
2003,California {{small|,,governor,Arnold Schwarzenegger,Republican,48.6,False,False
2003,California {{small|,,governor,Cruz Bustamante,Democratic,31.5,False,False
2003,California {{small|,,governor,Tom McClintock,Republican,13.4,False,False
2003,California {{small|,,governor,Peter Camejo,Green,2.8,False,False
2003,Kentucky,KY,governor,Ernie Fletcher,Republican,55.0,True,False
2003,Kentucky,KY,governor,Ben Chandler,Democratic,45.0,False,False
2003,Louisiana,LA,governor,Kathleen Blanco,Democratic,52.0,True,False
2003,Louisiana,LA,governor,Bobby Jindal,Republican,48.0,False,False
2003,Mississippi,MS,governor,Haley Barbour,Republican,52.6,True,False
2003,Mississippi,MS,governor,Ronnie Musgrove,Democratic,45.8,False,True
