year,state,state_code,chamber,district,race,candidate,party,votes,percentage,winner,incumbent
2008,Arizona,AZ,State Senate,1,general,Steve Pierce,Republican,58612,60.98,True,False
2008,Arizona,AZ,State Senate,1,general,Pat Chancerelle,Democratic,37512,39.02,False,False
2008,Arizona,AZ,State Senate,2,general,Albert Hale,Democratic,42241,72.91,True,True
2008,Arizona,AZ,State Senate,2,general,Royce Jenkins,Republican,15693,27.09,False,False
2008,Arizona,AZ,State Senate,3,general,Ron Gould,Republican,42730,62.63,True,True
2008,Arizona,AZ,State Senate,3,general,Mary Landahl,Democratic,25499,37.37,False,False
2008,Arizona,AZ,State Senate,4,general,Jack Harper,Republican,73097,60.67,True,True
2008,Arizona,AZ,State Senate,4,general,Robert Boehlke,Democratic,47394,39.33,False,False
2008,Arizona,AZ,State Senate,5,general,Sylvia Tenney Allen,Republican,36347,54.48,True,False
2008,Arizona,AZ,State Senate,5,general,Bill Jeffers,Democratic,30365,45.52,False,False
2008,Arizona,AZ,State Senate,6,general,Pamela Gorman,Republican,47116,59.87,True,True
2008,Arizona,AZ,State Senate,6,general,Jim Larson,Democratic,31579,40.13,False,False
2008,Arizona,AZ,State Senate,7,general,Jim Waring,Republican,46673,57.82,True,True
2008,Arizona,AZ,State Senate,7,general,Lisa Black,Democratic,31583,39.13,False,False
2008,Arizona,AZ,State Senate,7,general,Dennis G. Grenier,Libertarian,2465,3.05,False,False
2008,Arizona,AZ,State Senate,8,general,Carolyn S. Allen,Republican,71125,100.0,True,True
2008,Arizona,AZ,State Senate,9,general,"Robert ""Bob"" Burns",Republican,40214,55.51,True,True
2008,Arizona,AZ,State Senate,9,general,Karen Price,Democratic,32236,44.49,False,False
2008,Arizona,AZ,State Senate,10,general,Linda Gray,Republican,27445,55.26,True,True
2008,Arizona,AZ,State Senate,10,general,Martin Monroe,Democratic,22218,44.74,False,False
2008,Arizona,AZ,State Senate,11,general,Barbara Leff,Republican,43702,54.57,True,True
2008,Arizona,AZ,State Senate,11,general,Ann Wallack,Democratic,36376,45.43,False,False
2008,Arizona,AZ,State Senate,12,general,John Nelson,Republican,52552,52.49,True,False
2008,Arizona,AZ,State Senate,12,general,Angela Cotera,Democratic,47562,47.51,False,False
2008,Arizona,AZ,State Senate,13,general,Richard Miranda,Democratic,23816,100.0,True,True
2008,Arizona,AZ,State Senate,14,general,Debbie McCune-Davis,Democratic,16033,82.45,True,True
2008,Arizona,AZ,State Senate,14,general,Mike Renzulli,Libertarian,3391,17.44,False,False
2008,Arizona,AZ,State Senate,14,general,C.J. Becker,Independent,22,0.11,False,False
2008,Arizona,AZ,State Senate,15,general,Ken Cheuvront,Democratic,30321,100.0,True,True
2008,Arizona,AZ,State Senate,16,general,Leah Landrum,Democratic,33368,73.31,True,True
2008,Arizona,AZ,State Senate,16,general,Daniel J. Veres,Republican,12149,26.69,False,False
2008,Arizona,AZ,State Senate,17,general,Meg Burton-Cahill,Democratic,35720,61.56,True,True
2008,Arizona,AZ,State Senate,17,general,Jesse Hernandez,Republican,22303,38.44,False,False
2008,Arizona,AZ,State Senate,18,general,Russell Pearce,Republican,24232,56.19,True,False
2008,Arizona,AZ,State Senate,18,general,Judah Nativio,Democratic,18889,43.8,False,False
2008,Arizona,AZ,State Senate,18,general,Ilias Kostopoulos,Independent,2,0.0,False,False
2008,Arizona,AZ,State Senate,19,general,Chuck Gray,Republican,58870,100.0,True,True
2008,Arizona,AZ,State Senate,20,general,John Huppenthal,Republican,44245,56.24,True,True
2008,Arizona,AZ,State Senate,20,general,Ted Maish,Democratic,34426,43.76,False,False
2008,Arizona,AZ,State Senate,21,general,Jay Tibshraeny,Republican,77426,100.0,True,True
2008,Arizona,AZ,State Senate,22,general,Thayer Verschoor,Republican,81332,100.0,True,True
2008,Arizona,AZ,State Senate,23,general,Rebecca Rios,Democratic,48203,56.73,True,True
2008,Arizona,AZ,State Senate,23,general,André Campos,Republican,36772,43.27,False,False
2008,Arizona,AZ,State Senate,24,general,Amanda Aguirre,Democratic,29718,76.43,True,True
2008,Arizona,AZ,State Senate,24,general,Jack Kretzer,Green,9167,23.57,False,False
2008,Arizona,AZ,State Senate,25,general,"Manuel V. ""Manny"" Alvarez",Democratic,34269,52.74,True,False
2008,Arizona,AZ,State Senate,25,general,Mary Ann Black,Republican,30703,47.26,False,False
2008,Arizona,AZ,State Senate,26,general,Al Melvin,Republican,48191,51.04,True,False
2008,Arizona,AZ,State Senate,26,general,Cheryl A. Cage,Democratic,46225,48.96,False,False
2008,Arizona,AZ,State Senate,27,general,Jorge Luis Garcia,Democratic,38480,67.24,True,True
2008,Arizona,AZ,State Senate,27,general,Bob Westerman,Republican,18749,32.76,False,False
2008,Arizona,AZ,State Senate,28,general,Paula Aboud,Democratic,53343,100.0,True,True
2008,Arizona,AZ,State Senate,29,general,Linda Lopez,Democratic,37248,100.0,True,False
2008,Arizona,AZ,State Senate,30,general,Jonathan Paton,Republican,64355,60.04,True,False
2008,Arizona,AZ,State Senate,30,general,Georgette W. Valle,Democratic,42827,39.96,False,False
2008,California,CA,State Senate,1,general,Dave Cox,Republican,267426,62.27,True,True
2008,California,CA,State Senate,1,general,Anselmo Chavez,Democratic,162044,37.73,False,False
2008,California,CA,State Senate,3,general,Mark Leno,Democratic,326755,80.21,True,False
2008,California,CA,State Senate,3,general,Sashi McEntee,Republican,80617,19.79,False,False
2008,California,CA,State Senate,5,general,Lois Wolk,Democratic,207108,64.54,True,False
2008,California,CA,State Senate,5,general,Greg Aghazarian,Republican,113778,35.46,False,False
2008,California,CA,State Senate,7,general,Mark DeSaulnier,Democratic,256311,66.54,True,False
2008,California,CA,State Senate,7,general,Christian Amsberry,Republican,128878,33.46,False,False
2008,California,CA,State Senate,9,general,Loni Hancock,Democratic,272225,77.22,True,False
2008,California,CA,State Senate,9,general,Claudia Bermudez,Republican,53299,15.12,False,False
2008,California,CA,State Senate,9,general,Marsha Feinland,Freedom,26996,7.66,False,False
2008,California,CA,State Senate,11,general,Joe Simitian,Democratic,272154,74.82,True,True
2008,California,CA,State Senate,11,general,Blair Nathan,Republican,91592,25.18,False,False
2008,California,CA,State Senate,13,general,Elaine Alquist,Democratic,179855,70.94,True,True
2008,California,CA,State Senate,13,general,Shane Connolly,Republican,57033,22.49,False,False
2008,California,CA,State Senate,13,general,John Webster,Libertarian,16659,6.57,False,False
2008,California,CA,State Senate,15,general,Abel Maldonado,Republican,222617,62.91,True,True
2008,California,CA,State Senate,15,general,Jim Fitzgerald,Independent (politician),131229,37.09,False,False
2008,California,CA,State Senate,17,general,George Runner,Republican,182295,54.85,True,True
2008,California,CA,State Senate,17,general,Bruce McFarland,Democratic,150060,45.15,False,False
2008,California,CA,State Senate,19,general,Tony Strickland,Republican,207976,50.1,True,False
2008,California,CA,State Senate,19,general,Hannah-Beth Jackson,Democratic,207119,49.9,False,False
2008,California,CA,State Senate,19,general,Peter Diederich (write-in),Independent (politician),14,0.0,False,False
2008,California,CA,State Senate,21,general,Carol Liu,Democratic,204737,66.88,True,False
2008,California,CA,State Senate,21,general,Teddy Choi,Republican,77525,25.33,False,False
