year,state,state_code,chamber,district,race,candidate,party,votes,percentage,winner,incumbent
2012,Alaska,AK,State Senate,ALASKA SENATE,general,John Coghill,Republican,9464.0,60.35,True,True
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Joe Thomas,Democratic,6175.0,39.38,False,True
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Pete Kelly,Republican,6232.0,54.11,True,False
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Joe Paskvan,Democratic,5249.0,45.58,False,True
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Click Bishop,Republican,10051.0,70.4,True,False
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Anne Sudkamp,Democratic,4074.0,28.54,False,False
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Mike Dunleavy,Republican,11724.0,94.24,True,False
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Charlie Huggins,Republican,9828.0,77.65,True,True
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Susan Herman,Democratic,2790.0,22.04,False,False
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Fred Dyson,Republican,9954.0,75.15,True,True
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Martin Lindeke,Democratic,3238.0,24.45,False,False
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Bill Wielechowski,Democratic,6378.0,56.02,True,True
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Bob Roses,Republican,4977.0,43.72,False,False
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Berta Gardner,Democratic,6950.0,59.23,True,False
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Don Smith,Republican,4730.0,40.31,False,False
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Johnny Ellis,Democratic,6818.0,67.87,True,True
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Paul Kendall,Republican,3190.0,31.75,False,False
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Hollis French,Democratic,7593.0,50.01,True,True
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Bob Bell,Republican,7542.0,49.68,False,False
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Lesil McGuire,Republican,9291.0,66.02,True,True
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Roselynn Cacy,Democratic,4694.0,33.35,False,False
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Kevin Meyer,Republican,10304.0,72.41,True,True
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Jacob Hale,Democratic,3894.0,27.36,False,False
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Anna Fairclough,Republican,11012.0,62.12,True,False
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Bettye Davis,Democratic,6676.0,37.66,False,True
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Cathy Giessel,Republican,10405.0,58.8,True,True
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Ron Devon,Independent,7202.0,40.7,False,False
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Peter Micciche,Republican,12947.0,94.61,True,False
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Bert Stedman,Republican,9829.0,64.3,True,True
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Albert Kookesh,Democratic,5413.0,35.41,False,True
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Gary Stevens,Republican,7673.0,69.76,True,True
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Robert Henrichs,Democratic,3277.0,29.79,False,False
2012,Alaska,AK,State Senate,ALASKA SENATE,general,Lyman Hoffman,Democratic,8194.0,95.07,True,True
