Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage,name,pad
2020,Tennessee,Republican primary results,Primary,Candidate,False,Natisha Brooks,Republican Party (United States),"8,072",1.24%,,
2020,Tennessee,Republican primary results,Primary,Candidate,False,Byron Bush,Republican Party (United States),"5,420",0.83%,,
2020,Tennessee,Republican primary results,Primary,Candidate,False,Clifford Adkins,Republican Party (United States),"5,316",0.81%,,
2020,Tennessee,Republican primary results,Primary,Candidate,False,Terry Dicus,Republican Party (United States),"2,279",0.35%,,
2020,Tennessee,Republican primary results,Primary,Candidate,False,"Tom Emerson, Jr.",Republican Party (United States),"2,252",0.35%,,
2020,Tennessee,Republican primary results,Primary,Candidate,False,David Schuster,Republican Party (United States),"2,045",0.31%,,
2020,Tennessee,Republican primary results,Primary,Candidate,False,John Osborne,Republican Party (United States),"1,877",0.29%,,
2020,Tennessee,Republican primary results,Primary,Candidate,False,Roy Dale Cope,Republican Party (United States),"1,791",0.27%,,
2020,Tennessee,Republican primary results,Primary,Candidate,False,Kent Morrell,Republican Party (United States),"1,769",0.27%,,
2020,Tennessee,Republican primary results,Primary,Candidate,False,Aaron Pettigrew,Republican Party (United States),"1,622",0.25%,,
2020,Tennessee,Republican primary results,Primary,Candidate,False,"Glen Neal, Jr.",Republican Party (United States),"1,233",0.19%,,
2020,Tennessee,Republican primary results,Primary,Total,False,,,"652,724",100.00%,,
2020,Tennessee,Democratic primary results,Primary,Winning,False,Marquita Bradshaw,Democratic Party (United States),"117,962",35.51%,,
2020,Tennessee,Democratic primary results,Primary,Candidate,False,Robin Kimbrough Hayes,Democratic Party (United States),"88,492",26.64%,,
2020,Tennessee,Democratic primary results,Primary,Candidate,False,James Mackler,Democratic Party (United States),"78,966",23.77%,,
2020,Tennessee,Democratic primary results,Primary,Candidate,False,Gary G. Davis,Democratic Party (United States),"30,758",9.26%,,
2020,Tennessee,Democratic primary results,Primary,Candidate,False,Mark Pickrell,Democratic Party (United States),"16,045",4.83%,,
2020,Tennessee,Democratic primary results,Primary,Total,False,,,"332,223",100.00%,,
2020,Texas,Republican primary results,Primary,Winning,True,John Cornyn,Republican Party (United States),"1,470,669",76.04%,,
2020,Texas,Republican primary results,Primary,Total,False,,,"1,934,047",100.0%,,
2020,Texas,Democratic primary results,Primary,Winning,False,Royce West,Democratic Party (United States),"274,074",14.66%,,
2020,Texas,Democratic primary results,Primary,Candidate,False,Cristina Tzintzún Ramirez,Democratic Party (United States),"246,659",13.19%,,
2020,Texas,Democratic primary results,Primary,Candidate,False,"Annie ""Mamá"" Garcia",Democratic Party (United States),"191,900",10.27%,,
2020,Texas,Democratic primary results,Primary,Candidate,False,[[Amanda Edwards (politician),Democratic Party (United States),"189,624",10.14%,,
2020,Texas,Democratic primary results,Primary,Candidate,False,Sema Hernandez,Democratic Party (United States),"137,892",7.38%,,
2020,Texas,Democratic primary results,Primary,Candidate,False,Michael Cooper,Democratic Party (United States),"92,463",4.95%,,
2020,Texas,Democratic primary results,Primary,Candidate,False,Victor Hugo Harris,Democratic Party (United States),"59,710",3.19%,,
2020,Texas,Democratic primary results,Primary,Candidate,False,Adrian Ocegueda,Democratic Party (United States),"41,566",2.22%,,
2020,Texas,Democratic primary results,Primary,Candidate,False,Jack Daniel Foster Jr.,Democratic Party (United States),"31,718",1.70%,,
2020,Texas,Democratic primary results,Primary,Candidate,False,D. R. Hunter,Democratic Party (United States),"26,902",1.44%,,
2020,Texas,Democratic primary results,Primary,Total,False,,,"1,869,419",100.0%,,
2020,Texas,Democratic primary runoff results,Primary,Winning,False,MJ Hegar,Democratic Party (United States),"502,516",52.24%,,
2020,Texas,Democratic primary runoff results,Primary,Candidate,False,Royce West,Democratic Party (United States),"459,457",47.76%,,
2020,Texas,Democratic primary runoff results,Primary,Total,False,,,"961,973",100.0%,,
2020,Virginia,Republican primary results,Primary,Winning,False,Daniel Gade,Republican Party (United States),"208,754",67.40%,,
2020,Virginia,Republican primary results,Primary,Candidate,False,Alissa Baldwin,Republican Party (United States),"56,165",18.13%,,
2020,Virginia,Republican primary results,Primary,Candidate,False,Thomas Speciale,Republican Party (United States),"44,795",14.46%,,
2020,Virginia,Republican primary results,Primary,Total,False,,,"309,714",100.0%,,
2020,West Virginia,Republican primary results,Primary,Winning,True,Shelley Moore Capito,Republican Party (United States),"173,847",83.32%,,
2020,West Virginia,Republican primary results,Primary,Total,False,,,"208,639",100.00%,,
2020,West Virginia,Democratic primary results,Primary,Winning,False,Paula Jean Swearengin,Democratic Party (United States),"72,292",38.39%,,
2020,West Virginia,Democratic primary results,Primary,Total,False,,,"188,294",100.00%,,
2020,Wyoming,Republican primary results,Primary,Winning,False,Cynthia Lummis,Republican Party (United States),"63,511",59.67%,,
2020,Wyoming,Republican primary results,Primary,Total,False,,,"106,438",100.00%,,
2020,Wyoming,Democratic primary results,Primary,Winning,False,Merav Ben-David,Democratic Party (United States),"9,584",40.28%,,
2020,Wyoming,Democratic primary results,Primary,Total,False,,,"23,792",100.00%,,
