Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1940,Arizona,"United States Senate election in Arizona, 1940",General,Winning,False,Democratic Party (United States),Ernest McFarland,"101,495",71.61%
1940,Arizona,"United States Senate election in Arizona, 1940",General,Candidate,False,Republican Party (United States),"Irving A. Jennings, Sr.","39,657",27.98%
1940,Arizona,"United States Senate election in Arizona, 1940",General,Candidate,False,Prohibition Party (United States),A. Walter Gehres,579,0.41%
1940,California,1940 United States Senate election in California,General,Candidate,False,Prohibition Party (United States),Fred Dyster,"366,044",13.51%
1940,California,1940 United States Senate election in California,General,Candidate,False,Communist Party (United States),Anita Whitney,"97,478",3.60%
1940,California,1940 United States Senate election in California,General,Candidate,False,Independent politician,John Anson Ford (write-in),"7,415",0.27%
1940,California,1940 United States Senate election in California,General,Total,False,,,"2,709,836",100.00%
1940,Connecticut,1940 U.S. Senate election in Connecticut,General,Candidate,False,Union Party (United States),Paul L. Cornell,798,0.10%
1940,Connecticut,1940 U.S. Senate election in Connecticut,General,Candidate,False,Socialist Labor Party of America,James A. Hutchin,"1,343",0.17%
1940,Connecticut,1940 U.S. Senate election in Connecticut,General,Total,False,,,"784,067",100.00%
1940,Delaware,1940 U.S. Senate election in Delaware,General,Total,False,,,"134,879",100.00%
1940,Florida,1940 Democratic U.S. Senate runoff,General,Winning,True,Democratic Party (United States),Charles O. Andrews,"312,293",69.41%
1940,Florida,1940 Democratic U.S. Senate runoff,General,Candidate,False,Democratic Party (United States),Jerry W. Carter,"137,641",30.59%
1940,Florida,1940 Democratic U.S. Senate runoff,General,Total,False,,,"449,934",100.00%
1940,Florida,General election results,General,Total,False,,,"323,216",100.00%
1940,Illinois (special),1940 United States Senate special election in Illinois,General,Winning,False,Republican Party (United States),C. Wayland Brooks,"2,045,924",50.07
1940,Illinois (special),1940 United States Senate special election in Illinois,General,Candidate,True,Democratic Party (United States),James M. Slattery,"2,025,097",49.56
1940,Illinois (special),1940 United States Senate special election in Illinois,General,Candidate,False,Prohibition Party,Enoch A. Holtwick,"3,844",0.21
1940,Illinois (special),1940 United States Senate special election in Illinois,General,Candidate,False,Socialist Party of America,Clarence H. Mayer,"2,281",0.16
1940,Illinois (special),1940 United States Senate special election in Illinois,General,Write-in,False,,,7,0.00
1940,Indiana,1940 U.S. Senate election in Indiana,General,Total,False,,,"1,760,245",100.00%
1940,Maine,1940 U.S. Senate election in Maine,General,Candidate,False,Independent (politician),Lewis Gordon,305,0.12%
1940,Maine,1940 U.S. Senate election in Maine,General,Total,False,,,"256,194",100.00%
1940,Maryland,1940 U.S. Senate election in Maryland,General,Candidate,False,Independent (politician),David L. Elliot,"3,423",0.56%
1940,Maryland,1940 U.S. Senate election in Maryland,General,Total,False,,,"608,948",100.00%
1940,Massachusetts,194 U.S. Senate election in Massachusetts,General,Total,False,,,"2,062,281",100.00%
1940,Michigan,1940 U.S. Senate election in Michigan,General,Candidate,False,Prohibition Party (US),Carroll P. Pahman,937,0.05%
1940,Michigan,1940 U.S. Senate election in Michigan,General,Total,False,,,"2,000,342",100.00%
1940,Minnesota,General election results,General,Winning,True,Republican Party of Minnesota,Henrik Shipstead,"641,049",53.01%
1940,Minnesota,General election results,General,Candidate,False,Farmer–Labor Party,Elmer A. Benson,"310,875",25.71%
1940,Minnesota,General election results,General,Candidate,False,Democratic Party of Minnesota,John E. Regan,"248,658",20.56%
1940,Minnesota,General election results,General,Candidate,False,Trotskyist Anti-War Party (United States),[[Grace Carlson,"8,761",0.72%
1940,Minnesota,General election results,General,Candidate,False,Independent (politician),Carl Winter,256,0.02
1940,Minnesota,General election results,General,Total,False,,,"1,209,343",100.00%
1940,Mississippi,1940 United States Senate election,General,Total,False,,,"143,333",100.00%
1940,Missouri,"Missouri United States Senate election, 1940",General,Winning,True,Democratic Party (United States),Harry S. Truman,"930,775",51.17
1940,Missouri,"Missouri United States Senate election, 1940",General,Candidate,False,Republican Party (United States),Manvel H. Davis,"886,376",48.73
1940,Missouri,"Missouri United States Senate election, 1940",General,Candidate,False,Socialist Party of America,W.F. Rinck,"1,669",0.09
1940,Missouri,"Missouri United States Senate election, 1940",General,Candidate,False,Socialist Labor Party of America,Theodore Baeff,196,0.01
1940,Missouri,"Missouri United States Senate election, 1940",General,Total,False,,,"1,819,016",100
1940,Montana,"United States Senate election in Montana, 1940",General,Winning,True,Democratic Party (United States),Burton K. Wheeler,"176,753",73.43%
1940,Montana,"United States Senate election in Montana, 1940",General,Candidate,False,Republican Party (United States),E. K. Cheadle,"63,941",26.57%
1940,Nebraska,1940 United States Senate election in Nebraska,General,Winning,False,Republican Party (United States),Hugh A. Butler,"340,250",57.00%
1940,Nebraska,1940 United States Senate election in Nebraska,General,Candidate,False,Democratic Party (United States),Robert Leroy Cochran,"247,659",41.49%
1940,Nebraska,1940 United States Senate election in Nebraska,General,Candidate,False,Independent (politician),Albert F. Ruthven,"8,982",1.50%
1940,Nebraska,1940 United States Senate election in Nebraska,General,Total,False,,,"596,891",100.00%
1940,Nevada,1940 United States Senate election in Arizona,General,Winning,False,Democratic Party (US),Ernest McFarland,"101,495",71.6
1940,Nevada,1940 United States Senate election in Arizona,General,Winning,True,Republican Party (US),Hiram W. Johnson,"2,238,899",82.50
1940,Nevada,1940 United States Senate election in Arizona,General,Winning,True,Democratic Party (US),Francis T. Maloney,"416,740",53.15
1940,Nevada,1940 United States Senate election in Arizona,General,Winning,False,Democratic Party (US),James M. Tunnell,"68,294",50.63
1940,Nevada,1940 United States Senate election in Arizona,General,Winning,True,Democratic Party (US),Charles O. Andrews,"323,216",100.00
1940,Nevada,1940 United States Senate election in Arizona,General,Winning,False,Republican Party (US),[[John Thomas (Idaho politician),"124,535",52.96
1940,Nevada,1940 United States Senate election in Arizona,General,Winning,False,Republican Party (US),Charles W. Brooks,"2,045,924",50.07
