Year,State,Primary_Type,Poll_Source,Date,Sample,MoE,Candidate,Party,Pct,Incumbent
2024,Arizona,Democratic Primary,Emerson College,"August 2–4, 2023",571 (LV),,Ruben Gallego,D,48%,False
2024,Arizona,Democratic Primary,Emerson College,"August 2–4, 2023",571 (LV),,Alexander Keller,D,6%,False
2024,Arizona,Republican Primary,Rasmussen Reports,"February 21–26, 2024",469 (LV),± 3.0%,Kari Lake,R,55%,False
2024,Arizona,Republican Primary,Rasmussen Reports,"February 6–13, 2024",384 (RV),± 5.0%,Kari Lake,R,54%,False
2024,Arizona,Republican Primary,Rasmussen Reports,"February 21–26, 2024",469 (LV),± 3.0%,Mark Lamb,R,26%,False
2024,Arizona,Republican Primary,Rasmussen Reports,"February 6–13, 2024",384 (RV),± 5.0%,Mark Lamb,R,21%,False
2024,Connecticut,Republican Primary,MassINC Polling Group,"September 12–18, 2024",800 (LV),± 3.7%,Chris Murphy,D,51%,True
2024,Connecticut,Republican Primary,MassINC Polling Group,"September 12–18, 2024",800 (LV),± 3.7%,Matthew Corey,R,35%,False
2024,Florida,Democratic Primary,Mainstreet Research,"June 8–9, 2024",346 (RV),± 3.3%,Alan Grayson,D,12%,False
2024,Florida,Democratic Primary,Mainstreet Research,"June 8–9, 2024",346 (RV),± 3.3%,Powell,D,43%,False
2024,Indiana,Republican Primary,SlideShare,"December 9–16, 2022",503 (RV),±4.3%,Jim Banks,R,14%,False
2024,Indiana,Republican Primary,SlideShare,"December 9–16, 2022",503 (RV),±4.3%,Mitch Daniels,R,35%,False
2024,Indiana,Republican Primary,SlideShare,"December 9–16, 2022",503 (RV),±4.3%,Trey Hollingsworth,R,6%,False
2024,Indiana,Republican Primary,SlideShare,"December 9–16, 2022",503 (RV),±4.3%,Victoria Spartz,R,14%,False
2024,Maine,Democratic Primary,University of New Hampshire,"October 29 – November 2, 2024","1,485 (LV)",± 2.4%,Angus King,I,50%,True
