Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1920,Alabama,1920 United States Senate Democratic primary,Primary,Winning,False,Democratic Party (United States),Edwin S. Broussard,"49,718",45.74%
1920,Alabama,1920 United States Senate Democratic primary,Primary,Candidate,False,Democratic Party (United States),Jared Y. Sanders Sr.,"43,425",39.95%
1920,Alabama,1920 United States Senate Democratic primary,Primary,Candidate,False,Democratic Party (United States),Donelson Caffery III,"15,563",14.32%
1920,Alabama,1920 United States Senate Democratic primary,Primary,Total,False,,,"108,706",100.00%
1920,Arizona,Democratic primary results,Primary,Winning,True,Democratic Party (United States),Marcus A. Smith,"10,910",37.1%
1920,Arizona,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Rawghlie Clement Stanford,"8,400",28.5%
1920,Arizona,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Albinus A. Worsley,"7,474",25.4%
1920,Arizona,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),John W. Norton,"2,651",9.0%
1920,Arizona,Democratic primary results,Primary,Total,False,,,"29,435",100.0
1920,Arizona,Republican primary results,Primary,Winning,False,Republican Party (United States),Ralph H. Cameron,"4,587",40.7%
1920,Arizona,Republican primary results,Primary,Candidate,False,Republican Party (United States),Elias S. Clark,"3,941",34.9%
1920,Arizona,Republican primary results,Primary,Candidate,False,Republican Party (United States),Thomas Maddock,"2,194",19.4%
1920,Arizona,Republican primary results,Primary,Candidate,False,Republican Party (United States),Edward Robinson,563,5.0%
1920,Arizona,Republican primary results,Primary,Total,False,,,"11,285",100.0
1920,Arkansas,1920 United States Senate Democratic primary,Primary,Winning,False,Democratic Party (United States),Edwin S. Broussard,"49,718",45.74%
1920,Arkansas,1920 United States Senate Democratic primary,Primary,Candidate,False,Democratic Party (United States),Jared Y. Sanders Sr.,"43,425",39.95%
1920,Arkansas,1920 United States Senate Democratic primary,Primary,Candidate,False,Democratic Party (United States),Donelson Caffery III,"15,563",14.32%
1920,Arkansas,1920 United States Senate Democratic primary,Primary,Total,False,,,"108,706",100.00%
1920,California,1920 Republican Senate primary,Primary,Winning,False,Republican Party (United States),Samuel Morgan Shortridge,"132,165",40.40%
1920,California,1920 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),[[William Kent (American politician),"110,269",33.71%
1920,California,1920 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),Albert Joseph Wallace,"84,711",25.89%
1920,California,1920 Republican Senate primary,Primary,Total,False,,,"327,145",100.00%
1920,Colorado,Democratic primary results,Primary,Winning,False,Democratic Party (United States),Tully Scott,"22,740",43.16
1920,Colorado,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),W. R. Callicotte,"22,660",43.01
1920,Colorado,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),William C. Danks,"7,283",13.82
1920,Colorado,Democratic primary results,Primary,Total,False,,,"52,683",100.00
1920,Colorado,Republican primary results,Primary,Winning,False,Republican Party (United States),Samuel D. Nicholson,"31,778",41.38
1920,Colorado,Republican primary results,Primary,Candidate,False,Republican Party (United States),Karl C. Schuyler,"31,372",40.85
1920,Colorado,Republican primary results,Primary,Candidate,False,Republican Party (United States),Rice W. Means,"13,650",17.77
1920,Colorado,Republican primary results,Primary,Total,False,,,"76,800",100.00
1920,Florida,1920 United States Senate Democratic primary,Primary,Winning,False,Democratic Party (United States),Edwin S. Broussard,"49,718",45.74%
1920,Florida,1920 United States Senate Democratic primary,Primary,Candidate,False,Democratic Party (United States),Jared Y. Sanders Sr.,"43,425",39.95%
1920,Florida,1920 United States Senate Democratic primary,Primary,Candidate,False,Democratic Party (United States),Donelson Caffery III,"15,563",14.32%
