Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage,title,url,website,publisher
1978,Kansas,1978 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),Jan Meyers,"20,933",9.51%,,,,
1978,Kansas,1978 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),Deryl K. Schuster,"18,568",8.44%,,,,
1978,Kansas,1978 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),Norman Gaar,"14,502",6.59%,,,,
1978,Kansas,1978 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),Ken Henderson,"8,826",4.01%,,,,
1978,Kansas,1978 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),Bill Gibbs,"3,123",1.42%,,,,
1978,Kansas,1978 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),L. C. Fitzjarrell,"2,457",1.12%,,,,
1978,Kansas,1978 Republican Senate primary,Primary,Total,False,,,"220,142",100.00%,,,,
1978,Kansas,1978 Democratic Senate primary,Primary,Winning,False,Democratic Party (United States),Bill Roy,"100,508",76.68%,,,,
1978,Kansas,1978 Democratic Senate primary,Primary,Candidate,False,Democratic Party (United States),Dorothy K. White,"13,865",10.58%,,,,
1978,Kansas,1978 Democratic Senate primary,Primary,Candidate,False,Democratic Party (United States),James R. Maher,"11,556",8.82%,,,,
1978,Kansas,1978 Democratic Senate primary,Primary,Candidate,False,Democratic Party (United States),Roland W. Preboth,"5,138",3.92%,,,,
1978,Kansas,1978 Democratic Senate primary,Primary,Total,False,,,"131,067",100.00%,,,,
1978,Kentucky,Democratic primary results,Primary,Winning,True,Democratic Party (United States),Walter Dee Huddleston,"89,333",75.62%,,,,
1978,Kentucky,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Jack Watson,"13,177",11.15%,,,,
1978,Kentucky,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),William Taylor,"8,710",7.37%,,,,
1978,Kentucky,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),George Tolhurst,"6,921",5.86%,,,,
1978,Kentucky,Republican Primary results,Primary,Winning,False,Republican Party (United States),Louie Guenthner Jr.,"14,218",47.21%,,,,
1978,Kentucky,Republican Primary results,Primary,Candidate,False,Republican Party (United States),Oline Carmical,"9,346",31.04%,,,,
1978,Kentucky,Republican Primary results,Primary,Candidate,False,Republican Party (United States),Thurman Jerome Hamlin,"6,550",21.75%,,,,
1978,Louisiana,1978 U.S. Senate primary,Primary,Winning,True,Democratic Party (United States),J. Bennett Johnston,"498,773",59.4%,,,,
1978,Louisiana,1978 U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Woody Jenkins,"340,896",40.6%,,,,
1978,Louisiana,1978 U.S. Senate primary,Primary,Total,False,,,"839,669",100%,,,,
1978,Massachusetts,Republican primary,Primary,Winning,True,Republican Party (United States),Edward Brooke,"146,351",53.25%,,,,
1978,Massachusetts,Republican primary,Primary,Candidate,False,Republican Party (United States),Avi Nelson,"128,388",46.72%,,,,
1978,Massachusetts,Republican primary,Primary,Write-in,False,,,78,0.03%,,,,
1978,Massachusetts,Republican primary,Primary,Total,False,,,"274,807",0.03%,,,,
1978,Massachusetts,Democratic primary,Primary,Winning,False,Democratic Party (United States),Paul Tsongas,"296,915",35.55%,,,,
1978,Massachusetts,Democratic primary,Primary,Candidate,False,Democratic Party (United States),Paul Guzzi,"258,960",31.01%,,,,
