Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage,title,url,website,publisher
1978,Tennessee,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),J.D. Lee,"89,939",15.83%,,,,
1978,Tennessee,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),James Boyd,"48,458",8.53%,,,,
1978,Tennessee,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Walter Bradley,"22,130",3.90%,,,,
1978,Tennessee,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Douglas Heinsohn,"17,787",3.13%,,,,
1978,Tennessee,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),James Foster,"10,671",1.88%,,,,
1978,Tennessee,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Virginia Nyabongo,"7,682",1.35%,,,,
1978,Tennessee,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Charles Vick,"4,414",0.78%,,,,
1978,Tennessee,Democratic primary results,Primary,Total,False,,,"568,179",100.00%,,,,
1978,Texas,Republican primary results,Primary,Winning,True,Republican Party (United States),John Tower,"142,202",100.00%,,,,
1978,Texas,Republican primary results,Primary,Total,False,,,"142,202",100.00%,,,,
1978,Texas,Democratic primary results,Primary,Winning,False,Democratic Party (United States),Bob Krueger,"853,460",54.67,,,,
1978,Texas,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Joe Christie,"707,738",45.33,,,,
1978,Texas,Democratic primary results,Primary,Total,False,,,"1,561,198",100.0,,,,
1978,West Virginia,1978 Democratic Senate primary,Primary,Winning,True,Democratic Party (United States),Jennings Randolph,"181,480",80.49%,,,,
1978,West Virginia,1978 Democratic Senate primary,Primary,Candidate,False,Democratic Party (United States),Sharon Rogers,"43,991",19.51%,,,,
1978,West Virginia,1978 Democratic Senate primary,Primary,Total,False,,,"225,471",100.00%,,,,
1978,West Virginia,1978 Democratic Senate primary,Primary,Winning,False,Republican Party (United States),Arch Moore,"90,406",90.57%,,,,
1978,West Virginia,1978 Democratic Senate primary,Primary,Candidate,False,Republican Party (United States),Donald G. Michels,"9,414",9.43%,,,,
1978,West Virginia,1978 Democratic Senate primary,Primary,Total,False,,,"99,820",100.00%,,,,
1978,Wyoming,Republican primary,Primary,Winning,False,Republican Party (United States),Alan K. Simpson,"37,332",54.66%,,,,
1978,Wyoming,Republican primary,Primary,Candidate,False,Republican Party (United States),Hugh Binford,"20,768",30.41%,,,,
1978,Wyoming,Republican primary,Primary,Candidate,False,Republican Party (United States),Gordon H. Barrows,"8,494",12.44%,,,,
1978,Wyoming,Republican primary,Primary,Candidate,False,Republican Party (United States),James G. Maxey,"1,709",2.50%,,,,
1978,Wyoming,Republican primary,Primary,Total,False,,,"68,303",100.00%,,,,
1978,Wyoming,Democratic primary,Primary,Winning,False,Democratic Party (United States),Raymond B. Whitaker,"19,854",47.62%,,,,
1978,Wyoming,Democratic primary,Primary,Candidate,False,Democratic Party (United States),Dean M. Larson,"11,039",26.48%,,,,
1978,Wyoming,Democratic primary,Primary,Candidate,False,Democratic Party (United States),Charles Carroll,"10,797",25.90%,,,,
1978,Wyoming,Democratic primary,Primary,Total,False,,,"41,690",100.00%,,,,
