Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage
1914,Alabama (special),1914 United States Senate special election in Alabama,General,Winning,False,Frank White,Democratic Party (United States),"84,720",99.93%
1914,Alabama (special),1914 United States Senate special election in Alabama,General,Write-in,False,,,58,0.07%
1914,Alabama (special),1914 United States Senate special election in Alabama,General,Total,False,,,"84,778",100.00%
1914,Alabama,1914 United States Senate election in Alabama,General,Winning,False,Oscar Underwood,Democratic Party (United States),"63,389",78.13%
1914,Alabama,1914 United States Senate election in Alabama,General,Candidate,False,Alex C. Birch,Republican Party (United States),"12,320",15.18%
1914,Alabama,1914 United States Senate election in Alabama,General,Candidate,False,Adolphus P. Longshore,Bull Moose Party,"4,263",5.25%
1914,Alabama,1914 United States Senate election in Alabama,General,Candidate,False,S. F. Hinton,Socialist Party (United States),"1,159",1.43%
1914,Alabama,1914 United States Senate election in Alabama,General,Write-in,False,,,2,0.00%
1914,Alabama,1914 United States Senate election in Alabama,General,Total,False,,,"81,133",100.00%
1914,Arizona,"United States Senate election in Arizona, 1914",General,Winning,True,Marcus A. Smith,Democratic Party (United States),"25,800",53.23%
1914,Arizona,"United States Senate election in Arizona, 1914",General,Candidate,False,Don Lorenzo Hubbell,Republican Party (United States),"9,183",18.95%
1914,Arizona,"United States Senate election in Arizona, 1914",General,Candidate,False,Eugene W. Chafin,Independent (politician),"7,293",15.05%
1914,Arizona,"United States Senate election in Arizona, 1914",General,Candidate,False,Bert Davis,Socialist Party (United States),"3,582",7.39%
1914,Arizona,"United States Senate election in Arizona, 1914",General,Candidate,False,J. Bernard Nelson,"Progressive Party (United States, 1912)","2,608",5.38%
1914,California,1914 United States Senate election in California,General,Winning,False,James Duval Phelan,Democratic Party (United States),"279,896",31.59%
1914,California,1914 United States Senate election in California,General,Candidate,False,Francis J. Heney,"Progressive Party (US, 1912)","255,232",28.81%
1914,California,1914 United States Senate election in California,General,Candidate,False,Joseph R. Knowland,Republican Party (United States),"254,159",28.69%
1914,California,1914 United States Senate election in California,General,Candidate,False,Ernest Untermann,Socialist Party USA,"56,805",6.41%
1914,California,1914 United States Senate election in California,General,Candidate,False,Frederick F. Wheeler,Prohibition Party (United States),"39,921",4.51%
1914,California,1914 United States Senate election in California,General,Total,False,,,"886,013",100.00%
1914,Colorado,1914 United States Senate election in Colorado,General,Winning,False,Charles S. Thomas (inc.),Democratic Party (United States),"102,037",40.30%
1914,Colorado,1914 United States Senate election in Colorado,General,Candidate,False,Hubert Work,Republican Party (United States),"98,728",38.99%
1914,Colorado,1914 United States Senate election in Colorado,General,Candidate,False,Benjamin Griffith,"Progressive Party (United States, 1912)","27,042",10.68%
1914,Colorado,1914 United States Senate election in Colorado,General,Candidate,False,J. C. Griffiths,Socialist Party (United States),"13,943",5.51%
1914,Colorado,1914 United States Senate election in Colorado,General,Total,False,,,"253,183",100.00%
1914,Connecticut,1914 U.S. Senate election in Connecticut,General,Winning,True,Frank B. Brandegee,Republican Party (US),"89,983",49.77%
1914,Connecticut,1914 U.S. Senate election in Connecticut,General,Candidate,False,Simeon E. Baldwin,Democratic Party (US),"76,081",42.08%
1914,Connecticut,1914 U.S. Senate election in Connecticut,General,Candidate,False,Herbert Smith,"Progressive Party (US, 1912)","6,853",3.79%
1914,Connecticut,1914 U.S. Senate election in Connecticut,General,Candidate,False,George Spiess,Socialist Party of America,"5,890",3.26%
1914,Connecticut,1914 U.S. Senate election in Connecticut,General,Candidate,False,Frederick Platt,Prohibition Party,"1,356",0.75%
1914,Connecticut,1914 U.S. Senate election in Connecticut,General,Candidate,False,Clarence Warner,Socialist Labor Party of America,650,0.36%
1914,Connecticut,1914 U.S. Senate election in Connecticut,General,Total,False,,,"180,813",100.00%
1914,Illinois,1914 United States Senate election in Illinois,General,Winning,True,Lawrence Y. Sherman,Republican Party (United States),"390,661",38.46
1914,Illinois,1914 United States Senate election in Illinois,General,Candidate,False,Roger C. Sullivan,Democratic Party (United States),"373,403",36.76
1914,Illinois,1914 United States Senate election in Illinois,General,Candidate,False,Raymond Robins,"Progressive Party (United States, 1912)","203,027",19.99
1914,Illinois,1914 United States Senate election in Illinois,General,Candidate,False,Adolph Germer,Socialist Party of America,"39,889",3.93
1914,Illinois,1914 United States Senate election in Illinois,General,Candidate,False,George W. Woolsey,Prohibition Party (United States),"6,750",0.67
1914,Illinois,1914 United States Senate election in Illinois,General,Candidate,False,John M. Frances,Socialist Labor Party of America,"2,078",0.21
1914,Indiana,1914 U.S. Senate special election in Indiana,General,Winning,True,Benjamin F. Shively,Democratic Party (United States),"272,249",42.14%
1914,Indiana,1914 U.S. Senate special election in Indiana,General,Candidate,False,Hugh Thomas Miller,Republican Party (United States),"226,766",35.10%
1914,Indiana,1914 U.S. Senate special election in Indiana,General,Candidate,False,Albert Beveridge,"Progressive Party (United States, 1912)","108,581",16.81%
1914,Indiana,1914 U.S. Senate special election in Indiana,General,Candidate,False,Stephen N. Reynolds,Socialist Party (United States),"21,719",3.36%
1914,Indiana,1914 U.S. Senate special election in Indiana,General,Candidate,False,Sumner W. Haynes,Prohibition Party (United States),"13,860",2.15%
1914,Indiana,1914 U.S. Senate special election in Indiana,General,Candidate,False,James Matthews,Socialist Labor Party (United States),"2,884",0.45%
1914,Indiana,1914 U.S. Senate special election in Indiana,General,Total,False,,,"703,289",100.00%
1914,Iowa,1914 United States Senate election in Iowa,General,Winning,False,Albert B. Cummins (inc.),Republican Party (US),"205,832",48.19%
1914,Iowa,1914 United States Senate election in Iowa,General,Candidate,False,Maurice Connolly,Democratic Party (US),"167,251",39.16%
1914,Iowa,1914 United States Senate election in Iowa,General,Candidate,False,Otis Spurgeon,Independent (US),"24,490",5.73%
1914,Iowa,1914 United States Senate election in Iowa,General,Candidate,False,Casper Schenk,"Progressive Party (US, 1912)","15,058",3.53%
1914,Iowa,1914 United States Senate election in Iowa,General,Candidate,False,I. S. McCullis,Socialist Party of America,"8,462",1.98%
1914,Iowa,1914 United States Senate election in Iowa,General,Candidate,False,M. L. Christian,Prohibition Party,"6,009",1.41%
1914,Iowa,1914 United States Senate election in Iowa,General,Total,False,,,"427,102",100.00%
1914,Kansas,1914 United States Senate election in Kansas,General,Winning,False,Charles Curtis,Republican Party (United States),"180,823",35.53%
1914,Kansas,1914 United States Senate election in Kansas,General,Candidate,False,George A. Neeley,Democratic Party (United States),"176,929",34.77%
1914,Kansas,1914 United States Senate election in Kansas,General,Candidate,False,Victor Murdock,"Progressive Party (United States, 1912)","116,755",22.94%
1914,Kansas,1914 United States Senate election in Kansas,General,Candidate,False,Christian Balsac Hoffman,Socialist Party of America,"24,502",4.81%
1914,Kansas,1914 United States Senate election in Kansas,General,Candidate,False,Earle R. DeLay,Prohibition Party,"9,885",1.94%
1914,Kansas,1914 United States Senate election in Kansas,General,Total,False,,,"508,894",100.00%
1914,Maryland,1914 U.S. Senate election in Maryland,General,Winning,False,John Walter Smith (inc.),Democratic Party (United States),"110,204",50.99%
1914,Maryland,1914 U.S. Senate election in Maryland,General,Candidate,False,"Edward C. Carrington, Jr.",Republican Party (United States),"94,864",43.89%
1914,Maryland,1914 U.S. Senate election in Maryland,General,Candidate,False,V. Milton Reichard,"Progressive Party (United States, 1912)","3,697",1.71%
