Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1942,Alabama,1942 United States Senate election in Alabama,General,Winning,True,Democratic Party (US),John H. Bankhead II,"69,212",100.00%
1942,Arkansas,1942 Democratic U.S. Senate runoff,General,Winning,False,Democratic Party (United States),John L. McClellan,"134,277",61.65%
1942,Arkansas,1942 Democratic U.S. Senate runoff,General,Candidate,False,Democratic Party (United States),Jack Holt,"83,516",38.35%
1942,Arkansas,1942 Democratic U.S. Senate runoff,General,Total,False,,,"217,793",100.00%
1942,Arkansas,1942 U.S. Senate election in Arkansas,General,Winning,False,Democratic Party (United States),John L. McClellan,"99,124",100.00%
1942,Arkansas,1942 U.S. Senate election in Arkansas,General,Total,False,,,"99,124",100.00%
1942,Colorado,General election results,General,Winning,True,Democratic Party (United States),Edwin C. Johnson,"174,612",50.23%
1942,Colorado,General election results,General,Candidate,False,Republican Party (United States),Ralph L. Carr,"170,970",49.19%
1942,Colorado,General election results,General,Candidate,False,Socialist Party (United States),Carle Whitehead,"1,387",0.40%
1942,Colorado,General election results,General,Candidate,False,Communist Party (United States),James Allander,627,0.27%
1942,Colorado,General election results,General,Total,False,,,"347,596",100.00%
1942,Colorado (special),1942 United States Senate election in Colorado,General,Winning,False,Republican Party (United States),Eugene Millikin (inc.),"191,517",56.12%
1942,Colorado (special),1942 United States Senate election in Colorado,General,Candidate,False,Democratic Party (United States),James A. Marsh,"143,817",42.14%
1942,Colorado (special),1942 United States Senate election in Colorado,General,Candidate,False,Independent (politician),Lewis Harley Tiley,"4,262",1.25%
1942,Colorado (special),1942 United States Senate election in Colorado,General,Candidate,False,Socialist Party (United States),Edgar P. Sherman,"1,664",0.49%
1942,Georgia,1942 U.S. Senate election in Georgia,General,Winning,True,Democratic Party (United States),Richard Russell Jr.,"59,870",96.94%
1942,Georgia,1942 U.S. Senate election in Georgia,General,Candidate,False,Independent (politician),Mrs. LeVert Dwyer Shivers,"1,892",3.06%
1942,Illinois,1942 United States Senate election in Illinois,General,Winning,True,Republican Party (United States),Charles W. Brooks,"1,582,887",53.24
1942,Illinois,1942 United States Senate election in Illinois,General,Candidate,False,Democratic Party (United States),Raymond S. McKeough,"1,380,011",46.41
1942,Illinois,1942 United States Senate election in Illinois,General,Candidate,False,Prohibition Party,Enoch A. Holtwick,"10,331",0.35
1942,Illinois,1942 United States Senate election in Illinois,General,Write-in,False,,,32,0.00
1942,Iowa,1942 U.S. Senate election in Iowa,General,Winning,False,Republican Party (United States),George A. Wilson,"410,383",57.98%
1942,Iowa,1942 U.S. Senate election in Iowa,General,Candidate,True,Democratic Party (United States),Clyde Herring,"295,194",41.70%
1942,Iowa,1942 U.S. Senate election in Iowa,General,Candidate,False,Prohibition Party (United States),M. M. Heptonstall,"1,461",0.21%
1942,Iowa,1942 U.S. Senate election in Iowa,General,Total,False,,,"707,859",100.00%
1942,Kansas,1942 United States Senate election in Kansas,General,Winning,False,Republican Party (United States),Arthur Capper (inc.),"284,059",57.11%
1942,Kansas,1942 United States Senate election in Kansas,General,Candidate,False,Democratic Party (United States),George McGill,"200,437",40.30%
1942,Kansas,1942 United States Senate election in Kansas,General,Candidate,False,Prohibition Party,C. Floyd Hester,"12,863",2.59%
1942,Kansas,1942 United States Senate election in Kansas,General,Total,False,,,"497,359",100.00%
1942,Maine,1942 U.S. Senate election in Maine,General,Winning,False,Republican Party (United States),Wallace H. White Jr. (inc.),"111,520",66.67%
1942,Maine,1942 U.S. Senate election in Maine,General,Candidate,False,Democratic Party (United States),Fulton J. Redman,"55,754",33.33%
1942,Maine,1942 U.S. Senate election in Maine,General,Total,False,,,"167,274",100.00%
1942,Massachusetts,General election,General,Winning,True,Republican Party (US),Henry Cabot Lodge Jr.,"721,239",52.44
1942,Massachusetts,General election,General,Candidate,False,Democratic Party (US),Joseph E. Casey,"641,042",46.61
1942,Massachusetts,General election,General,Candidate,False,Socialist Party of America,George Lyman Paine,"4,802",0.35
1942,Massachusetts,General election,General,Candidate,False,Socialist Labor Party of America,Horace I. Hillis,"4,781",0.35
1942,Massachusetts,General election,General,Candidate,False,Prohibition Party,George L. Thompson,"3,577",0.26
1942,Massachusetts,General election,General,Total,False,,,"1,375,441",100.00%
1942,Michigan,1942 U.S. Senate election in Michigan,General,Winning,False,Republican Party (US),Homer S. Ferguson,"589,652",49.55%
1942,Michigan,1942 U.S. Senate election in Michigan,General,Candidate,True,Democratic Party (US),Prentiss M. Brown,"561,595",47.20%
1942,Michigan,1942 U.S. Senate election in Michigan,General,Candidate,False,Independent Republican (United States),Gerald L. K. Smith (write-in),"32,173",2.70%
1942,Michigan,1942 U.S. Senate election in Michigan,General,Candidate,False,Prohibition Party (United States),Leroy M. Powell,"6,526",0.55%
1942,Michigan,1942 U.S. Senate election in Michigan,General,Total,False,,,"1,189,946",100.00%
1942,Minnesota (special),Special election results,General,Winning,False,Republican Party of Minnesota,Arthur E. Nelson,"372,240",56.12%
1942,Minnesota (special),Special election results,General,Candidate,False,Farmer–Labor Party,Al Hansen,"177,008",26.68%
1942,Minnesota (special),Special election results,General,Candidate,False,Democratic Party of Minnesota,John E. O'Rourke,"114,086",17.20%
1942,Minnesota (special),Special election results,General,Total,False,,,"663,334",100.00%
1942,Minnesota,General election results,General,Winning,True,Republican Party of Minnesota,Joseph H. Ball,"356,297",46.98%
1942,Minnesota,General election results,General,Candidate,False,Farmer–Labor Party,Elmer A. Benson,"213,965",28.21%
1942,Minnesota,General election results,General,Candidate,False,Independent,Martin A. Nelson,"109,226",14.40%
1942,Minnesota,General election results,General,Candidate,False,Democratic Party of Minnesota,Ed Murphy,"78,959",10.41%
1942,Minnesota,General election results,General,Total,False,,,"758,447",100.00%
1942,Mississippi,1942 Democratic U.S. Senate runoff,General,Winning,False,Democratic Party (United States),James Eastland,"74,747",56.84%
1942,Mississippi,1942 Democratic U.S. Senate runoff,General,Candidate,True,Democratic Party (United States),Wall Doxey,"56,748",43.16%
1942,Mississippi,1942 Democratic U.S. Senate runoff,General,Total,False,,,"131,495",100.00%
1942,Mississippi,1942 U.S. Senate election in Mississippi,General,Winning,False,Democratic Party (United States),James Eastland,"51,355",100.00%
1942,Mississippi,1942 U.S. Senate election in Mississippi,General,Total,False,,,"51,355",100.00%
1942,Montana,"United States Senate election in Montana, 1942",General,Winning,True,Democratic Party (United States),James E. Murray,"83,673",49.07%
1942,Montana,"United States Senate election in Montana, 1942",General,Candidate,False,Republican Party (United States),Wellington D. Rankin,"82,461",48.36%
1942,Montana,"United States Senate election in Montana, 1942",General,Candidate,False,Prohibition Party (United States),Charles R. Miller,"2,711",1.59%
1942,Montana,"United States Senate election in Montana, 1942",General,Candidate,False,Socialist Party (United States),E. H. Helterbran,"1,669",0.98%
1942,Nebraska,1942 United States Senate election in Nebraska,General,Winning,False,Republican Party (United States),Kenneth S. Wherry,"186,207",48.98%
1942,Nebraska,1942 United States Senate election in Nebraska,General,Candidate,False,Independent (politician),George W. Norris (inc.),"108,851",28.63%
1942,Nebraska,1942 United States Senate election in Nebraska,General,Candidate,False,Democratic Party (United States),Foster May,"108,391",22.03%
1942,Nebraska,1942 United States Senate election in Nebraska,General,Candidate,False,Independent (politician),Albert F. Ruthven,"1,348",0.35%
1942,Nebraska,1942 United States Senate election in Nebraska,General,Total,False,,,"380,169",100.00%
1942,New Jersey,1942 United States Senate election in New Jersey,General,Winning,False,Republican Party (US),Albert W. Hawkes,"648,855",53.09%
1942,New Jersey,1942 United States Senate election in New Jersey,General,Candidate,True,Democratic Party (US),William H. Smathers,"559,851",45.81%
1942,New Jersey,1942 United States Senate election in New Jersey,General,Candidate,False,Socialist Party USA,William L. Becker,"6,775",0.55%
1942,New Jersey,1942 United States Senate election in New Jersey,General,Candidate,False,Independent Progressive,Lorenzo Harris,"3,224",0.26%
1942,New Jersey,1942 United States Senate election in New Jersey,General,Candidate,False,Prohibition Party (US),Elmo L. Bateman,"1,438",0.12%
1942,New Jersey,1942 United States Senate election in New Jersey,General,Candidate,False,Socialist Labor Party of America,John C. Butterworth,"1,310",0.11%
1942,New Jersey,1942 United States Senate election in New Jersey,General,Candidate,False,Socialist Workers Party (US),George Breitman,679,0.06%
1942,Oklahoma,1942 United States Senate election in Oklahoma,General,Winning,False,Republican Party (United States),Edward H. Moore,"204,163",54.83%
1942,Oklahoma,1942 United States Senate election in Oklahoma,General,Candidate,False,Democratic Party (United States),Joshua B. Lee (inc.),"166,653",44.76%
1942,Oklahoma,1942 United States Senate election in Oklahoma,General,Candidate,False,Prohibition Party (United States),Oliver W. Lawton,"1,549",0.42%
1942,South Carolina,"South Carolina U.S. Senate Election, 1942",General,Winning,True,Democratic Party (United States),Burnet R. Maybank,"22,556",99.99%
1942,South Dakota,1942 United States Senate election in South Dakota,General,Winning,False,Republican Party (United States),Harlan J. Bushfield,"106,704",58.74%
1942,South Dakota,1942 United States Senate election in South Dakota,General,Candidate,False,Democratic Party (United States),Tom Berry,"74,945",41.26%
1942,Texas,1942 Democratic U.S. Senate runoff,General,Winning,True,Democratic Party (United States),Pappy O'Daniel,"451,359",51.03%
1942,Texas,1942 Democratic U.S. Senate runoff,General,Candidate,False,Democratic Party (United States),James Burr V Allred,"433,203",48.97%
1942,Texas,1942 Democratic U.S. Senate runoff,General,Total,False,,,"884,562",100.00%
1942,Texas,1942 U.S. Senate election in Texas,General,Winning,True,Democratic Party (United States),Pappy O'Daniel,"260,629",94.90%
1942,Texas,1942 U.S. Senate election in Texas,General,Candidate,False,Republican Party (United States),Dudley Lawson,"12,064",4.39%
1942,Texas,1942 U.S. Senate election in Texas,General,Total,False,,,"274,627",100.00%
1942,Virginia,"United States Senate election in Virginia, 1942",General,Winning,False,Democratic Party (United States),Carter Glass (inc.),"79,421",91.08%
1942,Virginia,"United States Senate election in Virginia, 1942",General,Candidate,False,Socialist Party of America,Lawrence S. Wilkes,"5,690",6.53%
1942,Virginia,"United States Senate election in Virginia, 1942",General,Candidate,False,Communist Party USA,Alice Burke,"2,041",2.34%
1942,Wyoming,1942 United States Senate election in Wyoming,General,Winning,False,Republican Party (United States),Edward V. Robertson,"41,486",54.59%
1942,Wyoming,1942 United States Senate election in Wyoming,General,Candidate,False,Democratic Party (United States),Harry Schwartz (inc.),"45,483",45.41%
