Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1976,Arizona,General election results,General,Winning,False,Democratic Party (United States),Dennis DeConcini,"400,334",54.01%
1976,Arizona,General election results,General,Candidate,False,Republican Party (United States),Sam Steiger,"321,236",43.34%
1976,Arizona,General election results,General,Candidate,False,Libertarian Party (United States),Allan Norwitz,"7,310",0.99%
1976,California,General election results,General,Winning,False,Republican Party (United States),S. I. Hayakawa,"3,748,973",50.18%
1976,California,General election results,General,Candidate,True,Democratic Party (United States),John V. Tunney,"3,502,862",46.89%
1976,California,General election results,General,Candidate,False,Peace and Freedom Party,David Wald,"104,383",1.40%
1976,California,General election results,General,Candidate,False,American Independent Party,Jack McCoy,"82,739",1.11%
1976,Connecticut,General election results,General,Winning,True,Republican Party (United States),Lowell Weicker,"785,683",57.70%
1976,Connecticut,General election results,General,Candidate,False,Democratic Party (United States),Gloria Schaffer,"561,018",41.20%
1976,Connecticut,General election results,General,Candidate,False,American Independent Party,Robert Barnabei,"14,407",1.06%
1976,Connecticut,General election results,General,Write-in,False,,,558,0.04%
1976,Connecticut,General election results,General,Total,False,,,"1,361,666",100.00%
1976,Delaware,General election results,General,Winning,True,Republican Party (United States),William Roth,"125,454",55.81%
1976,Delaware,General election results,General,Candidate,False,Democratic Party (United States),Thomas Maloney,"98,042",43.61%
1976,Delaware,General election results,General,Candidate,False,Prohibition Party (United States),John A. Massimilla,216,0.1%
1976,Florida,"United States Senate Election in Florida, 1976",General,Winning,True,Democratic Party (United States),Lawton Chiles,"1,799,518",62.98%
1976,Florida,"United States Senate Election in Florida, 1976",General,Candidate,False,Republican Party (United States),John Grady,"1,057,886",37.02%
1976,Florida,"United States Senate Election in Florida, 1976",General,Write-in,False,,,130,0.00%
1976,Hawaii,1976 U.S. Senate election in Hawaii,General,Winning,False,Democratic Party (United States),Spark Matsunaga,"162,305",53.73%
1976,Hawaii,1976 U.S. Senate election in Hawaii,General,Candidate,False,Republican Party (United States),William F. Quinn,"122,724",40.62%
1976,Hawaii,1976 U.S. Senate election in Hawaii,General,Candidate,False,Independent politician,James Kimmel,"1,433",0.47%
