Year,State,Primary_Type,Poll_Source,Date,Date_Start,Date_End,Sample,MoE,Candidate,Party,Pct,Incumbent,Date_Original
2026,Colorado,Democratic Primary,Colorado Community Research,2026-05-17 to 2026-05-28,2026-05-17,2026-05-28,796 (LV),± 4.0%,Julie Gonzales,D,34%,False,"May 17–28, 2026"
2026,Colorado,Democratic Primary,Data for Progress,2026-02-20 to 2026-02-25,2026-02-20,2026-02-25,739 (LV),± 4.0%,Julie Gonzales,D,13%,False,"February 20–25, 2026"
2026,Colorado,Democratic Primary,Colorado Community Research,2026-05-17 to 2026-05-28,2026-05-17,2026-05-28,796 (LV),± 4.0%,John Hickenlooper,D,41%,True,"May 17–28, 2026"
2026,Colorado,Democratic Primary,Data for Progress,2026-02-20 to 2026-02-25,2026-02-20,2026-02-25,739 (LV),± 4.0%,John Hickenlooper,D,45%,True,"February 20–25, 2026"
2026,New Mexico,Democratic Primary,Albuquerque Journal,2026-04-17 to 2026-04-24,2026-04-17,2026-04-24,534 (LV),± 4.2%,Matt Dodson,D,9%,False,"April 17–24, 2026"
2026,New Mexico,Democratic Primary,Albuquerque Journal,2026-04-17 to 2026-04-24,2026-04-17,2026-04-24,534 (LV),± 4.2%,Ben Ray Luján,D,69%,True,"April 17–24, 2026"
