Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1934,Arizona,"United States Senate election in Arizona, 1934",General,Winning,True,Democratic Party (United States),Henry F. Ashurst,"67,648",72.03%
1934,Arizona,"United States Senate election in Arizona, 1934",General,Candidate,False,Republican Party (United States),Joseph Edward Thompson,"24,075",25.63%
1934,Arizona,"United States Senate election in Arizona, 1934",General,Candidate,False,Socialist Party (United States),Charles D. Pinkerton,"1,591",1.69%
1934,Arizona,"United States Senate election in Arizona, 1934",General,Candidate,False,Communist Party (United States),Ramon Garcia,606,0.65%
1934,California,1934 United States Senate election in California,General,Candidate,False,Independent politician,[[Patrick Chambers (labor organizer),"1,025",0.05%
1934,California,1934 United States Senate election in California,General,Total,False,,,"2,056,345",100.00%
1934,Connecticut,1934 U.S. Senate election in Connecticut,General,Total,False,,,"513,175",100.00%
1934,Delaware,1934 U.S. Senate election in Delaware,General,Candidate,False,Socialist Party USA,Fred W. Whiteside,497,0.50%
1934,Delaware,1934 U.S. Senate election in Delaware,General,Candidate,False,Communist Party (United States),John T. Wlodkoski,69,0.07%
1934,Delaware,1934 U.S. Senate election in Delaware,General,Total,False,,,"99,166",100.00%
1934,Florida,1934 Democratic U.S. Senate runoff,General,Winning,True,Democratic Party (United States),Park Trammell,"103,028",51.00%
1934,Florida,1934 Democratic U.S. Senate runoff,General,Candidate,False,Democratic Party (United States),Claude Pepper,"98,978",49.00%
1934,Florida,1934 Democratic U.S. Senate runoff,General,Total,False,,,"202,006",100.00%
1934,Florida,1934 U.S. Senate election in Florida,General,Total,False,,,"131,780",100.00%
1934,Indiana,1934 U.S. Senate election in Indiana,General,Total,False,,,"1,473,305",100.00%
1934,Maine,1934 U.S. Senate election in Maine,General,Candidate,False,Communist Party (United States),Lewis Gordon,422,0.15%
1934,Maine,1934 U.S. Senate election in Maine,General,Total,False,,,"278,768",100.00%
1934,Maryland,1934 U.S. Senate election in Maryland,General,Candidate,False,Communist Party (United States),Samuel Gale,"1,188",0.25%
1934,Maryland,1934 U.S. Senate election in Maryland,General,Total,False,,,"607,626",100.00%
1934,Massachusetts,1934 U.S. Senate election in Massachusetts,General,Total,False,,,"1,435,925",100.00%
1934,Michigan,1934 U.S. Senate election in Michigan,General,Candidate,False,Farmer-Labor Party,W. Ralph Jones,"2,042",0.17%
1934,Michigan,1934 U.S. Senate election in Michigan,General,Candidate,False,National Party (United States),Chester A. Shewlter,147,0.01%
1934,Michigan,1934 U.S. Senate election in Michigan,General,Total,False,,,"2,000,342",100.00%
1934,Minnesota,General election results,General,Winning,True,Farmer–Labor Party,Henrik Shipstead,"503,379",49.87%
1934,Minnesota,General election results,General,Candidate,False,Democratic Party of Minnesota,Einar Hoidale,"294,757",29.20%
1934,Minnesota,General election results,General,Candidate,False,Republican Party of Minnesota,N. J. Holmberg,"200,083",19.82%
1934,Minnesota,General election results,General,Candidate,False,Communist Party USA,Alfred Tiala,"5,620",0.56%
1934,Minnesota,General election results,General,Candidate,False,Socialist Party of America,Morris Kaplan,"5,616",0.56%
1934,Minnesota,General election results,General,Total,False,,,"1,009,455",100.00%
1934,Mississippi,1934 United States Senate Democratic runoff,General,Winning,False,Democratic Party (United States),Theodore Bilbo,"101,702",51.81%
1934,Mississippi,1934 United States Senate Democratic runoff,General,Candidate,True,Democratic Party (United States),Hubert Stephens,"94,587",48.19%
1934,Mississippi,1934 United States Senate Democratic runoff,General,Total,False,,,"196,289",100.00%
1934,Mississippi,1934 United States Senate election,General,Total,False,,,"51,609",100.00%
1934,Missouri,"Missouri United States Senate election, 1934",General,Candidate,False,Communist Party USA,Frank Brown,418,0.03%
1934,Missouri,"Missouri United States Senate election, 1934",General,Total,False,,,"1,321,876",100.00%
1934,Montana,"United States Senate election in Montana, 1934",General,Winning,False,Democratic Party (United States),Burton K. Wheeler ([[incumbent,"142,823",70.14%
1934,Montana,"United States Senate election in Montana, 1934",General,Candidate,False,Republican Party (United States),George M. Bourquin,"58,519",28.74%
1934,Montana,"United States Senate election in Montana, 1934",General,Candidate,False,Socialist Party (United States),William F. Held,"1,381",0.68%
1934,Montana,"United States Senate election in Montana, 1934",General,Candidate,False,Communist Party (United States),Raymond F. Gray,903,0.44%
1934,Montana (special),"United States Senate special election in Montana, 1934",General,Winning,False,Democratic Party (United States),James E. Murray,"116,965",59.66%
1934,Montana (special),"United States Senate special election in Montana, 1934",General,Candidate,False,Republican Party (United States),Scott Leavitt,"77,307",39.43%
1934,Montana (special),"United States Senate special election in Montana, 1934",General,Candidate,False,Socialist Party (United States),John F. Duffy,"1,779",0.91%
1934,Nevada,1934 United States Senate election in Arizona,General,Winning,True,Democratic Party (US),Henry F. Ashurst,"67,648",72.03%
1934,Nevada,1934 United States Senate election in Arizona,General,Winning,True,Republican Party (US),Hiram Johnson,"1,946,572",94.54%
1934,Nevada,1934 United States Senate election in Arizona,General,Winning,False,Democratic Party (US),Francis T. Maloney,"265,552",51.75%
1934,Nevada,1934 United States Senate election in Arizona,General,Winning,True,Republican Party (US),John G. Townsend Jr.,"52,829",53.27%
1934,Nevada,1934 United States Senate election in Arizona,General,Winning,True,Democratic Party (US),Park Trammell,"131,780",100.00%
1934,Nevada,1934 United States Senate election in Arizona,General,Winning,False,Democratic Party (US),Sherman Minton,"758,801",51.46%
1934,Nevada,1934 United States Senate election in Arizona,General,Winning,False,Republican Party (US),[[Frederick Hale (U.S. senator),"139,773",50.14%
1934,Nevada,1934 United States Senate election in Arizona,General,Winning,False,Democratic Party (US),George L. P. Radcliffe,"264,279",56.10%
1934,Nevada,1934 United States Senate election in Arizona,General,Winning,True,Democratic Party (US),David I. Walsh,"852,776",59.39%
1934,Nevada,1934 United States Senate election in Arizona,General,Winning,True,Republican Party (US),Arthur Vandenberg,"626,017",51.32%
1934,Nevada,1934 United States Senate election in Arizona,General,Winning,True,Farmer–Labor Party (Minnesota),Henrik Shipstead,"503,379",49.87%
1934,Nevada,1934 United States Senate election in Arizona,General,Winning,True,Democratic Party (US),Theodore G. Bilbo,"51,609",100.00%
1934,Nevada,1934 United States Senate election in Arizona,General,Winning,False,Democratic Party (US),Harry S. Truman,"787,110",59.54%
1934,Nevada,1934 United States Senate election in Arizona,General,Winning,True,Democratic Party (US),Burton K. Wheeler,"142,823",70.14%
1934,Nevada,1934 United States Senate election in Arizona,General,Winning,False,Democratic Party (US),James E. Murray,"116,965",59.66%
