Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1926,Arizona,Democratic primary results,Primary,Winning,False,Democratic Party (United States),Carl T. Hayden,"36,745",80.3%
1926,Arizona,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Charles H. Rutherford,"8,995",19.7%
1926,Arizona,Democratic primary results,Primary,Total,False,,,"45,740",100.0
1926,California,1926 Republican Senate primary,Primary,Winning,True,Republican Party (United States),Samuel Morgan Shortridge,"339,827",48.04%
1926,California,1926 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),Robert M. Clarke,"239,011",33.79%
1926,California,1926 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),Walter Lineberger,"128,488",18.17%
1926,California,1926 Republican Senate primary,Primary,Total,False,,,"707,326",100.00%
1926,California,1926 Democratic Senate primary,Primary,Winning,False,Democratic Party (United States),John B. Elliott,"77,841",60.18%
1926,California,1926 Democratic Senate primary,Primary,Candidate,False,Democratic Party (United States),Isidore B. Dockweiler,"51,507",39.82%
1926,California,1926 Democratic Senate primary,Primary,Total,False,,,"129,348",100.00%
1926,Colorado,Democratic primary results,Primary,Winning,False,Democratic Party (United States),William E. Sweet,"26,491",49.27
1926,Colorado,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Paul P. Prosser,"19,583",36.42
1926,Colorado,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Frank J. Hayes,"7,689",14.30
1926,Colorado,Democratic primary results,Primary,Total,False,,,"53,763",100.00
1926,Colorado,Republican primary results,Primary,Winning,False,Republican Party (United States),Charles W. Waterman,"57,537",49.82
1926,Colorado,Republican primary results,Primary,Candidate,False,Republican Party (United States),Rice W. Means (inc.),"41,721",36.12
1926,Colorado,Republican primary results,Primary,Candidate,False,Republican Party (United States),George A. Luxford,"14,330",12.41
1926,Colorado,Republican primary results,Primary,Candidate,False,Republican Party (United States),Mortimer W. Spaulding,"1,906",1.65
1926,Colorado,Republican primary results,Primary,Total,False,,,"115,494",100.00
1926,Illinois,Democratic primary,Primary,Winning,False,Democratic Party (United States),George E. Brennan,"201,857",68.23
1926,Illinois,Democratic primary,Primary,Candidate,False,Democratic Party (United States),James O. Monroe,"55,965",18.92
1926,Illinois,Democratic primary,Primary,Candidate,False,Democratic Party (United States),James T. McDermott,"38,030",12.85
1926,Illinois,Democratic primary,Primary,Candidate,False,Write-in,Others,14,0.00
1926,Illinois,Democratic primary,Primary,Total,False,,,"295,866",100
1926,Illinois,Republican primary,Primary,Winning,False,Republican Party (United States),Frank L. Smith,"624,023",54.41
1926,Illinois,Republican primary,Primary,Candidate,True,Republican Party (United States),William B. McKinley,"522,771",45.59
1926,Illinois,Republican primary,Primary,Candidate,False,Write-in,Others,4,0.00
1926,Illinois,Republican primary,Primary,Total,False,,,"1,146,798",100
1926,Illinois,Progressive primary,Primary,Winning,False,"Progressive Party (US, 1924)",Parley Parker Christensen,495,99.20
1926,Illinois,Progressive primary,Primary,Candidate,False,Write-in,Others,4,0.80
1926,Illinois,Progressive primary,Primary,Total,False,,,499,100
1926,Iowa (special),1926 Republican U.S. Senate primary,Primary,Winning,False,Republican Party (United States),Smith W. Brookhart,"208,894",50.66%
1926,Iowa (special),1926 Republican U.S. Senate primary,Primary,Candidate,True,Republican Party (United States),Albert B. Cummins,"137,367",33.31%
1926,Iowa (special),1926 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (United States),Howard J. Clark,"54,392",13.19%
1926,Iowa (special),1926 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (United States),Dan B. Reardon,"6,037",1.46%
1926,Iowa (special),1926 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (United States),L.E. Eickelberg,"5,643",1.37%
1926,Iowa (special),1926 Republican U.S. Senate primary,Primary,Total,False,,,"412,333",100.00%
1926,Iowa (special),1926 Democratic U.S. Senate primary,Primary,Winning,False,Democratic Party (United States),Claude Porter,"28,077",48.85%
1926,Iowa (special),1926 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),James C. Murtaugh,"12,881",22.41%
1926,Iowa (special),1926 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),J. R. Files,"11,922",20.74%
1926,Iowa (special),1926 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),George Finch,"4,601",8.00%
1926,Iowa (special),1926 Democratic U.S. Senate primary,Primary,Total,False,,,"57,481",100.00%
1926,Iowa,1926 Republican U.S. Senate primary,Primary,Winning,False,Republican Party (United States),Smith W. Brookhart,"208,894",50.66%
1926,Iowa,1926 Republican U.S. Senate primary,Primary,Candidate,True,Republican Party (United States),Albert B. Cummins,"137,367",33.31%
1926,Iowa,1926 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (United States),Howard J. Clark,"54,392",13.19%
1926,Iowa,1926 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (United States),Dan B. Reardon,"6,037",1.46%
1926,Iowa,1926 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (United States),L.E. Eickelberg,"5,643",1.37%
1926,Iowa,1926 Republican U.S. Senate primary,Primary,Total,False,,,"412,333",100.00%
1926,Iowa,1926 Democratic U.S. Senate primary,Primary,Winning,False,Democratic Party (United States),Claude Porter,"28,077",48.85%
1926,Iowa,1926 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),James C. Murtaugh,"12,881",22.41%
1926,Iowa,1926 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),J. R. Files,"11,922",20.74%
1926,Iowa,1926 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),George Finch,"4,601",8.00%
1926,Iowa,1926 Democratic U.S. Senate primary,Primary,Total,False,,,"57,481",100.00%
1926,Kansas,Democratic primary results,Primary,Winning,False,Democratic Party (United States),Charles Stephens,"28,823",53.20%
1926,Kansas,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),George McGill,"25,360",46.80%
1926,Kansas,Democratic primary results,Primary,Total,False,,,"54,183",100.00%
1926,Kansas,Republican primary results,Primary,Winning,False,Republican Party (United States),Charles Curtis (inc.),"185,964",85.61%
1926,Kansas,Republican primary results,Primary,Candidate,False,Republican Party (United States),Nick Chiles,"31,253",14.39%
1926,Kansas,Republican primary results,Primary,Total,False,,,"217,217",100.00%
1926,Kansas,Socialist primary results,Primary,Winning,False,Socialist Party (United States),M. L. Phillips,160,100.00%
1926,Kansas,Socialist primary results,Primary,Total,False,,,160,100.00%
1926,Louisiana,1926 United States Senate Democratic primary,Primary,Winning,True,Democratic Party (United States),Edwin S. Broussard,"84,041",51.06%
1926,Louisiana,1926 United States Senate Democratic primary,Primary,Candidate,False,Democratic Party (United States),Jared Y. Sanders Sr.,"80,562",48.94%
1926,Louisiana,1926 United States Senate Democratic primary,Primary,Total,False,,,"306,399",100.00%
1926,Maryland,1926 Republican U.S. Senate primary,Primary,Winning,False,Republican Party (United States),Ovington Weller (inc.),"39,760",52.01%
1926,Maryland,1926 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (United States),John Philip Hill,"36,687",47.99%
1926,Maryland,1926 Republican U.S. Senate primary,Primary,Total,False,,,"76,447",100.00%
1926,Massachusetts (special),1926 Republican U.S. Senate primary,Primary,Winning,True,Republican Party (United States),William Morgan Butler,"209,836",100.0%
1926,Massachusetts (special),1926 Republican U.S. Senate primary,Primary,Candidate,False,Write-in,All others,18,0.0%
1926,Massachusetts (special),1928 Democratic U.S. Senate primary results,Primary,Winning,False,Democratic Party (United States),David I. Walsh,"111,083",99.95%
1926,Massachusetts (special),1928 Democratic U.S. Senate primary results,Primary,Candidate,False,Write-in,All others,58,0.05%
1926,Missouri (special),"Democratic primary August 3, 1926",Primary,Winning,False,Democratic Party (United States),Harry B. Hawes,"166,478",56.70
1926,Missouri (special),"Democratic primary August 3, 1926",Primary,Candidate,False,Democratic Party (United States),Willis Meredith,"94,388",32.15
1926,Missouri (special),"Democratic primary August 3, 1926",Primary,Candidate,False,Democratic Party (United States),Robert I. Young,"32,765",11.16
1926,Missouri (special),"Democratic primary August 3, 1926",Primary,Total,False,,,"293,622",100
1926,Missouri (special),"Republican primary August 3, 1926",Primary,Winning,True,Republican Party (United States),George Howard Williams,"213,176",75.72
1926,Missouri (special),"Republican primary August 3, 1926",Primary,Candidate,False,Republican Party (United States),Blodgett Priest,"68,354",24.28
1926,Missouri (special),"Republican primary August 3, 1926",Primary,Total,False,,,"281,530",100
1926,Missouri,"Democratic primary August 3, 1926",Primary,Winning,False,Democratic Party (United States),Harry B. Hawes,"162,921",54.48
1926,Missouri,"Democratic primary August 3, 1926",Primary,Candidate,False,Democratic Party (United States),Ewing Cockrell,"105,936",35.42
1926,Missouri,"Democratic primary August 3, 1926",Primary,Candidate,False,Democratic Party (United States),Robert I. Young,"30,195",10.10
1926,Missouri,"Democratic primary August 3, 1926",Primary,Total,False,,,"299,052",100
1926,Missouri,"Republican primary August 3, 1926",Primary,Winning,True,Republican Party (United States),George Howard Williams,"147,436",52.30
1926,Missouri,"Republican primary August 3, 1926",Primary,Candidate,False,Republican Party (United States),David M. Proctor,"87,074",30.89
1926,Missouri,"Republican primary August 3, 1926",Primary,Candidate,False,Republican Party (United States),Blodgett Priest,"47,404",16.82
1926,Missouri,"Republican primary August 3, 1926",Primary,Total,False,,,"281,914",100
1926,Missouri,"Socialist primary August 3, 1926",Primary,Winning,False,Socialist Party of America,Robert D. Morrison,72,100
1926,Missouri,"Socialist primary August 3, 1926",Primary,Total,False,,,72,100
1926,Missouri,"Socialist Labor primary August 3, 1926",Primary,Winning,False,Socialist Labor Party of America,William Wesley Cox,32,100
1926,Missouri,"Socialist Labor primary August 3, 1926",Primary,Total,False,,,32,100
1926,New Hampshire,1926 Republican U.S. Senate primary,Primary,Winning,True,Republican Party (US),George H. Moses,"37,655",66.70%
1926,New Hampshire,1926 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (US),Robert P. Bass,"17,654",31.27%
1926,New Hampshire,1926 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (US),James G. Remick,"1,147",2.03%
1926,New Hampshire,1926 Republican U.S. Senate primary,Primary,Total,False,,,"56,456",100.00%
