Year,State,Primary_Type,Poll_Source,Date,Sample,MoE,Candidate,Party,Pct,Incumbent
2018,Arizona,Democratic Primary,Data Orbital,"June 25–27, 2018",550,± 4.2%,Deedra Abboud,D,7%,False
2018,Arizona,Democratic Primary,Emerson College,"June 21–22, 2018",260,± 6.2%,Deedra Abboud,D,8%,False
2018,Arizona,Democratic Primary,Data Orbital,"June 25–27, 2018",550,± 4.2%,Kyrsten Sinema,D,63%,False
2018,Arizona,Democratic Primary,Emerson College,"June 21–22, 2018",260,± 6.2%,Kyrsten Sinema,D,51%,False
2018,Arizona,Republican Primary,Data Orbital,"August 21–22, 2018",600,± 4.0%,Joe Arpaio,R,18%,False
2018,Arizona,Republican Primary,OH Predictive Insights,"August 14–15, 2018",578,± 4.1%,Joe Arpaio,R,13%,False
2018,Arizona,Republican Primary,OH Predictive Insights,"July 23–25, 2018",576,± 4.1%,Joe Arpaio,R,15%,False
2018,Arizona,Republican Primary,Gravis Marketing,"June 27 – July 2, 2018",501,± 4.4%,Joe Arpaio,R,24%,False
2018,Arizona,Republican Primary,Emerson College,"June 21–22, 2018",305,± 5.9%,Joe Arpaio,R,18%,False
2018,Arizona,Republican Primary,Data Orbital,"June 19–21, 2018",550,± 4.2%,Joe Arpaio,R,17%,False
2018,Arizona,Republican Primary,Marist College,"June 17–21, 2018",371,± 6.7%,Joe Arpaio,R,21%,False
2018,Arizona,Republican Primary,OH Predictive Insights,"June 11–12, 2018",600,± 4.0%,Joe Arpaio,R,14%,False
2018,Arizona,Republican Primary,Remington (R),"May 23–24, 2018","2,011",± 2.3%,Joe Arpaio,R,25%,False
2018,Arizona,Republican Primary,Magellan Strategies (R),"April 11–12 and 15, 2018",755,± 3.6%,Joe Arpaio,R,26%,False
2018,Arizona,Republican Primary,OH Predictive Insights,"April 10–11, 2018",302,± 5.6%,Joe Arpaio,R,22%,False
2018,Arizona,Republican Primary,Data Orbital,"January 11–15, 2018",500,± 4.4%,Joe Arpaio,R,22%,False
2018,Arizona,Republican Primary,OH Predictive Insights,"January 9, 2018",504,± 4.4%,Joe Arpaio,R,29%,False
2018,Arizona,Republican Primary,Data Orbital,"August 21–22, 2018",600,± 4.0%,Martha McSally,R,48%,False
