Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage
2010,Alabama,2010 United States Senate election in Alabama,General,Winning,True,Richard Shelby,Republican Party (United States),"968,181",65.18%
2010,Alabama,2010 United States Senate election in Alabama,General,Candidate,False,William G. Barnes,Democratic Party (United States),"515,619",34.71%
2010,Alabama,2010 United States Senate election in Alabama,General,Write-in,False,,,"1,699",0.11%
2010,Alabama,2010 United States Senate election in Alabama,General,Total,False,,,"1,485,499",100.00%
2010,Alaska,Final/certified general election results,General,Winning,False,"Lisa Murkowski (incumbent, write-in)",Republican Party (United States),"101,091",39.49%
2010,Alaska,Final/certified general election results,General,Candidate,False,Joe Miller,Republican Party (United States),"90,839",35.49%
2010,Alaska,Final/certified general election results,General,Candidate,False,Scott McAdams,Democratic Party (United States),"60,045",23.46%
2010,Alaska,Final/certified general election results,General,Candidate,False,David Haase,Libertarian Party (United States),"1,459",0.57%
2010,Alaska,Final/certified general election results,General,Candidate,False,Timothy Carter,Independent,927,0.36%
2010,Alaska,Final/certified general election results,General,Candidate,False,Ted Gianoutsos,Independent,458,0.18%
2010,Alaska,Final/certified general election results,General,Total,False,,,"255,962",100.0%
2010,Arizona,2010 United States Senate election in Arizona,General,Winning,True,John McCain,Republican Party (US),"1,005,615",59.07%
2010,Arizona,2010 United States Senate election in Arizona,General,Candidate,False,Rodney Glassman,Democratic Party (US),"592,011",34.78%
2010,Arizona,2010 United States Senate election in Arizona,General,Candidate,False,David Nolan,Libertarian Party (US),"80,097",4.71%
2010,Arizona,2010 United States Senate election in Arizona,General,Candidate,False,Jerry Joslyn,Green Party (US),"24,603",1.45%
2010,Arizona,2010 United States Senate election in Arizona,General,Total,False,,,"1,702,326",100.0%
2010,Arkansas,"United States Senate election in Arkansas, 2010",General,Winning,False,John Boozman,Republican Party (United States),"451,618",57.90%
2010,Arkansas,"United States Senate election in Arkansas, 2010",General,Candidate,True,Blanche Lincoln,Democratic Party (United States),"288,156",36.95%
2010,Arkansas,"United States Senate election in Arkansas, 2010",General,Candidate,False,Trevor Drown,Libertarian Party (United States),"25,234",3.24%
2010,Arkansas,"United States Senate election in Arkansas, 2010",General,Candidate,False,John Gray,Green Party (United States),"14,430",1.85%
2010,Arkansas,"United States Senate election in Arkansas, 2010",General,Write-in,False,,,519,0.07%
2010,Arkansas,"United States Senate election in Arkansas, 2010",General,Total,False,,,"779,957",100.00%
2010,California,"United States Senate election in California, 2010",General,Winning,True,Barbara Boxer,Democratic Party (United States),"5,218,137",52.18%
2010,California,"United States Senate election in California, 2010",General,Candidate,False,Carly Fiorina,Republican Party (United States),"4,217,386",42.17%
2010,California,"United States Senate election in California, 2010",General,Candidate,False,Gail Lightfoot,Libertarian Party (United States),"175,235",1.75%
2010,California,"United States Senate election in California, 2010",General,Candidate,False,Marsha Feinland,Peace and Freedom Party,"135,088",1.35%
2010,California,"United States Senate election in California, 2010",General,Candidate,False,Duane Roberts,Green Party of the United States,"128,512",1.29%
2010,California,"United States Senate election in California, 2010",General,Candidate,False,Edward Noonan,American Independent Party,"125,435",1.25%
2010,California,"United States Senate election in California, 2010",General,Write-in,False,,,67,0.00%
2010,California,"United States Senate election in California, 2010",General,Total,False,,,"9,999,860",100.0%
2010,Colorado,"United States Senate election in Colorado, 2010",General,Winning,True,Michael Bennet,Democratic Party (United States),"854,685",48.08%
2010,Colorado,"United States Senate election in Colorado, 2010",General,Candidate,False,Ken Buck,Republican Party (United States),"824,789",46.40%
2010,Colorado,"United States Senate election in Colorado, 2010",General,Candidate,False,Bob Kinsey,Green Party of the United States,"38,884",2.19%
2010,Colorado,"United States Senate election in Colorado, 2010",General,Candidate,False,Maclyn Stringer,Libertarian Party (United States),"22,646",1.27%
2010,Colorado,"United States Senate election in Colorado, 2010",General,Candidate,False,Jason Napolitano,Independent,"19,450",1.09%
2010,Colorado,"United States Senate election in Colorado, 2010",General,Candidate,False,Charley Miller,Independent,"11,351",0.64%
2010,Colorado,"United States Senate election in Colorado, 2010",General,Candidate,False,J. Moromisato,Independent,"5,780",0.33%
2010,Colorado,"United States Senate election in Colorado, 2010",General,Write-in,False,,,83,0.07%
2010,Colorado,"United States Senate election in Colorado, 2010",General,Total,False,,,"1,777,668",100.0%
2010,Connecticut,State Republican Convention results (first round),General,Winning,False,Linda McMahon*,Republican Party (United States),737,51.76%
