Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage
2014,Alabama,"United States Senate election in Alabama, 2014",General,Winning,True,Jeff Sessions,Republican Party (United States),"795,606",97.25%
2014,Alabama,"United States Senate election in Alabama, 2014",General,Write-in,False,,,"22,484",2.75%
2014,Alabama,"United States Senate election in Alabama, 2014",General,Total,False,,,"818,090",100.00%
2014,Alaska,2014 United States Senate election in Alaska,General,Winning,False,[[Dan Sullivan (U.S. senator),Republican Party (United States),"135,445",47.96%
2014,Alaska,2014 United States Senate election in Alaska,General,Candidate,True,Mark Begich,Democratic Party (United States),"129,431",45.83%
2014,Alaska,2014 United States Senate election in Alaska,General,Candidate,False,Mark Fish,Alaska Libertarian Party,"10,512",3.72%
2014,Alaska,2014 United States Senate election in Alaska,General,Candidate,False,Ted Gianoutsos,Independent,"5,636",2.00%
2014,Alaska,2014 United States Senate election in Alaska,General,Write-in,False,,,"1,376",0.49%
2014,Alaska,2014 United States Senate election in Alaska,General,Total,False,,,"282,400",100.00%
2014,Arkansas,"United States Senate election in Arkansas, 2014",General,Winning,False,Tom Cotton,Republican Party (United States),"478,819",56.50%
2014,Arkansas,"United States Senate election in Arkansas, 2014",General,Candidate,True,Mark Pryor,Democratic Party (United States),"334,174",39.43%
2014,Arkansas,"United States Senate election in Arkansas, 2014",General,Candidate,False,Nathan LaFrance,Libertarian Party (United States),"17,210",2.03%
2014,Arkansas,"United States Senate election in Arkansas, 2014",General,Candidate,False,Mark Swaney,Green Party (United States),"16,797",1.98%
2014,Arkansas,"United States Senate election in Arkansas, 2014",General,Write-in,False,,,505,0.06%
2014,Arkansas,"United States Senate election in Arkansas, 2014",General,Total,False,,,"847,505",100.00%
2014,Colorado,"United States Senate election in Colorado, 2014",General,Winning,False,Cory Gardner,Republican Party (United States),"983,891",48.21%
2014,Colorado,"United States Senate election in Colorado, 2014",General,Candidate,True,Mark Udall,Democratic Party (United States),"944,203",46.26%
2014,Colorado,"United States Senate election in Colorado, 2014",General,Candidate,False,Gaylon Kent,Libertarian Party (United States),"52,876",2.59%
2014,Colorado,"United States Senate election in Colorado, 2014",General,Candidate,False,Steve Shogan,Independent,"29,472",1.44%
2014,Colorado,"United States Senate election in Colorado, 2014",General,Candidate,False,Raúl Acosta,Independent,"24,151",1.18%
2014,Colorado,"United States Senate election in Colorado, 2014",General,Candidate,False,Bill Hammons,Unity Party of America,"6,427",0.32%
2014,Colorado,"United States Senate election in Colorado, 2014",General,Total,False,,,"2,041,020",100.00%
2014,Delaware,"United States Senate election in Delaware, 2014",General,Winning,True,Chris Coons,Democratic Party (United States),"130,655",55.83%
2014,Delaware,"United States Senate election in Delaware, 2014",General,Candidate,False,Kevin Wade,Republican Party (United States),"98,823",42.23%
2014,Delaware,"United States Senate election in Delaware, 2014",General,Candidate,False,Andrew Groff,Green Party (United States),"4,560",1.95%
2014,Delaware,"United States Senate election in Delaware, 2014",General,Total,False,,,"234,038",100.00%
2014,Georgia,"United States Senate election in Georgia, 2014",General,Winning,False,David Perdue,Republican Party (United States),"1,358,088",52.89%
2014,Georgia,"United States Senate election in Georgia, 2014",General,Candidate,False,Michelle Nunn,Democratic Party (United States),"1,160,811",45.21%
2014,Georgia,"United States Senate election in Georgia, 2014",General,Candidate,False,Amanda Swafford,Libertarian Party (United States),"48,862",1.90%
2014,Georgia,"United States Senate election in Georgia, 2014",General,Total,False,,,"2,567,761",100.00%
2014,Hawaii (special),"United States Senate special election in Hawaii, 2014",General,Winning,True,Brian Schatz,Democratic Party (United States),"246,827",69.78%
2014,Hawaii (special),"United States Senate special election in Hawaii, 2014",General,Candidate,False,Campbell Cavasso,Republican Party (United States),"98,006",27.70%
2014,Hawaii (special),"United States Senate special election in Hawaii, 2014",General,Candidate,False,Michael Kokoski,Libertarian Party (United States),"8,941",2.52%
2014,Hawaii (special),"United States Senate special election in Hawaii, 2014",General,Total,False,,,"353,774",100.00%
2014,Idaho,"United States Senate election in Idaho, 2014",General,Winning,True,Jim Risch,Republican Party (United States),"285,596",65.33%
2014,Idaho,"United States Senate election in Idaho, 2014",General,Candidate,False,Nels Mitchell,Democratic Party (United States),"151,574",34.67%
2014,Idaho,"United States Senate election in Idaho, 2014",General,Total,False,,,"437,170",100.00%
2014,Illinois,"United States Senate election in Illinois, 2014",General,Winning,True,Dick Durbin,Democratic Party (United States),"1,929,637",53.55%
2014,Illinois,"United States Senate election in Illinois, 2014",General,Candidate,False,Jim Oberweis,Republican Party (United States),"1,538,522",42.69%
2014,Illinois,"United States Senate election in Illinois, 2014",General,Candidate,False,Sharon Hansen,Libertarian Party (United States),"135,316",3.76%
2014,Illinois,"United States Senate election in Illinois, 2014",General,Write-in,False,,,44,0.00%
2014,Illinois,"United States Senate election in Illinois, 2014",General,Total,False,,,"3,603,519",100.00%
2014,Iowa,"United States Senate election in Iowa, 2014",General,Winning,False,Joni Ernst,Republican Party (United States),"588,575",52.10%
2014,Iowa,"United States Senate election in Iowa, 2014",General,Candidate,False,Bruce Braley,Democratic Party (United States),"494,370",43.76%
2014,Iowa,"United States Senate election in Iowa, 2014",General,Candidate,False,Rick Stewart,Independent,"26,815",2.37%
2014,Iowa,"United States Senate election in Iowa, 2014",General,Candidate,False,Douglas Butzier,Libertarian Party (United States),"8,232",0.73%
2014,Iowa,"United States Senate election in Iowa, 2014",General,Candidate,False,Bob Quast,Independent,"5,873",0.52%
2014,Iowa,"United States Senate election in Iowa, 2014",General,Candidate,False,Ruth Smith,Independent,"4,724",0.42%
2014,Iowa,"United States Senate election in Iowa, 2014",General,Write-in,False,,,"1,111",0.10%
2014,Iowa,"United States Senate election in Iowa, 2014",General,Total,False,,,"1,129,700",100.00%
2014,Kansas,"United States Senate election in Kansas, 2014",General,Winning,True,Pat Roberts,Republican Party (United States),"460,350",53.15%
2014,Kansas,"United States Senate election in Kansas, 2014",General,Candidate,False,Greg Orman,Independent,"368,372",42.53%
2014,Kansas,"United States Senate election in Kansas, 2014",General,Candidate,False,Randall Batson,Libertarian Party (United States),"37,469",4.32%
2014,Kansas,"United States Senate election in Kansas, 2014",General,Total,False,,,"866,191",100.00%
2014,Kentucky,"United States Senate election in Kentucky, 2014",General,Winning,True,Mitch McConnell,Republican Party (United States),"806,787",56.19%
2014,Kentucky,"United States Senate election in Kentucky, 2014",General,Candidate,False,Alison Lundergan Grimes,Democratic Party (United States),"584,698",40.72%
2014,Kentucky,"United States Senate election in Kentucky, 2014",General,Candidate,False,David M. Patterson,Libertarian Party (United States),"44,240",3.08%
2014,Kentucky,"United States Senate election in Kentucky, 2014",General,Write-in,False,,,143,0.01%
2014,Kentucky,"United States Senate election in Kentucky, 2014",General,Total,False,,,"1,453,868",100.0%
2014,Louisiana,"United States Senate election runoff in Louisiana, 2014",General,Winning,False,Bill Cassidy,Republican Party (United States),"712,379",55.93%
