Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage
2004,Alaska,Republican primary results,Primary,Winning,True,Lisa Murkowski,Republican Party (United States),"45,710",58.1%
2004,Alaska,Republican primary results,Primary,Candidate,False,Mike Miller,Republican Party (United States),"29,313",37.3%
2004,Alaska,Republican primary results,Primary,Candidate,False,Wev Shea,Republican Party (United States),"2,857",3.6%
2004,Alaska,Republican primary results,Primary,Candidate,False,Jim Dore,Republican Party (United States),748,0.9%
2004,Alaska,Republican primary results,Primary,Total,False,,,"78,628",100.0%
2004,Alaska,Democratic primary results,Primary,Winning,False,Tony Knowles,Democratic Party (United States),"40,881",95.0%
2004,Alaska,Democratic primary results,Primary,Candidate,False,Don Wright,Democratic Party (United States),"1,080",2.5%
2004,Alaska,Democratic primary results,Primary,Candidate,False,Theresa Obermeyer,Democratic Party (United States),"1,045",2.4%
2004,Alaska,Democratic primary results,Primary,Total,False,,,"43,006",100.0%
2004,Arkansas,Republican Primary results,Primary,Winning,False,Jim Holt,Republican Party (United States),"37,254",68.9%
2004,Arkansas,Republican Primary results,Primary,Candidate,False,Andy Lee,Republican Party (United States),"10,709",19.8%
2004,Arkansas,Republican Primary results,Primary,Candidate,False,Rosemarie Clampitt,Republican Party (United States),"6,078",11.3%
2004,Arkansas,Republican Primary results,Primary,Total,False,,,"54,041",100.0%
2004,California,"2004 United States Senate Democratic primary, California",Primary,Winning,True,Barbara Boxer,Democratic Party (United States),"2,566,298",100.00%
2004,California,2004 California Republican primary,Primary,Winning,False,[[Bill Jones (California politician),Republican Party (US),"1,015,748",44.81%
2004,California,2004 California Republican primary,Primary,Candidate,False,Rosario Marin,Republican Party (US),"454,176",20.03%
2004,California,2004 California Republican primary,Primary,Candidate,False,Howard Kaloogian,Republican Party (US),"253,331",11.17%
2004,California,2004 California Republican primary,Primary,Candidate,False,Toni Casey,Republican Party (US),"142,080",6.27%
2004,California,2004 California Republican primary,Primary,Candidate,False,Tim Stoen,Republican Party (US),"124,940",5.51%
2004,California,2004 California Republican primary,Primary,Candidate,False,James Stewart,Republican Party (US),"78,264",3.45%
2004,California,2004 California Republican primary,Primary,Candidate,False,Barry L. Hatch,Republican Party (US),"71,244",3.14%
2004,California,2004 California Republican primary,Primary,Candidate,False,John M. Van Zandt,Republican Party (US),"56,925",2.51%
2004,California,2004 California Republican primary,Primary,Candidate,False,Danney Ball,Republican Party (US),"37,745",1.66%
2004,California,2004 California Republican primary,Primary,Candidate,False,Bill Quraishi,Republican Party (US),"32,515",1.43%
2004,California,2004 California Republican primary,Primary,Total,False,,Republican Party (US),"2,266,968",100.00%
2004,California,"2004 United States AI Senate primary, California",Primary,Winning,False,Don J. Grundmann,American Independent Party,"32,025",100.00%
2004,California,"2004 United States Senate Libertarian primary, California",Primary,Total,False,,,"23,833",100.00%
2004,California,"2004 United States PF Senate primary, California",Primary,Winning,False,Marsha Feinland,Peace and Freedom Party (United States),"4,864",100.00%
2004,Colorado,Democratic Primary results,Primary,Winning,False,Ken Salazar,Democratic Party (United States),"173,167",73.02%
2004,Colorado,Democratic Primary results,Primary,Candidate,False,Mike Miles,Democratic Party (United States),"63,973",26.98%
2004,Colorado,Democratic Primary results,Primary,Total,False,,,"237,140",100.00%
2004,Colorado,Republican Primary results,Primary,Winning,False,Pete Coors,Republican Party (United States),"203,157",60.57%
2004,Colorado,Republican Primary results,Primary,Candidate,False,Bob Schaffer,Republican Party (United States),"132,274",39.43%
2004,Colorado,Republican Primary results,Primary,Total,False,,,"335,431",100.00%
2004,Florida,Democratic primary results,Primary,Winning,False,Betty Castor,Democratic Party (United States),"669,346",58.1%
2004,Florida,Democratic primary results,Primary,Candidate,False,Peter Deutsch,Democratic Party (United States),"321,922",27.9%
2004,Florida,Democratic primary results,Primary,Candidate,False,Alex Penelas,Democratic Party (United States),"115,898",10.1%
2004,Florida,Democratic primary results,Primary,Candidate,False,Bernard E. Klein,Democratic Party (United States),"45,347",3.9%
2004,Florida,Democratic primary results,Primary,Total,False,,,"1,152,513",100.0%
2004,Florida,Republican Primary results,Primary,Winning,False,Mel Martínez,Republican Party (United States),"522,994",44.9%
2004,Florida,Republican Primary results,Primary,Candidate,False,Bill McCollum,Republican Party (United States),"360,474",30.9%
2004,Florida,Republican Primary results,Primary,Candidate,False,Doug Gallagher,Republican Party (United States),"158,360",13.6%
2004,Florida,Republican Primary results,Primary,Candidate,False,Johnnie Byrd,Republican Party (United States),"68,982",5.9%
2004,Florida,Republican Primary results,Primary,Candidate,False,Karen Saull,Republican Party (United States),"20,365",1.8%
