Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1938,Alabama,"Alabama special Democratic primary, January 4, 1938",Primary,Winning,False,Democratic Party (US),J. Lister Hill,"90,601",61.81%
1938,Alabama,"Alabama special Democratic primary, January 4, 1938",Primary,Candidate,False,Democratic Party (US),James Thomas Heflin,"50,189",34.24%
1938,Alabama,"Alabama special Democratic primary, January 4, 1938",Primary,Candidate,False,Democratic Party (US),Charles W. Williams,"5,783",3.95%
1938,Alabama (special),"Alabama special Democratic primary, January 4, 1938",Primary,Winning,False,Democratic Party (United States),J. Lister Hill,"90,601",61.81%
1938,Alabama (special),"Alabama special Democratic primary, January 4, 1938",Primary,Candidate,False,Democratic Party (United States),James Thomas Heflin,"50,189",34.24%
1938,Alabama (special),"Alabama special Democratic primary, January 4, 1938",Primary,Candidate,False,Democratic Party (United States),Charles W. Williams,"5,783",3.95%
1938,Alabama (special),Arizona Democratic primary,Primary,Winning,True,Democratic Party (United States),Carl T. Hayden,"68,328",65.48%
1938,Alabama (special),Arizona Democratic primary,Primary,Winning,True,Democratic Party (United States),Carl T. Hayden,"82,714",76.52%
1938,Alabama (special),Arizona Democratic primary,Primary,Winning,True,Democratic Party (United States),Hattie Wyatt Caraway,"122,883",89.58%
1938,Alabama (special),Arizona Democratic primary,Primary,Candidate,False,Democratic Party (United States),Robert E. Miller,"22,154",21.23%
1938,Alabama (special),Arizona Democratic primary,Primary,Candidate,False,Democratic Party (United States),Whit I. Hughes,"13,867",13.29%
1938,Alabama (special),Arizona Democratic primary,Primary,Candidate,False,Republican Party (United States),Burt H. Clingan,"25,378",23.48%
1938,Alabama (special),Arizona Democratic primary,Primary,Candidate,False,Republican Party (United States),C. T. Atkinson,"14,290",10.42%
1938,Alabama (special),Arizona Democratic primary,Primary,Total,False,,,"104,349",100.00
1938,Arizona,Democratic primary results,Primary,Winning,True,Democratic Party (United States),Carl T. Hayden,"68,328",65.48%
1938,Arizona,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Robert E. Miller,"22,154",21.23%
1938,Arizona,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Whit I. Hughes,"13,867",13.29%
1938,Arizona,Democratic primary results,Primary,Total,False,,,"104,349",100.00
1938,Arkansas,1938 Democratic U.S. Senate primary,Primary,Winning,True,Democratic Party (United States),Hattie Caraway,"145,472",51.04%
1938,Arkansas,1938 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),John L. McClellan,"134,708",47.27%
1938,Arkansas,1938 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),J. Rosser Venable,"4,813",1.69%
1938,Arkansas,1938 Democratic U.S. Senate primary,Primary,Total,False,,,"284,993",100.00%
1938,California,1938 Democratic Senate primary,Primary,Winning,False,Democratic Party (United States),Sheridan Downey,"511,952",46.05%
1938,California,1938 Democratic Senate primary,Primary,Candidate,True,Democratic Party (United States),William Gibbs McAdoo,"375,930",33.82%
1938,California,1938 Democratic Senate primary,Primary,Candidate,False,Republican Party (United States),Ray Riley (cross-filing),"103,748",9.33%
1938,California,1938 Democratic Senate primary,Primary,Candidate,False,Democratic Party (United States),John W. Preston,"95,547",8.60%
1938,California,1938 Democratic Senate primary,Primary,Candidate,False,Democratic Party (United States),James W. Mellen,"24,467",2.20%
1938,California,1938 Democratic Senate primary,Primary,Total,False,,,"1,111,644",100.00%
1938,California,1938 Republican Senate primary,Primary,Winning,False,Republican Party (United States),Philip Bancroft,"295,751",44.86%
1938,California,1938 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),Ray L. Riley,"292,940",44.43%
1938,California,1938 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),Louise Ward Watkins,"54,248",8.23%
1938,California,1938 Republican Senate primary,Primary,Candidate,False,Democratic Party (United States),Sheridan Downey (write-in),"16,360",2.48%
1938,California,1938 Republican Senate primary,Primary,Total,False,,,"659,299",100.00%
1938,California,1938 Progressive Senate primary,Primary,Winning,False,Democratic Party (United States),Sheridan Downey (cross-filing),"4,507",64.04%
1938,California,1938 Progressive Senate primary,Primary,Candidate,False,Republican Party (United States),Ray L. Riley (cross-filing),"1,552",22.05%
1938,California,1938 Progressive Senate primary,Primary,Candidate,False,California Progressive Party,Paul H. Bruns,939,13.91%
1938,California,1938 Progressive Senate primary,Primary,Total,False,,,"659,299",100.00%
1938,California,1938 Townsendite Party Senate primary,Primary,Winning,False,Democratic Party (United States),Sheridan Downey (cross-filing),"14,132",91.39%
1938,California,1938 Townsendite Party Senate primary,Primary,Candidate,False,Republican Party (United States),Ray L. Riley (cross-filing),"7,038",8.61%
1938,California,1938 Townsendite Party Senate primary,Primary,Total,False,,,"15,463",100.00%
1938,Colorado,Democratic primary results,Primary,Winning,False,Democratic Party (United States),Alva B. Adams (inc.),"92,006",100.00
1938,Colorado,Democratic primary results,Primary,Total,False,,,"92,006",100.00
1938,Colorado,Republican primary results,Primary,Winning,False,Republican Party (United States),Archibald A. Lee,"57,410",100.00
1938,Colorado,Republican primary results,Primary,Total,False,,,"57,410",100.00
1938,Idaho,Democratic primary results,Primary,Winning,False,Democratic Party (United States),D. Worth Clark,"43,736",51.78
