Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage
1918,Colorado,1918 United States Senate election in Colorado,General,Winning,False,Lawrence C. Phipps,Republican Party (United States),"107,726",49.49%
1918,Colorado,1918 United States Senate election in Colorado,General,Candidate,False,John F. Shafroth (inc.),Democratic Party (United States),"104,347",47.94%
1918,Colorado,1918 United States Senate election in Colorado,General,Candidate,False,P. A. Richardson,Prohibition Party (United States),"5,606",2.58%
1918,Colorado,1918 United States Senate election in Colorado,General,Total,False,,,"217,679",100.00%
1918,Idaho (special),1918 United States Senate election in Idaho,General,Winning,True,John F. Nugent,Democratic Party (US),"48,467",50.51
1918,Idaho (special),1918 United States Senate election in Idaho,General,Candidate,False,Frank R. Gooding,Republican Party (US),"47,497",49.49
1918,Iowa,1918 U.S. Senate election in Iowa,General,Winning,False,William S. Kenyon,Republican Party (United States),"230,264",65.40%
1918,Iowa,1918 U.S. Senate election in Iowa,General,Candidate,False,Charles Rollin Keyes,Democratic Party (United States),"121,830",34.60%
1918,Iowa,1918 U.S. Senate election in Iowa,General,Total,False,,,"352,094",100.00%
1918,Kansas,1918 United States Senate election in Kansas,General,Winning,False,Arthur Capper,Republican Party (United States),"281,931",63.69%
1918,Kansas,1918 United States Senate election in Kansas,General,Candidate,False,William H. Thompson (inc.),Democratic Party (United States),"149,300",33.73%
1918,Kansas,1918 United States Senate election in Kansas,General,Candidate,False,Eva Harding,Socialist Party of America,"11,429",2.58%
1918,Kansas,1918 United States Senate election in Kansas,General,Write-in,False,,,4,0.00%
1918,Kansas,1918 United States Senate election in Kansas,General,Total,False,,,"442,664",100.00%
1918,Maine,1918 U.S. Senate election in Maine,General,Winning,False,Bert Fernald (inc.),Republican Party (United States),"67,431",55.40%
1918,Maine,1918 U.S. Senate election in Maine,General,Candidate,False,Elmer E. Newbert,Democratic Party (United States),"54,289",44.60%
1918,Maine,1918 U.S. Senate election in Maine,General,Total,False,,,"121,720",100.00%
1918,Massachusetts,General election,General,Winning,False,David I. Walsh,Democratic Party (US),"207,478",49.66%
1918,Massachusetts,General election,General,Candidate,True,John W. Weeks,Republican Party (US),"188,287",45.06%
1918,Massachusetts,General election,General,Candidate,False,Thomas W. Lawson,Independent (politician),"21,985",5.26%
1918,Massachusetts,General election,General,Candidate,False,All others,Write-in,92,0.02%
1918,Massachusetts,General election,General,Total,False,,,"417,842",100.00%
1918,Michigan,1918 United States Senate election in Michigan,General,Winning,False,Truman Newberry,Republican Party (US),"114,963",47.23%
1918,Michigan,1918 United States Senate election in Michigan,General,Candidate,False,Henry Ford,Republican Party (US),"71,800",29.87%
1918,Michigan,1918 United States Senate election in Michigan,General,Candidate,False,Chase S. Osborn,Republican Party (US),"47,019",19.56%
1918,Michigan,1918 United States Senate election in Michigan,General,Candidate,False,William G. Simpson,Republican Party (US),"5,970",2.48%
1918,Michigan,1918 United States Senate election in Michigan,General,Write-in,False,,,620,0.22%
1918,Michigan,1918 United States Senate election in Michigan,General,Total,False,,,"240,372",100.00%
1918,Michigan,1918 United States Senate election in Michigan,General,Winning,False,Truman Handy Newberry,Republican Party (United States),"220,054",50.19%
1918,Michigan,1918 United States Senate election in Michigan,General,Candidate,False,Henry Ford,Democratic Party (United States),"212,487",48.47%
1918,Michigan,1918 United States Senate election in Michigan,General,Candidate,False,Edward O. Foss,Socialist Party of America,"4,763",1.09%
1918,Michigan,1918 United States Senate election in Michigan,General,Candidate,False,William J. Faull,Prohibition Party,"1,133",0.26%
1918,Michigan,1918 United States Senate election in Michigan,General,Write-in,False,,,15,0.00%
