Year,State,Primary_Type,Poll_Source,Date,Date_Start,Date_End,Sample,MoE,Candidate,Party,Pct,Incumbent,Date_Original
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,1938-03,1938-03-01,1938-03-31,,,Alben Barkley,D,69%,True,March 1938
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,1938-04,1938-04-01,1938-04-30,,,Alben Barkley,D,67%,True,April 1938
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,1938-05,1938-05-01,1938-05-31,,,Alben Barkley,D,65%,True,May 1938
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,1938-07-08,1938-07-08,1938-07-08,,,Alben Barkley,D,64%,True,"July 8, 1938"
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,1938-07-24,1938-07-24,1938-07-24,,,Alben Barkley,D,61%,True,"July 24, 1938"
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,1938-08-05,1938-08-05,1938-08-05,,,Alben Barkley,D,59%,True,"August 5, 1938"
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,1938-03,1938-03-01,1938-03-31,,,Happy Chandler,D,31%,False,March 1938
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,1938-04,1938-04-01,1938-04-30,,,Happy Chandler,D,33%,False,April 1938
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,1938-05,1938-05-01,1938-05-31,,,Happy Chandler,D,35%,False,May 1938
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,1938-07-08,1938-07-08,1938-07-08,,,Happy Chandler,D,36%,False,"July 8, 1938"
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,1938-07-24,1938-07-24,1938-07-24,,,Happy Chandler,D,39%,False,"July 24, 1938"
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,1938-08-05,1938-08-05,1938-08-05,,,Happy Chandler,D,41%,False,"August 5, 1938"
1938,South Carolina,Democratic Primary,American Institute of Public Opinion,1938-08-29,1938-08-29,1938-08-29,,,Edgar Allan Brown,D,13%,False,"August 29, 1938"
1938,South Carolina,Democratic Primary,American Institute of Public Opinion,1938-08-29,1938-08-29,1938-08-29,,,Olin Johnston,D,36%,False,"August 29, 1938"
1938,South Carolina,Democratic Primary,American Institute of Public Opinion,1938-08-29,1938-08-29,1938-08-29,,,Ellison Smith,D,51%,False,"August 29, 1938"
