Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage
2016,Alabama,Republican primary results,Primary,Winning,True,Richard Shelby,Republican Party (United States),"505,586",64.91%
2016,Alabama,Republican primary results,Primary,Candidate,False,Jonathan McConnell,Republican Party (United States),"214,770",27.58%
2016,Alabama,Republican primary results,Primary,Candidate,False,John Martin,Republican Party (United States),"23,558",3.02%
2016,Alabama,Republican primary results,Primary,Candidate,False,Marcus Bowman,Republican Party (United States),"19,707",2.53%
2016,Alabama,Republican primary results,Primary,Candidate,False,Shadrack McGill,Republican Party (United States),"15,230",1.96%
2016,Alabama,Republican primary results,Primary,Total,False,,,"778,851",100.00%
2016,Alabama,Democratic primary results,Primary,Winning,False,Ron Crumpton,Democratic Party (United States),"145,681",55.97%
2016,Alabama,Democratic primary results,Primary,Candidate,False,Charles Nana,Democratic Party (United States),"114,617",44.03%
2016,Alabama,Democratic primary results,Primary,Total,False,,,"260,298",100.00%
2016,Alaska,Republican primary results,Primary,Winning,True,Lisa Murkowski,Republican Party (United States),"39,545",71.52%
2016,Alaska,Republican primary results,Primary,Candidate,False,Bob Lochner,Republican Party (United States),"8,480",15.34%
2016,Alaska,Republican primary results,Primary,Candidate,False,Paul Kendall,Republican Party (United States),"4,272",7.73%
2016,Alaska,Republican primary results,Primary,Candidate,False,Thomas Lamb,Republican Party (United States),"2,996",5.42%
2016,Alaska,Republican primary results,Primary,Total,False,,,"55,293",100.00%
2016,Alaska,Primary results,Primary,Winning,False,Ray Metcalfe,Democratic Party (United States),"15,228",50.06%
2016,Alaska,Primary results,Primary,Winning,False,Cean Stevens,Alaska Libertarian Party,"5,102",16.77%
2016,Alaska,Primary results,Primary,Candidate,False,Edgar Blatchford,Democratic Party (United States),"10,090",33.17%
2016,Alaska,Primary results,Primary,Total,False,,,"30,420",100.00%
2016,Arizona,Republican primary results,Primary,Winning,True,John McCain,Republican Party (United States),"302,532",51.7%
2016,Arizona,Republican primary results,Primary,Candidate,False,Kelli Ward,Republican Party (United States),"235,988",39.2%
2016,Arizona,Republican primary results,Primary,Candidate,False,Alex Meluskey,Republican Party (United States),"31,159",5.5%
2016,Arizona,Republican primary results,Primary,Candidate,False,Clair Van Steenwyk,Republican Party (United States),"21,476",3.6%
2016,Arizona,Republican primary results,Primary,Candidate,False,Sean Webster (write-in),Republican Party (United States),175,0.0%
2016,Arizona,Republican primary results,Primary,Total,False,,,"591,330",100.0%
2016,Arizona,Democratic primary results,Primary,Winning,False,Ann Kirkpatrick,Democratic Party (United States),"333,586",99.8%
2016,Arizona,Democratic primary results,Primary,Candidate,False,Axel Bello (write-in),Democratic Party (United States),508,0.2%
2016,Arizona,Democratic primary results,Primary,Total,False,,,"334,094",100.0%
2016,Arizona,Green primary results,Primary,Winning,False,Gary Swing (write-in),Green Party (United States),238,100.0%
2016,Arizona,Green primary results,Primary,Total,False,,,238,100.0%
2016,Arizona,Libertarian primary results,Primary,Winning,False,Merissa Hamilton (write-in),Libertarian Party (United States),"1,286",100.0%
2016,Arizona,Libertarian primary results,Primary,Total,False,,,"1,286",100.0%
2016,Arkansas,Republican primary results,Primary,Winning,True,John Boozman,Republican Party (United States),"298,039",76.45%
2016,Arkansas,Republican primary results,Primary,Candidate,False,Curtis Coleman,Republican Party (United States),"91,795",23.55%
2016,Arkansas,Republican primary results,Primary,Total,False,,,"389,834",100.00%
2016,Arkansas,Democratic primary results,Primary,Winning,False,Conner Eldridge,Democratic Party (United States),"214,228",100.00%
2016,Arkansas,Democratic primary results,Primary,Total,False,,,"214,228",100.00%
