Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage,name
2020,Maine,"United States Senate election in Maine, 2020",General,Candidate,False,Lisa Savage,Independent,"40,579",4.95%,
2020,Maine,"United States Senate election in Maine, 2020",General,Candidate,False,Max Linn,Independent,"13,508",1.65%,
2020,Maine,"United States Senate election in Maine, 2020",General,Write-in,False,,,228,0.03%,
2020,Maine,"United States Senate election in Maine, 2020",General,Total,False,,,"819,183",100.0%,
2020,Massachusetts,"United States Senate election in Massachusetts, 2020",General,Winning,True,Ed Markey,Democratic Party (United States),"2,357,809",66.15%,
2020,Massachusetts,"United States Senate election in Massachusetts, 2020",General,Candidate,False,Kevin O'Connor,Republican Party (United States),"1,177,765",33.05%,
2020,Massachusetts,"United States Senate election in Massachusetts, 2020",General,Candidate,False,Shiva Ayyadurai (write-in),Independent,"21,134",0.59%,
2020,Massachusetts,"United States Senate election in Massachusetts, 2020",General,Write-in,False,,,"7,428",0.21%,
2020,Massachusetts,"United States Senate election in Massachusetts, 2020",General,Total,False,,,"3,564,136",100.0%,
2020,Michigan,2020 United States Senate election in Michigan,General,Winning,True,Gary Peters,Democratic Party (United States),"2,734,568",49.90%,
2020,Michigan,2020 United States Senate election in Michigan,General,Candidate,False,John James,Republican Party (United States),"2,642,233",48.22%,
2020,Michigan,2020 United States Senate election in Michigan,General,Candidate,False,Valerie Willis,US Taxpayers Party,"50,597",0.92%,
2020,Michigan,2020 United States Senate election in Michigan,General,Candidate,False,Marcia Squier,Green Party (United States),"39,217",0.72%,
2020,Michigan,2020 United States Senate election in Michigan,General,Candidate,False,Doug Dern,Natural Law Party (United States),"13,093",0.24%,
2020,Michigan,2020 United States Senate election in Michigan,General,Write-in,False,,,12,0.00%,
2020,Michigan,2020 United States Senate election in Michigan,General,Total,False,,,"5,479,720",100.0%,
2020,Minnesota,2020 United States Senate election in Minnesota,General,Winning,True,Tina Smith,Minnesota Democratic-Farmer-Labor Party,"1,566,522",48.74%,
2020,Minnesota,2020 United States Senate election in Minnesota,General,Candidate,False,Jason Lewis,Republican Party (United States),"1,398,145",43.50%,
2020,Minnesota,2020 United States Senate election in Minnesota,General,Candidate,False,Kevin O'Connor,Legal Marijuana Now Party,"190,154",5.91%,
2020,Minnesota,2020 United States Senate election in Minnesota,General,Candidate,False,Oliver Steinberg,Grassroots–Legalize Cannabis Party,"57,174",1.78%,
2020,Minnesota,2020 United States Senate election in Minnesota,General,Write-in,False,,,"2,261",0.07%,
2020,Minnesota,2020 United States Senate election in Minnesota,General,Total,False,,,"3,214,256",100.00%,
2020,Mississippi,2020 United States Senate election in Mississippi,General,Winning,True,Cindy Hyde-Smith,Republican Party (United States),"709,511",54.11%,
2020,Mississippi,2020 United States Senate election in Mississippi,General,Candidate,False,Mike Espy,Democratic Party (United States),"578,691",44.13%,
2020,Mississippi,2020 United States Senate election in Mississippi,General,Candidate,False,Jimmy Edwards,Libertarian Party (United States),"23,152",1.77%,
2020,Mississippi,2020 United States Senate election in Mississippi,General,Total,False,,,"1,311,354",100.00%,
2020,Montana,2020 United States Senate election in Montana,General,Winning,True,Steve Daines,Republican Party (United States),"333,174",55.01%,
2020,Montana,2020 United States Senate election in Montana,General,Candidate,False,Steve Bullock,Democratic Party (United States),"272,463",44.99%,
2020,Montana,2020 United States Senate election in Montana,General,Total,False,,,"605,637",100.00%,
2020,Nebraska,"United States Senate election in Nebraska, 2020",General,Winning,False,Ben Sasse (inc.),Republican Party (United States),"583,507",62.74%,
2020,Nebraska,"United States Senate election in Nebraska, 2020",General,Candidate,False,Chris Janicek,Democratic Party (United States),"227,191",24.43%,
2020,Nebraska,"United States Senate election in Nebraska, 2020",General,Write-in,False,,,"5,788",0.62%,
2020,Nebraska,"United States Senate election in Nebraska, 2020",General,Total,False,,,"930,012",100.0%,
2020,New Hampshire,"United States Senate election in New Hampshire, 2020",General,Winning,True,Jeanne Shaheen,Democratic Party (United States),"450,778",56.63%,
2020,New Hampshire,"United States Senate election in New Hampshire, 2020",General,Candidate,False,"Bryant ""Corky"" Messner",Republican Party (United States),"326,229",40.99%,
2020,New Hampshire,"United States Senate election in New Hampshire, 2020",General,Candidate,False,Justin O'Donnell,Libertarian Party (United States),"18,421",2.32%,
2020,New Hampshire,"United States Senate election in New Hampshire, 2020",General,Write-in,False,,,486,0.06%,
2020,New Hampshire,"United States Senate election in New Hampshire, 2020",General,Total,False,,,"795,914",100.0%,
2020,New Jersey,2020 United States Senate election in New Jersey,General,Winning,True,Cory Booker,Democratic Party (United States),"2,541,239",57.23%,
2020,New Jersey,2020 United States Senate election in New Jersey,General,Candidate,False,Rikin Mehta,Republican Party (United States),"1,817,091",40.92%,
2020,New Jersey,2020 United States Senate election in New Jersey,General,Candidate,False,Madelyn Hoffman,Green Party (United States),"38,288",0.86%,
2020,New Jersey,2020 United States Senate election in New Jersey,General,Candidate,False,Veronica Fernandez,Independent,"32,290",0.73%,
2020,New Jersey,2020 United States Senate election in New Jersey,General,Candidate,False,Daniel Burke,Independent,"11,632",0.26%,
2020,New Jersey,2020 United States Senate election in New Jersey,General,Total,False,,,"4,440,540",100.00%,
2020,New Mexico,"United States Senate election in New Mexico, 2020",General,Winning,False,Ben Ray Luján,Democratic Party (United States),"474,483",51.73%,
2020,New Mexico,"United States Senate election in New Mexico, 2020",General,Candidate,False,Mark Ronchetti,Republican Party (United States),"418,483",45.62%,
2020,New Mexico,"United States Senate election in New Mexico, 2020",General,Candidate,False,Bob Walsh,Libertarian Party (United States),"24,271",2.65%,
2020,New Mexico,"United States Senate election in New Mexico, 2020",General,Total,False,,,"917,237",100.00%,
2020,North Carolina,2020 United States Senate election in North Carolina,General,Winning,True,Thom Tillis,Republican Party (United States),"2,665,598",48.69%,
2020,North Carolina,2020 United States Senate election in North Carolina,General,Candidate,False,Cal Cunningham,Democratic Party (United States),"2,569,965",46.94%,
2020,North Carolina,2020 United States Senate election in North Carolina,General,Candidate,False,Shannon Bray,Libertarian Party (United States),"171,571",3.13%,
2020,North Carolina,2020 United States Senate election in North Carolina,General,Candidate,False,Kevin E. Hayes,Constitution Party (United States),"67,818",1.24%,
2020,North Carolina,2020 United States Senate election in North Carolina,General,Total,False,,,"5,474,952",100.00%,
2020,Oklahoma,"United States Senate election in Oklahoma, 2020",General,Winning,True,Jim Inhofe,Republican Party (United States),"979,140",62.91%,
2020,Oklahoma,"United States Senate election in Oklahoma, 2020",General,Candidate,False,Abby Broyles,Democratic Party (United States),"509,763",32.75%,
2020,Oklahoma,"United States Senate election in Oklahoma, 2020",General,Candidate,False,Robert Murphy,Libertarian Party (United States),"34,435",2.21%,
2020,Oklahoma,"United States Senate election in Oklahoma, 2020",General,Candidate,False,Joan Farr,Independent,"21,652",1.39%,
2020,Oklahoma,"United States Senate election in Oklahoma, 2020",General,Candidate,False,A. D. Nesbit,Independent,"11,371",0.73%,
2020,Oklahoma,"United States Senate election in Oklahoma, 2020",General,Total,False,,,"1,556,361",100.0%,
2020,Oregon,2020 United States Senate election in Oregon,General,Winning,True,Jeff Merkley,Democratic Party (United States),"1,321,047",56.91%,
2020,Oregon,2020 United States Senate election in Oregon,General,Candidate,False,Jo Rae Perkins,Republican Party (United States),"912,814",39.32%,
2020,Oregon,2020 United States Senate election in Oregon,General,Candidate,False,Gary Dye,Libertarian Party (United States),"42,747",1.84%,
2020,Oregon,2020 United States Senate election in Oregon,General,Candidate,False,Ibrahim Taher,Pacific Green Party,"42,239",1.82%,
2020,Oregon,2020 United States Senate election in Oregon,General,Write-in,False,,,"2,402",0.10%,
2020,Oregon,2020 United States Senate election in Oregon,General,Total,False,,,"2,321,249",100.00%,
2020,Rhode Island,"United States Senate election in Rhode Island, 2020",General,Winning,False,Jack Reed,Democratic Party (United States),"328,574",66.48%,
2020,Rhode Island,"United States Senate election in Rhode Island, 2020",General,Candidate,False,Allen Waters,Republican Party (United States),"164,855",33.35%,
2020,Rhode Island,"United States Senate election in Rhode Island, 2020",General,Write-in,False,,,833,0.17%,
2020,Rhode Island,"United States Senate election in Rhode Island, 2020",General,Total,False,,,"494,262",100.0%,
2020,South Carolina,"United States Senate election in South Carolina, 2020",General,Winning,True,Lindsey Graham,Republican Party (United States),"1,369,137",54.44%,
2020,South Carolina,"United States Senate election in South Carolina, 2020",General,Candidate,False,Jaime Harrison,Democratic Party (United States),"1,110,828",44.17%,
2020,South Carolina,"United States Senate election in South Carolina, 2020",General,Candidate,False,Bill Bledsoe,Constitution Party (United States),"32,845",1.30%,
2020,South Carolina,"United States Senate election in South Carolina, 2020",General,Write-in,False,,,"2,294",0.09%,
2020,South Carolina,"United States Senate election in South Carolina, 2020",General,Total,False,,,"2,515,104",100.00%,
2020,South Dakota,2020 United States Senate election in South Dakota,General,Winning,True,Mike Rounds,Republican Party (United States),"276,232",65.74%,
2020,South Dakota,2020 United States Senate election in South Dakota,General,Candidate,False,Daniel Ahlers,Democratic Party (United States),"143,987",34.26%,
2020,South Dakota,2020 United States Senate election in South Dakota,General,Total,False,,,"420,219",100.00%,
2020,Tennessee,2020 United States Senate election in Tennessee,General,Winning,False,Bill Hagerty,Republican Party (United States),"1,840,926",62.20%,
2020,Tennessee,2020 United States Senate election in Tennessee,General,Candidate,False,Marquita Bradshaw,Democratic Party (United States),"1,040,691",35.16%,
2020,Tennessee,2020 United States Senate election in Tennessee,General,Candidate,False,Elizabeth McLeod,Independent,"16,652",0.56%,
2020,Tennessee,2020 United States Senate election in Tennessee,General,Candidate,False,Yomi Faparusi,Independent,"10,727",0.36%,
2020,Tennessee,2020 United States Senate election in Tennessee,General,Candidate,False,Stephen Hooper,Independent,"9,609",0.32%,
2020,Tennessee,2020 United States Senate election in Tennessee,General,Candidate,False,Kacey Morgan (withdrawn),Independent,"9,598",0.32%,
2020,Tennessee,2020 United States Senate election in Tennessee,General,Candidate,False,Ronnie Henley,Independent,"8,478",0.30%,
2020,Tennessee,2020 United States Senate election in Tennessee,General,Candidate,False,Aaron James,Independent,"7,203",0.29%,
2020,Tennessee,2020 United States Senate election in Tennessee,General,Candidate,False,Eric William Stansberry,Independent,"6,781",0.23%,
2020,Tennessee,2020 United States Senate election in Tennessee,General,Candidate,False,Dean Hill,Independent,"4,872",0.16%,
2020,Tennessee,2020 United States Senate election in Tennessee,General,Candidate,False,Jeffrey Grunau,Independent,"4,160",0.14%,
2020,Tennessee,2020 United States Senate election in Tennessee,General,Write-in,False,,,64,0.00%,
2020,Tennessee,2020 United States Senate election in Tennessee,General,Total,False,,,"2,959,761",100.00%,
2020,Texas,2020 United States Senate election in Texas,General,Winning,True,John Cornyn,Republican Party (United States),"5,962,983",53.51%,
2020,Texas,2020 United States Senate election in Texas,General,Candidate,False,MJ Hegar,Democratic Party (United States),"4,889,384",43.87%,
2020,Texas,2020 United States Senate election in Texas,General,Candidate,False,Kerry McKennon,Libertarian Party (United States),"209,722",1.88%,
2020,Texas,2020 United States Senate election in Texas,General,Candidate,False,David Collins,Green Party (United States),"81,893",0.73%,
2020,Texas,2020 United States Senate election in Texas,General,Candidate,False,Ricardo Turullols-Bonilla (write-in),Independent,678,0.01%,
