Year,State,Election,Election_Type,Row_Type,Incumbent,votes,percentage,candidate,party
1924,Oklahoma,1924 United States Senate election in Oklahoma,General,Candidate,False,"196,417",35.54%,Jack C. Walton,Democratic Party (United States)
1924,Oklahoma,1924 United States Senate election in Oklahoma,General,Candidate,False,"15,025",2.72%,George Wilson,Farmer–Labor Party
1924,Oklahoma,1924 United States Senate election in Oklahoma,General,Candidate,False,541,0.10%,Jack Benson,Independent (politician)
1924,Oklahoma,1924 United States Senate election in Oklahoma,General,Candidate,False,516,0.09%,E. N. Bryant,Independent (politician)
1924,Oklahoma,1924 United States Senate election in Oklahoma,General,Candidate,False,239,0.04%,Alonzo Turner,Independent (politician)
1924,Oklahoma,1924 United States Senate election in Oklahoma,General,Candidate,False,237,0.04%,Thomas P. Hopley,Independent (politician)
1924,South Carolina,1924 U.S. Senate election in South Carolina,General,Winning,False,"49,060",100.0,Coleman Livingston Blease,Democratic Party (United States)
1924,South Dakota,1924 United States Senate election in South Dakota,General,Winning,False,"90,006",44.13%,William H. McMaster,Republican Party (United States)
1924,South Dakota,1924 United States Senate election in South Dakota,General,Candidate,False,"63,728",31.24%,Ulysses Simpson Grant Cherry,Democratic Party (United States)
1924,South Dakota,1924 United States Senate election in South Dakota,General,Candidate,False,"20,952",10.27%,Tom Ayres,Farmer–Labor Party
1924,South Dakota,1924 United States Senate election in South Dakota,General,Candidate,False,"14,484",7.10%,George W. Egan,Independent (politician)
1924,South Dakota,1924 United States Senate election in South Dakota,General,Candidate,False,"8,442",4.14%,Mark P. Bates,Independent (politician)
1924,South Dakota,1924 United States Senate election in South Dakota,General,Candidate,False,"3,835",1.88%,C. H. Dillon,Independent (politician)
1924,South Dakota,1924 United States Senate election in South Dakota,General,Candidate,False,"1,378",0.68%,H. L. Loucks,Independent (politician)
1924,South Dakota,1924 United States Senate election in South Dakota,General,Candidate,False,"1,138",0.56%,Don Livingston,Independent (politician)
1924,Texas,1924 United States Senate election in Texas,General,Total,False,"693,121",100.00%,,
1924,Virginia,"United States Senate election in Virginia, 1924",General,Winning,False,"151,498",73.12%,Carter Glass ([[incumbent,Democratic Party (United States)
1924,Virginia,"United States Senate election in Virginia, 1924",General,Candidate,False,"50,092",24.18%,William N. Doak,Republican Party (United States)
1924,Virginia,"United States Senate election in Virginia, 1924",General,Candidate,False,"5,594",2.70%,Carroll L. Riker,"Progressive Party (United States, 1912)"
1924,Wyoming,1924 United States Senate election in Wyoming,General,Winning,False,"41,293",55.18%,Francis E. Warren ([[incumbent,Republican Party (United States)
1924,Wyoming,1924 United States Senate election in Wyoming,General,Candidate,False,"33,536",44.82%,Robert R. Rose,Democratic Party (United States)
