Year,State,Primary_Type,Poll_Source,Date,Sample,MoE,Candidate,Party,Pct,Incumbent
2020,Alabama,Republican Primary,WPA Intelligence,"February 18–19, 2020",607 (LV),± 4%,Stanley Adair,R,<1%,False
2020,Alabama,Republican Primary,WPA Intelligence,"February 10–12, 2020",600 (LV),± 4%,Stanley Adair,R,<1%,False
2020,Alabama,Republican Primary,Cherry Communications,"December 1–3, 2019",600 (LV),± 4.0%,Stanley Adair,R,1%,False
2020,Alabama,Republican Primary,Cygnal,"October 10–12, 2019",536 (LV),,Stanley Adair,R,1%,False
2020,Alabama,Republican Primary,Tommy for Senate,"Released on October 5, 2019",,,Stanley Adair,R,1%,False
2020,Alabama,Republican Primary,Mason-Dixon,"April 9–11, 2019",400 (RV),± 5.0%,Mo Brooks,R,18%,False
2020,Alabama,Republican Primary,Victory Phones,Released in February 2019,400 (LV),± 5.0%,Mo Brooks,R,30%,False
2020,Alabama,Republican Primary,WPA Intelligence,"February 18–19, 2020",607 (LV),± 4%,Bradley Byrne,R,17%,False
2020,Alabama,Republican Primary,WPA Intelligence,"February 10–12, 2020",600 (LV),± 4%,Bradley Byrne,R,17%,False
2020,Alabama,Republican Primary,Harper Polling,"February 8–9, 2020",609 (LV),± 3.97%,Bradley Byrne,R,26%,False
2020,Alabama,Republican Primary,Mason-Dixon,"February 4–6, 2020",400 (LV),± 5.0%,Bradley Byrne,R,17%,False
2020,Alabama,Republican Primary,OnMessage,"January 13–15, 2020",700 (LV),± 2.5%,Bradley Byrne,R,22%,False
2020,Alabama,Republican Primary,OnMessage,"December 3–5, 2019",700 (LV),± 3.7%,Bradley Byrne,R,14%,False
2020,Alabama,Republican Primary,Cherry Communications,"December 1–3, 2019",600 (LV),± 4.0%,Bradley Byrne,R,12%,False
2020,Alabama,Republican Primary,WPA Intelligence,"October 29–31, 2019",511 (V),± 4.4%,Bradley Byrne,R,11%,False
2020,Alabama,Republican Primary,Cygnal,"October 10–12, 2019",536 (LV),,Bradley Byrne,R,18%,False
2020,Alabama,Republican Primary,Tommy for Senate,"Released on October 5, 2019",,,Bradley Byrne,R,13%,False
2020,Alabama,Republican Primary,Moore Information,"August 11–13, 2019",400 (LV),± 5.0%,Bradley Byrne,R,17%,False
2020,Alabama,Republican Primary,Cygnal,"June 22–23, 2019",612 (LV),4.0%,Bradley Byrne,R,21%,False
2020,Alabama,Republican Primary,Moore Information,"June 10–11, 2019",650 (LV),± 4.0%,Bradley Byrne,R,16%,False
