Year,State,Primary_Type,Poll_Source,Date,Sample,MoE,Candidate,Party,Pct,Incumbent
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,March 1938,,,Alben Barkley,D,69%,True
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,April 1938,,,Alben Barkley,D,67%,True
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,May 1938,,,Alben Barkley,D,65%,True
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,"July 8, 1938",,,Alben Barkley,D,64%,True
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,"July 24, 1938",,,Alben Barkley,D,61%,True
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,"August 5, 1938",,,Alben Barkley,D,59%,True
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,March 1938,,,Happy Chandler,D,31%,False
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,April 1938,,,Happy Chandler,D,33%,False
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,May 1938,,,Happy Chandler,D,35%,False
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,"July 8, 1938",,,Happy Chandler,D,36%,False
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,"July 24, 1938",,,Happy Chandler,D,39%,False
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,"August 5, 1938",,,Happy Chandler,D,41%,False
1938,South Carolina,single_party,American Institute of Public Opinion,"August 29, 1938",,,Edgar Allan Brown,D,13%,False
1938,South Carolina,single_party,American Institute of Public Opinion,"August 29, 1938",,,Olin Johnston,D,36%,False
1938,South Carolina,single_party,American Institute of Public Opinion,"August 29, 1938",,,Ellison Smith,D,51%,False
