Year,State,Election,Election_Type,Row_Type,Incumbent,votes,percentage,candidate,party
1972,Oklahoma,1972 United States Senate election in Oklahoma,General,Candidate,False,"5,769",0.57%,William G. Roach,American Party (1969)
1972,Oklahoma,1972 United States Senate election in Oklahoma,General,Candidate,False,"2,264",0.23%,Joe C. Phillips,Independent (politician)
1972,Oklahoma,1972 United States Senate election in Oklahoma,General,Candidate,False,"1,969",0.20%,Paul E. Trent,Independent (politician)
1972,Rhode Island,General election results,General,Winning,True,"221,942",53.68%,Claiborne Pell,Democratic Party (US)
1972,Rhode Island,General election results,General,Candidate,False,"188,990",45.71%,John Chafee,Republican Party (US)
1972,Rhode Island,General election results,General,Candidate,False,"2,041",0.49%,John Quattrocchi,Independent (politician)
1972,Rhode Island,General election results,General,Candidate,False,458,0.11%,Patrick M. DeTemple,Socialist Workers Party (United States)
1972,Rhode Island,General election results,General,Total,False,"413,431",100.00%,,
1972,South Carolina,"South Carolina U.S. Senate Election, 1972",General,Winning,True,"415,806",63.29%,Strom Thurmond,Republican Party (United States)
1972,South Carolina,"South Carolina U.S. Senate Election, 1972",General,Candidate,False,"241,056",36.69%,Eugene N. Zeigler,Democratic Party (United States)
1972,South Carolina,"South Carolina U.S. Senate Election, 1972",General,Write-in,False,172,0.02%,,
1972,South Carolina,"South Carolina U.S. Senate Election, 1972",General,Total,False,"657,034",100.00%,,
1972,Tennessee,1972 United States Senate election in Tennessee,General,Winning,True,"716,539",61.55%,Howard Baker,Republican Party (United States)
1972,Tennessee,1972 United States Senate election in Tennessee,General,Candidate,False,"440,599",37.85%,Ray Blanton,Democratic Party (United States)
1972,Tennessee,1972 United States Senate election in Tennessee,General,Candidate,False,"7,026",0.60%,Dan East,Independent politician
1972,Texas,1972 Democratic U.S. Senate runoff,General,Total,False,"1,936,631",100.00%,,
1972,Texas,General election results,General,Winning,True,"1,822,877",53.41%,John Tower,Republican Party (United States)
1972,Texas,General election results,General,Candidate,False,"1,511,985",44.30%,Barefoot Sanders,Democratic Party (United States)
1972,Texas,General election results,General,Candidate,False,"63,543",1.86%,Flores Amaya,Raza Unida Party
1972,Texas,General election results,General,Candidate,False,"14,464",0.42%,Tom Leonard,Socialist Workers Party (United States)
1972,Texas,General election results,General,Total,False,"3,412,869",100.0%,,
1972,Vermont (special),"United States Senate special election in Vermont, 1972",General,Winning,True,"45,888",64.36%,Robert Stafford,Republican Party (United States)
1972,Vermont (special),"United States Senate special election in Vermont, 1972",General,Candidate,False,"23,842",33.44%,Randolph T. Major,Democratic Party (United States)
1972,Vermont (special),"United States Senate special election in Vermont, 1972",General,Candidate,False,"1,571",2.20%,Bernie Sanders,Liberty Union Party
1972,Vermont (special),"United States Senate special election in Vermont, 1972",General,Total,False,"71,301",100.00%,,
1972,Virginia,"United States Senate election in Virginia, 1972",General,Winning,False,"718,337",51.45%,William Lloyd Scott,Republican Party (United States)
1972,Virginia,"United States Senate election in Virginia, 1972",General,Candidate,True,"643,963",46.12%,"William B. Spong, Jr.",Democratic Party (United States)
1972,Virginia,"United States Senate election in Virginia, 1972",General,Candidate,False,"33,912",2.43%,Horace E. Henderson,Independent (politician)
1972,West Virginia,General election results,General,Total,False,"731,841",100.00%,,
1972,Wyoming,1972 United States Senate election in Wyoming,General,Winning,False,"101,314",71.31%,Clifford Hansen ([[incumbent,Republican Party (United States)
1972,Wyoming,1972 United States Senate election in Wyoming,General,Candidate,False,"40,753",28.69%,Mike Vinich,Democratic Party (United States)
