year,level,state,state_code,district,candidate,party,percentage,winner,incumbent,open_seat
1932,house,Alabama,AL,1,John McDuffie,Democratic,100.0,True,True,False
1932,house,Alabama,AL,2,J. Lister Hill,Democratic,95.7,True,True,False
1932,house,Alabama,AL,2,Frank Barchard,Republican,3.8,False,False,False
1932,house,Alabama,AL,3,Henry B. Steagall,Democratic,100.0,True,True,False
1932,house,Alabama,AL,4,Lamar Jeffers,Democratic,83.9,True,True,False
1932,house,Alabama,AL,4,Hogan D. Stewart,Republican,16.1,False,False,False
1932,house,Alabama,AL,5,Miles C. Allgood,Democratic,80.2,True,False,False
1932,house,Alabama,AL,5,Joe Brown,Republican,19.8,False,False,False
1932,house,Alabama,AL,6,William B. Oliver,Democratic,100.0,True,True,False
1932,house,Alabama,AL,7,William B. Bankhead,Democratic,73.5,True,False,False
1932,house,Alabama,AL,7,James B. Sloan,Republican,26.5,False,False,False
1932,house,Alabama,AL,8,Edward B. Almon,Democratic,100.0,True,True,False
1932,house,Alabama,AL,9,George Huddleston,Democratic,86.2,True,True,False
1932,house,Alabama,AL,9,Paul G. Parsons,Republican,10.1,False,False,False
1932,house,Arizona,AZ,AL,Lewis W. Douglas,Democratic,70.8,True,True,False
1932,house,Arizona,AZ,AL,H. B. Wilkinson,Republican,27.9,False,False,False
1932,house,Arkansas,AR,1,William J. Driver,Democratic,100.0,True,True,False
1932,house,Arkansas,AR,2,John E. Miller,Democratic,92.1,True,True,False
1932,house,Arkansas,AR,2,Ira J. Mock,Republican,7.9,False,False,False
1932,house,Arkansas,AR,3,Claude Fuller,Democratic,100.0,True,True,False
1932,house,Arkansas,AR,4,William B. Cravens,Democratic,100.0,True,False,True
1932,house,Arkansas,AR,5,Heartsill Ragon,Democratic,90.5,True,True,False
1932,house,Arkansas,AR,5,A. L. Barbour,Republican,9.5,False,False,False
1932,house,Arkansas,AR,6,David Delano Glover,Democratic,100.0,True,True,False
1932,house,Arkansas,AR,7,Tilman B. Parks,Democratic,100.0,True,True,False
1932,house,California,CA,1,Clarence F. Lea,Democratic,100.0,True,True,False
1932,house,California,CA,2,Harry Lane Englebright,Republican,100.0,True,True,False
1932,house,California,CA,3,Frank H. Buck,Democratic,56.8,True,False,False
1932,house,California,CA,3,Charles F. Curry,Republican,43.2,False,False,False
1932,house,California,CA,4,Florence Prag Kahn,Republican,85.3,True,True,False
1932,house,California,CA,5,Richard J. Welch,Republican,100.0,True,True,False
1932,house,California,CA,6,Albert E. Carter,Republican,100.0,True,True,False
1932,house,California,CA,7,Ralph R. Eltse,Republican,45.5,True,False,True
1932,house,California,CA,7,Frank V. Cornish,Democratic,32.0,False,False,True
1932,house,California,CA,7,J. Stitt Wilson,Socialist,22.5,False,False,True
1932,house,California,CA,8,John J. McGrath,Democratic,56.9,True,False,False
1932,house,California,CA,8,Arthur M. Free,Republican,43.1,False,True,False
1932,house,California,CA,9,Denver S. Church,Democratic,61.6,True,False,False
1932,house,California,CA,9,Henry E. Barbour,Republican,38.4,False,False,False
1932,house,California,CA,10,Henry E. Stubbs,Democratic,55.3,True,False,True
1932,house,California,CA,10,Arthur S. Crites,Republican,44.7,False,False,True
1932,house,California,CA,11,William E. Evans,Republican,51.8,True,False,False
1932,house,California,CA,11,Albert D. Hadley,Democratic,34.3,False,False,False
1932,house,California,CA,11,Marshall V. Hartranft,Liberty,13.9,False,False,False
1932,house,California,CA,12,John H. Hoeppel,Democratic,45.8,True,False,True
1932,house,California,CA,12,Frederick F. Houser,Republican,43.2,False,False,True
1932,house,California,CA,13,Charles Kramer,Democratic,52.7,True,False,True
1932,house,California,CA,13,Charles H. Randall,Republican,43.1,False,False,True
1932,house,California,CA,14,Thomas F. Ford,Democratic,57.1,True,False,True
1932,house,California,CA,14,William D. Campbell,Republican,42.9,False,False,True
1932,house,California,CA,15,William I. Traeger,Republican,52.8,True,False,True
1932,house,California,CA,15,John M. Costello,Democratic,45.1,False,False,True
1932,house,California,CA,16,John F. Dockweiler,Democratic,54.9,True,False,True
1932,house,California,CA,16,Clyde Woodworth,Republican,45.1,False,False,True
1932,house,California,CA,17,Charles J. Colden,Democratic,62.2,True,False,True
1932,house,California,CA,17,A. E. Henning,Republican,32.9,False,False,True
1932,house,California,CA,17,Ernest E. Debs,Liberty,4.9,False,False,True
1932,house,California,CA,18,John H. Burke,Democratic,53.3,True,False,True
1932,house,California,CA,18,Robert Henderson,Republican,37.4,False,False,True
1932,house,California,CA,18,William E. Hinshaw,Independent,9.3,False,False,True
1932,house,California,CA,19,Sam L. Collins,Republican,51.0,True,False,True
1932,house,California,CA,19,B. Z. McKinney,Democratic,46.4,False,False,True
1932,house,California,CA,20,George Burnham,Republican,50.3,True,False,True
1932,house,California,CA,20,Claude Chandler,Democratic,49.7,False,False,True
1932,house,Colorado,CO,1,Lawrence Lewis,Democratic,54.4,True,False,False
1932,house,Colorado,CO,1,William R. Eaton,Republican,43.5,False,True,False
1932,house,Colorado,CO,2,Fred N. Cummings,Democratic,52.9,True,False,False
1932,house,Colorado,CO,2,George H. Bradfield,Republican,47.1,False,False,False
1932,house,Colorado,CO,3,John Andrew Martin,Democratic,50.9,True,False,False
1932,house,Colorado,CO,3,Guy U. Hardy,Republican,49.1,False,True,False
1932,house,Colorado,CO,4,Edward T. Taylor,Democratic,66.0,True,True,False
1932,house,Colorado,CO,4,Richard C. Callen,Republican,34.0,False,False,False
