Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage
1982,Arizona,General election results,General,Winning,True,Dennis DeConcini,Democratic Party (United States),"411,970",56.91%
1982,Arizona,General election results,General,Candidate,False,Peter Dunn,Republican Party (United States),"291,749",40.30%
1982,Arizona,General election results,General,Candidate,False,Randall Clamons,Arizona Libertarian Party,"20,100",2.78%
1982,Arizona,General election results,General,Write-in,False,,,66,0.01%
1982,California,General election results,General,Winning,False,Pete Wilson,Republican Party (United States),"4,022,565",51.54%
1982,California,General election results,General,Candidate,False,Jerry Brown,Democratic Party (United States),"3,494,968",44.78%
1982,California,General election results,General,Candidate,False,Joseph Fuhrig,Libertarian Party (United States),"107,720",1.38%
1982,California,General election results,General,Candidate,False,David Wald,Peace and Freedom Party,"96,388",1.23%
1982,California,General election results,General,Candidate,False,Theresa Dietrich,American Independent Party,"83,809",1.07%
1982,California,General election results,General,Candidate,False,Thomas Kendall (write-in),Independent politician,36,0.00%
1982,California,General election results,General,Candidate,False,Ben Leonik (write-in),Independent politician,34,0.00%
1982,Connecticut,"July 24, 1982 Connecticut Republican Convention",General,Winning,True,Lowell Weicker,Republican Party (US),609,65.48%
1982,Connecticut,"July 24, 1982 Connecticut Republican Convention",General,Candidate,False,Prescott Bush Jr.,Republican Party (US),321,34.52%
1982,Connecticut,"July 24, 1982 Connecticut Republican Convention",General,Total,False,,,930,100.00%
1982,Connecticut,General election results,General,Winning,True,Lowell Weicker,Republican Party (United States),"545,987",50.39%
1982,Connecticut,General election results,General,Candidate,False,Toby Moffett,Democratic Party (United States),"499,146",46.07%
1982,Connecticut,General election results,General,Candidate,False,Lucien DiFazio,Conservative Party (United States),"30,212",2.79%
1982,Connecticut,General election results,General,Candidate,False,[[James A. Lewis (politician),Libertarian Party (United States),"8,163",0.75%
1982,Delaware,General election results,General,Winning,True,William V. Roth,Republican Party (United States),"105,357",55.17%
1982,Delaware,General election results,General,Candidate,False,David N. Levinson,Democratic Party (United States),"84,413",44.20%
1982,Delaware,General election results,General,Candidate,False,Lawrence Sullivan,Libertarian Party (United States),653,0.34%
1982,Delaware,General election results,General,Candidate,False,Charles Baker,American Independent Party,537,0.28%
1982,Florida,General election results,General,Winning,True,Lawton Chiles,Democratic Party (United States),"1,637,667",61.72%
1982,Florida,General election results,General,Candidate,False,Van Poole,Republican Party (United States),"1,015,330",38.26%
1982,Florida,General election results,General,Write-in,False,,,422,0.02%
1982,Florida,General election results,General,Total,False,,,"2,653,419",100.00%
1982,Hawaii,General election results,General,Winning,True,Spark Matsunaga,Democratic Party (United States),"245,386",80.08%
1982,Hawaii,General election results,General,Candidate,False,Clarence Brown,Republican Party (United States),"52,071",16.99%
1982,Hawaii,General election results,General,Total,False,,,,100.00%
1982,Indiana,"United States Senate election in Indiana, 1982",General,Winning,True,Richard Lugar,Republican Party (United States),"978,301",53.8
1982,Indiana,"United States Senate election in Indiana, 1982",General,Candidate,False,Floyd Fithian,Democratic Party (United States),"828,400",45.6
1982,Indiana,"United States Senate election in Indiana, 1982",General,Candidate,False,Raymond James,American Party (1969),"10,568",0.6
1982,Maine,General election results,General,Winning,True,George J. Mitchell,Democratic Party (US),"279,819",60.87
1982,Maine,General election results,General,Candidate,False,David F. Emery,Republican Party (US),"179,882",39.13
1982,Maryland,General election results,General,Winning,True,Paul Sarbanes,Democratic Party (United States),"707,356",63.46%
1982,Maryland,General election results,General,Candidate,False,Lawrence Hogan,Republican Party (United States),"407,334",36.54%
1982,Massachusetts,General election,General,Winning,True,Ted Kennedy,Democratic Party (United States),"1,247,084",60.81
1982,Massachusetts,General election,General,Candidate,False,Ray Shamie,Republican Party (United States),"784,602",38.26
1982,Massachusetts,General election,General,Candidate,False,Howard S. Katz,Libertarian Party (United States),"18,878",0.92
1982,Massachusetts,General election,General,Total,False,,,"2,050,769",70.26%
1982,Michigan,1982 United States Senate election in Michigan,General,Candidate,False,Daniel Eller,American Independent Party,"12,660",0.42%
1982,Michigan,1982 United States Senate election in Michigan,General,Candidate,False,Helen Halyard,Socialist Equality Party (United States),"6,085",0.20%
1982,Michigan,1982 United States Senate election in Michigan,General,Total,False,,,"2,994,292",100.00%
1982,Minnesota,General election results,General,Winning,True,David Durenberger,Independent-Republican Party,"949,207",52.60%
1982,Minnesota,General election results,General,Candidate,False,Mark Dayton,Minnesota Democratic–Farmer–Labor Party,"840,401",46.57%
1982,Minnesota,General election results,General,Candidate,False,Bill Onasch,Socialist Workers Party (United States),"5,897",0.33%
1982,Minnesota,General election results,General,Candidate,False,Frederick Hewitt,Libertarian Party (United States),"5,870",0.33%
1982,Minnesota,General election results,General,Total,False,,,"1,804,675",100.00%
1982,Mississippi,General election results,General,Winning,True,John Stennis,Democratic Party (United States),"414,099",64.20%
1982,Mississippi,General election results,General,Candidate,False,Haley Barbour,Republican Party (United States),"230,927",35.80%
1982,Missouri,General election results,General,Candidate,False,"Joanne ""Judy"" Curran",Write-in,9,0.00%
1982,Missouri,General election results,General,Candidate,False,Nell Elizabeth Pierce,Write-in,7,0.00%
1982,Missouri,General election results,General,Total,False,,,"1,543,521",100.00%
1982,Montana,"United States Senate election in Montana, 1982",General,Winning,True,John Melcher,Democratic Party (United States),"174,861",54.46%
1982,Montana,"United States Senate election in Montana, 1982",General,Candidate,False,Larry R. Williams,Republican Party (United States),"133,789",41.67%
1982,Montana,"United States Senate election in Montana, 1982",General,Candidate,False,Larry Dodge,Libertarian Party (United States),"12,412",3.87%
1982,Nebraska,1982 United States Senate election in Nebraska,General,Winning,False,Edward Zorinsky ([[incumbent,Democratic Party (United States),"363,350",66.59%
1982,Nebraska,1982 United States Senate election in Nebraska,General,Candidate,False,Jim Keck,Republican Party (United States),"155,760",28.55%
1982,Nebraska,1982 United States Senate election in Nebraska,General,Candidate,False,Virginia Walsh,Independent (politician),"26,443",4.85%
1982,Nebraska,1982 United States Senate election in Nebraska,General,Write-in,False,,,94,0.02%
1982,Nebraska,1982 United States Senate election in Nebraska,General,Total,False,,,"545,647",100.00%
1982,Nevada,General election results,General,Winning,False,Chic Hecht,Republican Party (United States),"120,377",50.07%
1982,Nevada,General election results,General,Candidate,True,Howard Cannon,Democratic Party (United States),"114,720",47.72%
1982,New Jersey,General election results,General,Candidate,False,Martin E. Wendelken,Independent politician,"4,745",0.22%
1982,New Jersey,General election results,General,Candidate,False,Claire Moriarty,Socialist Workers Party (US),"3,726",0.17%
1982,New Jersey,General election results,General,Total,False,,,"2,193,945",100.00%
1982,New Mexico,"United States Senate election in New Mexico, 1982",General,Winning,False,Jeff Bingaman,Democratic Party (United States),"217,682",53.77%
1982,New Mexico,"United States Senate election in New Mexico, 1982",General,Candidate,True,Harrison Schmitt,Republican Party (United States),"187,128",46.23%
1982,New York,General election results,General,Candidate,True,Daniel Patrick Moynihan,Democratic Party (United States),"3,089,871",62.20%
1982,New York,General election results,General,Candidate,True,Daniel Patrick Moynihan,Liberal Party of New York,"142,275",2.86%
1982,New York,General election results,General,Candidate,False,Florence M. Sullivan,Republican Party (United States),"1,415,749",28.50%
1982,New York,General election results,General,Candidate,False,Florence M. Sullivan,Conservative Party of New York,"175,650",3.54%
1982,New York,General election results,General,Candidate,False,Florence M. Sullivan,New York State Right to Life Party,"105,367",2.12%
1982,New York,General election results,General,Candidate,False,James J. McKeown,Libertarian Party (United States),"23,379",0.47%
1982,New York,General election results,General,Candidate,False,Steven Wattenmaker,Socialist Workers Party (United States),"15,206",0.31%
1982,New York,General election results,General,Total,False,,,"4,967,497",100.00%
1982,North Dakota,"1982 United States Senate election, North Dakota",General,Winning,True,Quentin Burdick,Democratic Party (United States),"164,873",62.84
1982,North Dakota,"1982 United States Senate election, North Dakota",General,Candidate,False,Gene Knorr,Republican Party (United States),"89,304",34.03
1982,North Dakota,"1982 United States Senate election, North Dakota",General,Candidate,False,Anna B. Bourgois,Independent (politician),"8,288",3.13
1982,Ohio,1982 United States Senate election in Ohio,General,Candidate,False,Alicia Merel,Independent politician,"38,803",1.14%
1982,Ohio,1982 United States Senate election in Ohio,General,Candidate,False,Philip Herzing,Libertarian Party (United States),"36,103",1.06%
1982,Ohio,1982 United States Senate election in Ohio,General,Candidate,False,Fay Treffert Ellis (write-in),Independent politician,35,0.00%
1982,Ohio,1982 United States Senate election in Ohio,General,Total,False,,,"3,395,498",100.00%
1982,Pennsylvania,General election results,General,Winning,True,H. John Heinz III,Republican Party (United States),"2,136,418",59.28%
1982,Pennsylvania,General election results,General,Candidate,False,Cyril Wecht,Democratic Party (United States),"1,412,965",39.20%
1982,Pennsylvania,General election results,General,Candidate,False,Barbara I. Karkutt,Libertarian Party (United States),"19,244",0.53%
1982,Pennsylvania,General election results,General,Candidate,False,William H. Thomas,Socialist Workers Party (United States),"18,951",0.53%
1982,Pennsylvania,General election results,General,Total,False,,,"3,604,108",100.00%
1982,Rhode Island,General election results,General,Winning,False,John Chafee (inc.),Republican Party (United States),"175,495",51.20
1982,Rhode Island,General election results,General,Candidate,False,Julius C. Michaelson,Democratic Party (United States),"167,283",48.80
1982,Rhode Island,General election results,General,Total,False,,,"342,778",100.00
1982,Tennessee,General election results,General,Winning,True,Jim Sasser,Democratic Party (United States),"780,113",61.93%
1982,Tennessee,General election results,General,Candidate,False,Robin Beard,Republican Party (United States),"479,642",38.07%
1982,Tennessee,General election results,General,Total,False,,,,100.00%
1982,Texas,1982 United States Senate election in Texas,General,Candidate,False,John E. Ford,Libertarian Party (United States),"23,494",0.76%
1982,Texas,1982 United States Senate election in Texas,General,Candidate,False,Lineaus Hooper Lorette,Citizens Party (United States),"4,564",0.15%
