Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
2000,Arizona,General election results,General,Winning,True,Republican Party (United States),Jon Kyl,"1,108,196",79.32%
2000,Arizona,General election results,General,Candidate,False,Independent,William Toel,"109,230",7.82%
2000,Arizona,General election results,General,Candidate,False,Green Party (United States),Vance Hansen,"108,926",7.80%
2000,Arizona,General election results,General,Candidate,False,Arizona Libertarian Party,Barry Hess,"70,724",5.06%
2000,California,"2000 U.S. Senate election, California",General,Winning,True,Democratic Party (United States),Dianne Feinstein,"5,932,522",55.84%
2000,California,"2000 U.S. Senate election, California",General,Candidate,False,Republican Party (United States),Tom Campbell,"3,886,853",36.59%
2000,California,"2000 U.S. Senate election, California",General,Candidate,False,Green Party (United States),Medea Susan Benjamin,"326,828",3.08%
2000,California,"2000 U.S. Senate election, California",General,Candidate,False,Libertarian Party (United States),Gail Lightfoot,"187,718",1.77%
2000,California,"2000 U.S. Senate election, California",General,Candidate,False,American Independent Party,Diane Beall Templin,"134,598",1.27%
2000,California,"2000 U.S. Senate election, California",General,Candidate,False,Reform Party (United States),Jose Luis Olivares Camahort,"96,552",0.91%
2000,California,"2000 U.S. Senate election, California",General,Candidate,False,Natural Law Party (United States),Brian M. Rees,"58,537",0.55%
2000,California,"2000 U.S. Senate election, California",General,Total,False,,,"11,142,841",100.00%
2000,Connecticut,General election results,General,Winning,True,Democratic Party (United States),Joe Lieberman,"828,902",63.21%
2000,Connecticut,General election results,General,Candidate,False,Republican Party (United States),Philip Giordano,"448,077",34.17%
2000,Connecticut,General election results,General,Candidate,False,Concerned Citizens Party,William Kozak,"25,509",1.95%
2000,Connecticut,General election results,General,Candidate,False,Libertarian Party (United States),Wildey J. Moore,"8,773",0.67%
2000,Connecticut,General election results,General,Total,False,,,"1,311,261",100.00%
2000,Delaware,General election results,General,Candidate,False,Constitution Party (United States),Mark E. Dankof,"1,044",0.32%
2000,Delaware,General election results,General,Candidate,False,Natural Law Party (United States),Robert Mattson,389,0.12%
2000,Florida,General election results,General,Winning,False,Democratic Party (United States),Bill Nelson,"2,989,487",51.04%
2000,Florida,General election results,General,Candidate,False,Republican Party (United States),Bill McCollum,"2,705,348",46.19%
2000,Florida,General election results,General,Candidate,False,Independent,Willie Logan,"80,830",1.38%
2000,Florida,General election results,General,Candidate,False,Natural Law Party (United States),Joe Simonetta,"26,087",0.45%
2000,Florida,General election results,General,Candidate,False,Independent,Darrell L. McCormick,"21,664",0.37%
2000,Florida,General election results,General,Candidate,False,Reform Party (United States),[[H. Joel Deckard,"17,338",0.30%
2000,Florida,General election results,General,Candidate,False,Independent,Andy Martin,"15,889",0.27%
2000,Florida,General election results,General,Candidate,False,Write-in,Nikki Oldaker,88,0.00%
2000,Florida,General election results,General,Total,False,,,"5,856,731",100.00%
2000,Georgia (special),General election results,General,Winning,True,Nonpartisan candidate,Zell Miller,"1,413,224",58.19%
2000,Georgia (special),General election results,General,Candidate,False,Nonpartisan candidate,Mack Mattingly,"920,478",37.90%
2000,Georgia (special),General election results,General,Candidate,False,Nonpartisan candidate,Paul Robert MacGregor,"25,942",1.07%
2000,Georgia (special),General election results,General,Candidate,False,Nonpartisan candidate,Ben Ballenger,"22,975",0.95%
2000,Georgia (special),General election results,General,Candidate,False,Nonpartisan candidate,Jeff Gates,"21,249",0.88%
2000,Georgia (special),General election results,General,Candidate,False,Nonpartisan candidate,Bobby Wood,"12,499",0.51%
2000,Georgia (special),General election results,General,Candidate,False,Nonpartisan candidate,Winnie Walsh,"11,875",0.49%
2000,Georgia (special),General election results,General,Total,False,,,"2,428,242",100.00%
2000,Hawaii,General election results,General,Winning,True,Democratic Party (United States),Daniel Akaka,"251,215",72.68%
2000,Hawaii,General election results,General,Candidate,False,Republican Party (United States),John Carroll,"84,701",24.51%
2000,Hawaii,General election results,General,Candidate,False,Natural Law Party (United States),Lauri A. Clegg,"4,220",1.21%
2000,Hawaii,General election results,General,Candidate,False,Libertarian Party (United States),Lloyd Jeffrey Mallan,"3,127",0.90%
2000,Hawaii,General election results,General,Candidate,False,Constitution Party (United States),David Porter,"2,360",0.68%
2000,Hawaii,General election results,General,Total,False,,,"345,623",100%
2000,Indiana,"2000 United States Senate election, Indiana",General,Winning,True,Republican Party (United States),Richard Lugar,"1,427,944",66.56%
2000,Indiana,"2000 United States Senate election, Indiana",General,Candidate,False,Democratic Party (United States),[[David L. Johnson,"683,273",31.85%
2000,Indiana,"2000 United States Senate election, Indiana",General,Candidate,False,Libertarian Party (United States),Paul Hager,"33,992",1.58%
2000,Maine,"United States Senate election in Maine, 2000",General,Winning,True,Republican Party (United States),Olympia Snowe,"437,689",68.94%
2000,Maine,"United States Senate election in Maine, 2000",General,Candidate,False,Democratic Party (United States),[[Mark Lawrence (politician),"197,183",31.06%
2000,Maryland,General election results,General,Winning,True,Democratic Party (United States),Paul Sarbanes,"1,230,013",63.18%
2000,Maryland,General election results,General,Candidate,False,Republican Party (United States),Paul Rappaport,"715,178",36.73%
2000,Maryland,General election results,General,Candidate,False,Independent (United States),Corrogan R. Vaughn (Write In),113,0.01%
2000,Maryland,General election results,General,Total,False,,,"1,946,898",100.0%
2000,Massachusetts,General election results,General,Candidate,False,Constitution Party (US),Philip F. Lawler,"42,113",1.62%
2000,Massachusetts,General election results,General,Candidate,False,Independent politician,Dale E. Friedgen,"13,687",0.53%
2000,Massachusetts,General election results,General,Candidate,False,Independent politician,Philip Hyde III,"8,452",0.33%
2000,Massachusetts,General election results,General,Write-in,False,,,"2,473",0.10%
2000,Massachusetts,General election results,General,Total,False,,,"2,734,006",100%
2000,Michigan,General election results,General,Winning,False,Democratic Party (United States),Debbie Stabenow,"2,061,952",49.47
2000,Michigan,General election results,General,Candidate,True,Republican Party (United States),Spencer Abraham,"1,994,693",47.86
