Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1944,Arizona,"United States Senate election in Arizona, 1944",General,Winning,True,Democratic Party (United States),Carl T. Hayden,"90,335",69.37%
1944,Arizona,"United States Senate election in Arizona, 1944",General,Candidate,False,Republican Party (United States),Fred Wildon Fickett Jr.,"39,891",30.63%
1944,Arkansas,1944 U.S. Senate election in Arkansas,General,Winning,False,Democratic Party (United States),J. William Fulbright,"182,499",85.10%
1944,Arkansas,1944 U.S. Senate election in Arkansas,General,Candidate,False,Republican Party (United States),Victor Wade,"31,942",14.90%
1944,Arkansas,1944 U.S. Senate election in Arkansas,General,Total,False,,,"214,441",100.00%
1944,California,General election results,General,Total,False,,,"3,304,708",100.00%
1944,Colorado,1944 United States Senate election in Colorado,General,Winning,False,Republican Party (United States),Eugene Millikin ([[incumbent,"277,410",56.06%
1944,Colorado,1944 United States Senate election in Colorado,General,Candidate,False,Democratic Party (United States),Barney L. Whatley,"214,335",43.31%
1944,Colorado,1944 United States Senate election in Colorado,General,Candidate,False,Socialist Party (United States),Carle Whitehead,"3,143",0.64%
1944,Connecticut,1944 U.S. Senate election in Connecticut,General,Total,False,,,"828,497",100.0%
1944,Illinois,General election,General,Winning,True,Democratic Party (United States),Scott W. Lucas,"2,059,023",52.61
1944,Illinois,General election,General,Candidate,False,Republican Party (United States),Richard J. Lyons,"1,841,793",47.06
1944,Illinois,General election,General,Candidate,False,Socialist Labor Party of America,Frank Schnur,"7,312",0.19
1944,Illinois,General election,General,Candidate,False,Prohibition Party,Enoch A. Holtwick,"5,798",0.15
1944,Illinois,General election,General,Total,False,,,"3,913,926",100
1944,Iowa,1944 U.S. Senate election in Iowa,General,Candidate,False,Socialist Party (US),C.W. Drescher,744,0.07%
1944,Iowa,1944 U.S. Senate election in Iowa,General,Total,False,,,"1,021,687",100.00%
1944,Kansas,1944 United States Senate election in Kansas,General,Winning,False,Republican Party (United States),Clyde M. Reed ([[incumbent,"387,090",57.84%
1944,Kansas,1944 United States Senate election in Kansas,General,Candidate,False,Democratic Party (United States),Thurman Hill,"272,053",40.65%
1944,Kansas,1944 United States Senate election in Kansas,General,Candidate,False,Socialist Party (United States),Arthur Goodwin Billings,"2,374",0.35%
1944,Kansas,1944 United States Senate election in Kansas,General,Candidate,False,Prohibition Party,L. B. Dubbs,"7,674",1.15%
1944,Kansas,1944 United States Senate election in Kansas,General,Total,False,,,"669,191",100.00%
1944,Kentucky,1944 U.S. Senate election in Kentucky,General,Winning,True,Democratic Party (US),Alben W. Barkley,"464,053",54.81%
1944,Kentucky,1944 U.S. Senate election in Kentucky,General,Candidate,False,Republican Party (US),[[Jim Park (baseball),"380,425",44.93%
1944,Kentucky,1944 U.S. Senate election in Kentucky,General,Candidate,False,Prohibition Party,Robert H. Garrison,"1,808",0.21%
1944,Kentucky,1944 U.S. Senate election in Kentucky,General,Candidate,False,Socialist Labor Party of America,Yona M. Marret,340,0.04%
1944,Kentucky,1944 U.S. Senate election in Kentucky,General,Write-in,False,,,115,0.00%
1944,Louisiana,1944 United States Senate election,General,Total,False,,,"287,365",100.00%
1944,Maryland,1944 U.S. Senate election in Maryland,General,Winning,False,Democratic Party (United States),Millard Tydings (inc.),"344,725",61.73%
1944,Maryland,1944 U.S. Senate election in Maryland,General,Candidate,False,Republican Party (United States),Blanchard Randall Jr.,"213,705",38.27%
1944,Maryland,1944 U.S. Senate election in Maryland,General,Total,False,,,558430,100.00%
1944,Massachusetts (special),General election,General,Total,False,,,"1,911,405",100.00%
1944,New Jersey (special),1944 U.S. Senate special election in New Jersey,General,Winning,False,Republican Party (United States),Howard Alexander Smith,"940,051",50.44%
1944,New Jersey (special),1944 U.S. Senate special election in New Jersey,General,Candidate,False,Democratic Party (United States),Elmer H. Wene,"910,096",48.84%
1944,New Jersey (special),1944 U.S. Senate special election in New Jersey,General,Candidate,False,Prohibition Party (United States),George W. Ridout,"9,873",0.53%
1944,New Jersey (special),1944 U.S. Senate special election in New Jersey,General,Candidate,False,Socialist Labor Party of America,John C. Butterworth,"1,997",0.11%
1944,New Jersey (special),1944 U.S. Senate special election in New Jersey,General,Candidate,False,Socialist Party USA,Morris Riger,"1,593",0.09%
1944,New York,1944 United States Senate election in New York,General,Candidate,True,Democratic Party (United States),Robert F. Wagner,"2,485,735",40.03%
1944,New York,1944 United States Senate election in New York,General,Candidate,True,American Labor Party,Robert F. Wagner,"483,785",7.79%
1944,New York,1944 United States Senate election in New York,General,Candidate,True,Liberal Party of New York,Robert F. Wagner,"325,056",5.23%
1944,New York,1944 United States Senate election in New York,General,Candidate,False,Republican Party (United States),Thomas J. Curran,"2,899,497",46.70%
1944,New York,1944 United States Senate election in New York,General,Candidate,False,Socialist Labor Party of America,Eric Hass,"15,244",0.25%
1944,New York,1944 United States Senate election in New York,General,Total,False,,,"6,209,317",100.00%
1944,North Carolina,1944 U.S. Senate election in North Carolina,General,Total,False,,,"759,850",100.00%
1944,North Dakota,1944 United States Senate election in North Dakota,General,Winning,False,Democratic Party (United States),[[John Moses (North Dakota politician),"95,102",45.20%
1944,North Dakota,1944 United States Senate election in North Dakota,General,Candidate,False,Republican Party (United States),Gerald Nye ([[incumbent,"69,530",33.04%
1944,North Dakota,1944 United States Senate election in North Dakota,General,Candidate,False,Independent Republican (United States),Lynn Stambaugh,"44,596",21.19%
1944,North Dakota,1944 United States Senate election in North Dakota,General,Candidate,False,Independent (politician),Bernard H. O'Laughlin,705,0.34%
1944,North Dakota,1944 United States Senate election in North Dakota,General,Candidate,False,Independent (politician),L. D. Harris,489,0.23%
1944,Ohio,1944 United States Senate election in Ohio,General,Total,False,,,"2,983,219",100.00%
1944,Oklahoma,1944 United States Senate election in Oklahoma,General,Winning,False,Democratic Party (United States),Elmer Thomas ([[incumbent,"390,851",55.65%
1944,Oklahoma,1944 United States Senate election in Oklahoma,General,Candidate,False,Republican Party (United States),William Otjen,"309,222",44.02%
1944,Oklahoma,1944 United States Senate election in Oklahoma,General,Candidate,False,Independent (politician),Paul V. Beck,"1,128",0.16%
1944,Oklahoma,1944 United States Senate election in Oklahoma,General,Candidate,False,Independent (politician),T. B. Williams,674,0.10%
1944,Oklahoma,1944 United States Senate election in Oklahoma,General,Candidate,False,Independent (politician),Paul R. Nagle,519,0.07%
1944,Pennsylvania,General election results,General,Candidate,False,Socialist Labor Party of America,Frank Knotek,"1,989",0.05%
1944,Pennsylvania,General election results,General,Total,False,,,"3,730,277",100.00%
1944,South Carolina,"South Carolina U.S. Senate Election, 1944",General,Winning,False,Democratic Party (United States),Olin D. Johnston,"94,556",92.94%
1944,South Carolina,"South Carolina U.S. Senate Election, 1944",General,Candidate,False,Republican Party (United States),James B. Gaston,"3,807",3.74%
1944,South Dakota,1944 United States Senate election in South Dakota,General,Winning,False,Republican Party (United States),[[John Chandler Gurney,"145,248",63.86%
1944,South Dakota,1944 United States Senate election in South Dakota,General,Candidate,False,Democratic Party (United States),George M. Bradshaw,"82,199",36.14%
1944,Vermont,"United States Senate election in Vermont, 1944",General,Winning,False,Republican Party (United States),George Aiken ([[Incumbent,"81,094",65.81%
1944,Vermont,"United States Senate election in Vermont, 1944",General,Candidate,False,Democratic Party (United States),Harry W. Witters,"42,136",34.19%
1944,Vermont,"United States Senate election in Vermont, 1944",General,Total,False,,,"123,230",100.00%
1944,Washington,1944 United States Senate election in Washington,General,Winning,False,Democratic Party (US),Warren G. Magnuson,"452,013",55.13%
1944,Washington,1944 United States Senate election in Washington,General,Candidate,False,Republican Party (US),Harry P. Cain,"364,356",44.44%
1944,Washington,1944 United States Senate election in Washington,General,Candidate,False,Socialist Party (US),Ray C. Roberts,"1,912",0.23%
1944,Washington,1944 United States Senate election in Washington,General,Candidate,False,Prohibition Party (US),Josephine B. Sulston,"1,598",0.20%
1944,Washington,1944 United States Senate election in Washington,General,Total,False,,,"819,879",100.00%
1944,Wisconsin,1944 U.S. Senate election in Wisconsin,General,Winning,True,Republican Party (United States),Alexander Wiley,"634,513",50.50%
1944,Wisconsin,1944 U.S. Senate election in Wisconsin,General,Candidate,False,Democratic Party (United States),Howard J. McMurray,"537,144",42.75%
1944,Wisconsin,1944 U.S. Senate election in Wisconsin,General,Candidate,False,Wisconsin Progressive Party,Harry Sauthoff,"73,089",5.82%
1944,Wisconsin,1944 U.S. Senate election in Wisconsin,General,Candidate,False,Socialist Party USA,Walter H. Uphoff,"9,964",0.79%
1944,Wisconsin,1944 U.S. Senate election in Wisconsin,General,Candidate,False,Socialist Labor Party (US),Adolf Wiggert,"1,664",0.13%
