Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage
1914,Alabama (special),1914 United States Senate special election in Alabama{{sfn|1915 Statistical Register|pp=364–65|loc=PDF pp. 368–69,General,Winning,False,[[Frank White (Alabama politician),Democratic Party (United States),"84,720",99.93%
1914,Alabama (special),1914 United States Senate special election in Alabama{{sfn|1915 Statistical Register|pp=364–65|loc=PDF pp. 368–69,General,Write-in,False,,,58,0.07%
1914,Alabama (special),1914 United States Senate special election in Alabama{{sfn|1915 Statistical Register|pp=364–65|loc=PDF pp. 368–69,General,Total,False,,,"84,778",100.00%
1914,Alabama,1914 United States Senate election in Alabama{{sfn|1915 Statistical Register|p=366-67|loc=PDF Page 370-71,General,Winning,False,Oscar Underwood,Democratic Party (United States),"63,389",78.13%
1914,Alabama,1914 United States Senate election in Alabama{{sfn|1915 Statistical Register|p=366-67|loc=PDF Page 370-71,General,Candidate,False,Alex C. Birch,Republican Party (United States),"12,320",15.18%
1914,Alabama,1914 United States Senate election in Alabama{{sfn|1915 Statistical Register|p=366-67|loc=PDF Page 370-71,General,Candidate,False,Adolphus P. Longshore,Bull Moose Party,"4,263",5.25%
1914,Alabama,1914 United States Senate election in Alabama{{sfn|1915 Statistical Register|p=366-67|loc=PDF Page 370-71,General,Candidate,False,S. F. Hinton,Socialist Party (United States),"1,159",1.43%
1914,Alabama,1914 United States Senate election in Alabama{{sfn|1915 Statistical Register|p=366-67|loc=PDF Page 370-71,General,Write-in,False,,,2,0.00%
1914,Alabama,1914 United States Senate election in Alabama{{sfn|1915 Statistical Register|p=366-67|loc=PDF Page 370-71,General,Total,False,,,"81,133",100.00%
1914,Arizona,"United States Senate election in Arizona, 1914",General,Winning,True,Marcus A. Smith,Democratic Party (United States),"25,800",53.23%
1914,Arizona,"United States Senate election in Arizona, 1914",General,Candidate,False,Don Lorenzo Hubbell,Republican Party (United States),"9,183",18.95%
1914,Arizona,"United States Senate election in Arizona, 1914",General,Candidate,False,Eugene W. Chafin,Independent (politician),"7,293",15.05%
1914,Arizona,"United States Senate election in Arizona, 1914",General,Candidate,False,Bert Davis,Socialist Party (United States),"3,582",7.39%
