Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1916,Arizona,"United States Senate election in Arizona, 1916",General,Winning,True,Democratic Party (United States),Henry F. Ashurst,"29,873",55.36%
1916,Arizona,"United States Senate election in Arizona, 1916",General,Candidate,False,Republican Party (United States),Joseph H. Kibbey,"21,261",39.40%
1916,Arizona,"United States Senate election in Arizona, 1916",General,Candidate,False,Socialist Party (United States),W. S. Bradford,"2,827",5.24%
1916,Arkansas (special),Arizona election,General,Winning,True,Democratic Party (United States),Henry F. Ashurst,"29,873",55.36
1916,Arkansas (special),Arizona election,General,Candidate,False,Republican Party (United States),Joseph Henry Kibbey,"21,261",39.40
1916,Arkansas (special),Arizona election,General,Candidate,False,Socialist Party of America,W. S. Bradford,"2,827",5.24
1916,Arkansas (special),Arizona election,General,Total,False,,,"53,961",100.00
1916,Arkansas (special),Arkansas special election,General,Winning,False,Democratic Party (United States),William F. Kirby,"110,293",69.27
1916,Arkansas (special),Arkansas special election,General,Candidate,False,Republican Party (United States),Harmon L. Remmel,"48,922",30.73
1916,Arkansas (special),Arkansas special election,General,Total,False,,,"159,215",100.00
1916,Arkansas (special),1916 United States Senate election in California,General,Winning,False,Republican Party (United States),Hiram Johnson,"574,667",61.09%
1916,Arkansas (special),1916 United States Senate election in California,General,Candidate,False,Democratic Party (United States),[[George S. Patton (attorney),"277,852",29.54%
1916,Arkansas (special),1916 United States Senate election in California,General,Candidate,False,Socialist Party USA,Walter Thomas Mills,"49,341",5.25%
1916,Arkansas (special),1916 United States Senate election in California,General,Candidate,False,Prohibition Party (United States),Marshall W. Atwood,"38,797",4.12%
1916,Arkansas (special),1916 United States Senate election in California,General,Total,False,,,"907,900",100.00%
1916,Arkansas (special),1916 U.S. Senate election in Connecticut,General,Winning,False,Republican Party (US),George P. McLean (inc.),"107,020",50.17%
1916,Arkansas (special),1916 U.S. Senate election in Connecticut,General,Candidate,False,Democratic Party (US),Homer Stille Cummings,"98,649",46.24%
1916,Arkansas (special),1916 U.S. Senate election in Connecticut,General,Candidate,False,Socialist Party of America,Martin F. Plunkett,"5,279",2.48%
1916,Arkansas (special),1916 U.S. Senate election in Connecticut,General,Candidate,False,Prohibition Party (United States),Wilbur G. Manchester,"1,768",0.83%
1916,Arkansas (special),1916 U.S. Senate election in Connecticut,General,Candidate,False,Socialist Labor Party (US),Otto Ruckser,619,0.29%
1916,Arkansas (special),1916 U.S. Senate election in Connecticut,General,Total,False,,,"213,335",100.00%
1916,Arkansas (special),1916 U.S. Senate election in Delaware,General,Winning,False,Democratic Party (United States),Josiah O. Wolcott,"25,434",49.67%
1916,Arkansas (special),1916 U.S. Senate election in Delaware,General,Candidate,True,Republican Party (United States),Henry A. du Pont,"22,925",44.77%
1916,Arkansas (special),1916 U.S. Senate election in Delaware,General,Candidate,False,"Progressive Party (United States, 1912)",Hiram R. Burton,"2,361",4.61%
1916,Arkansas (special),1916 U.S. Senate election in Delaware,General,Candidate,False,Socialist Party (United States),William C. Ferris,490,0.96%
1916,Arkansas (special),1916 U.S. Senate election in Delaware,General,Total,False,,,"51,210",100.00%
1916,Arkansas (special),1916 U.S. Senate election in Florida,General,Winning,False,Democratic Party (United States),Park Trammell,"58,391",82.86%
1916,Arkansas (special),1916 U.S. Senate election in Florida,General,Candidate,False,Republican Party (United States),William R. O'Neal,"8,774",12.45%
1916,Arkansas (special),1916 U.S. Senate election in Florida,General,Candidate,False,Socialist Party (United States),R. L. Goodwin,"3,304",4.69%
1916,Arkansas (special),1916 U.S. Senate election in Florida,General,Total,False,,,"70,469",100.00%
1916,Arkansas (special),Indiana election,General,Winning,False,Republican Party (United States),James Eli Watson,"335,193",47.66
1916,Arkansas (special),Indiana election,General,Candidate,True,Democratic Party (United States),Thomas Taggart,"325,577",46.29
1916,Arkansas (special),Indiana election,General,Candidate,False,Socialist Party of America,Edward Henry,"21,626",3.08
1916,Arkansas (special),Indiana election,General,Candidate,False,Prohibition Party,William H. Hickman,"16,095",2.29
1916,Arkansas (special),Indiana election,General,Candidate,False,"Progressive Party (US, 1912)",John F. Clifford,"4,798",0.68
1916,Arkansas (special),Indiana election,General,Total,False,,,"703,289",100.00
1916,Arkansas (special),1916 U.S. Senate election in Indiana,General,Winning,False,Republican Party (United States),Harry Stewart New,"337,089",47.77%
1916,Arkansas (special),1916 U.S. Senate election in Indiana,General,Candidate,True,Democratic Party (United States),John W. Kern,"325,588",46.14%
1916,Arkansas (special),1916 U.S. Senate election in Indiana,General,Candidate,False,Socialist Party USA,Joseph Zimmerman,"21,558",3.06%
1916,Arkansas (special),1916 U.S. Senate election in Indiana,General,Candidate,False,Prohibition Party (United States),Elwood Haynes,"15,598",2.21%
1916,Arkansas (special),1916 U.S. Senate election in Indiana,General,Candidate,False,"Progressive Party (United States, 1912)",John N. Dyer,"4,272",0.61%
1916,Arkansas (special),1916 U.S. Senate election in Indiana,General,Candidate,False,Socialist Labor Party (United States),Ira J. Decker,"1,562",0.22%
1916,Arkansas (special),1916 U.S. Senate election in Indiana,General,Total,False,,,"705,667",100.00%
1916,Arkansas (special),Maine election,General,Winning,False,Republican Party (United States),Bert M. Fernald,"81,369",54.27%
1916,Arkansas (special),Maine election,General,Candidate,False,Democratic Party (United States),Kenneth C. Sills,"68,201",45.49%
1916,Arkansas (special),Maine election,General,Candidate,False,Prohibition Party,Frederick A. Shepherd,348,2.29%
1916,Arkansas (special),Maine election,General,Candidate,False,,Others,11,0.01%
1916,Arkansas (special),Maine election,General,Total,False,,,"149,929",100.00%
1916,Arkansas (special),1916 U.S. Senate election in Maine,General,Winning,False,Republican Party (United States),[[Frederick Hale (U.S. senator),"79,481",52.72%
1916,Arkansas (special),1916 U.S. Senate election in Maine,General,Candidate,True,Democratic Party (United States),Charles F. Johnson,"69,486",46.09%
