Year,State,Primary_Type,Poll_Source,Date,Sample,MoE,Candidate,Party,Pct,Incumbent
2020,Alabama,General,Swayable,"October 27 – November 1, 2020",294 (LV),± 8.5%,Doug Jones,D,42%,True
2020,Alabama,General,Data for Progress,"October 27 – November 1, 2020","1,045 (LV)",± 3%,Doug Jones,D,44%,True
2020,Alabama,General,Morning Consult,"October 22–31, 2020",850 (LV),± 3%,Doug Jones,D,39%,True
2020,Alabama,General,Auburn University At Montgomery,"October 23–28, 2020",853 (LV),± 4.4%,Doug Jones,D,43%,True
2020,Alabama,General,Swayable,"October 23–26, 2020",232 (LV),± 8.7%,Doug Jones,D,46%,True
2020,Alabama,General,Cygnal,"October 21–23, 2020",645 (LV),± 3.9%,Doug Jones,D,41%,True
2020,Alabama,General,Moore Information (R),"October 11–14, 2020",504 (LV),± 4.5%,Doug Jones,D,40%,True
2020,Alabama,General,FM3 Research (D),"October 11–14, 2020",801 (LV),± 3.5%,Doug Jones,D,48%,True
2020,Alabama,General,Auburn University at Montgomery,"September 30 – October 3, 2020","1,072 (RV)",± 4.0%,Doug Jones,D,42%,True
2020,Alabama,General,Morning Consult,"September 11–20, 2020",658 (LV),± (2% – 7%),Doug Jones,D,34%,True
2020,Alabama,General,Morning Consult,"July 24 – August 2, 2020",609 (LV),± 4.0%,Doug Jones,D,35%,True
2020,Alabama,General,Auburn University at Montgomery,"July 2–9, 2020",567 (RV),± 5.1%,Doug Jones,D,36%,True
2020,Alabama,General,WPA Intelligence (R),"June 29 – July 2, 2020",509 (LV),± 3.8%,Doug Jones,D,40%,True
2020,Alabama,General,ALG Research (D),"June 18–22, 2020",600 (LV),± 4.0%,Doug Jones,D,44%,True
2020,Alabama,General,Cygnal,"June 13–16, 2020",530 (LV),± 4.3%,Doug Jones,D,36%,True
2020,Alabama,General,FM3 Research (D),"May 14–18, 2020",601 (LV),± 4.0%,Doug Jones,D,44%,True
2020,Alabama,General,Mason-Dixon,"February 4–6, 2020",625 (RV),± 4.0%,Doug Jones,D,42%,True
2020,Alabama,General,JMC Analytics,"December 16–18, 2019",525 (LV),± 4.3%,Doug Jones,D,40%,True
2020,Alabama,General,Swayable,"October 27 – November 1, 2020",294 (LV),± 8.5%,Tommy Tuberville,R,58%,False
2020,Alabama,General,Data for Progress,"October 27 – November 1, 2020","1,045 (LV)",± 3%,Tommy Tuberville,R,56%,False
2020,Alabama,General,Morning Consult,"October 22–31, 2020",850 (LV),± 3%,Tommy Tuberville,R,51%,False
