year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
1984,Alabama,AL,Autauga,County,Ronald Reagan,Republican,8350,70.07,11917,Republican
1984,Alabama,AL,Autauga,County,Walter Mondale,Democratic,3366,28.25,11917,Republican
1984,Alabama,AL,Autauga,County,David Bergland,Libertarian,165,1.38,11917,Republican
1984,Alabama,AL,Autauga,County,Gus Hall,Independent,15,0.13,11917,Republican
1984,Alabama,AL,Autauga,County,Other,Other,21,0.18,11917,Republican
1984,Alabama,AL,Baldwin,County,Ronald Reagan,Republican,24964,75.55,33045,Republican
1984,Alabama,AL,Baldwin,County,Walter Mondale,Democratic,7272,22.01,33045,Republican
1984,Alabama,AL,Baldwin,County,David Bergland,Libertarian,337,1.02,33045,Republican
1984,Alabama,AL,Baldwin,County,Gus Hall,Independent,29,0.09,33045,Republican
1984,Alabama,AL,Baldwin,County,Other,Other,443,1.34,33045,Republican
1984,Alabama,AL,Barbour,County,Ronald Reagan,Republican,5459,53.73,10161,Republican
1984,Alabama,AL,Barbour,County,Walter Mondale,Democratic,4591,45.18,10161,Republican
1984,Alabama,AL,Barbour,County,David Bergland,Libertarian,89,0.88,10161,Republican
1984,Alabama,AL,Barbour,County,Gus Hall,Independent,7,0.07,10161,Republican
1984,Alabama,AL,Barbour,County,Other,Other,15,0.15,10161,Republican
1984,Alabama,AL,Bibb,County,Ronald Reagan,Republican,3487,61.32,5687,Republican
1984,Alabama,AL,Bibb,County,Walter Mondale,Democratic,2167,38.1,5687,Republican
1984,Alabama,AL,Bibb,County,David Bergland,Libertarian,13,0.23,5687,Republican
1984,Alabama,AL,Bibb,County,Gus Hall,Independent,6,0.11,5687,Republican
1984,Alabama,AL,Bibb,County,Other,Other,14,0.25,5687,Republican
1984,Alabama,AL,Blount,County,Ronald Reagan,Republican,8508,68.16,12482,Republican
1984,Alabama,AL,Blount,County,Walter Mondale,Democratic,3738,29.95,12482,Republican
1984,Alabama,AL,Blount,County,David Bergland,Libertarian,102,0.82,12482,Republican
1984,Alabama,AL,Blount,County,Gus Hall,Independent,21,0.17,12482,Republican
1984,Alabama,AL,Blount,County,Other,Other,113,0.91,12482,Republican
1984,Alabama,AL,Bullock,County,Ronald Reagan,Republican,1697,32.02,5299,Democratic
1984,Alabama,AL,Bullock,County,Walter Mondale,Democratic,3537,66.75,5299,Democratic
1984,Alabama,AL,Bullock,County,David Bergland,Libertarian,49,0.92,5299,Democratic
1984,Alabama,AL,Bullock,County,Gus Hall,Independent,4,0.08,5299,Democratic
1984,Alabama,AL,Bullock,County,Other,Other,12,0.23,5299,Democratic
1984,Alabama,AL,Butler,County,Ronald Reagan,Republican,4941,56.73,8709,Republican
1984,Alabama,AL,Butler,County,Walter Mondale,Democratic,3641,41.81,8709,Republican
1984,Alabama,AL,Butler,County,David Bergland,Libertarian,116,1.33,8709,Republican
1984,Alabama,AL,Butler,County,Gus Hall,Independent,5,0.06,8709,Republican
1984,Alabama,AL,Butler,County,Other,Other,6,0.07,8709,Republican
1984,Alabama,AL,Calhoun,County,Ronald Reagan,Republican,23291,61.16,38082,Republican
1984,Alabama,AL,Calhoun,County,Walter Mondale,Democratic,12752,33.49,38082,Republican
1984,Alabama,AL,Calhoun,County,David Bergland,Libertarian,400,1.05,38082,Republican
1984,Alabama,AL,Calhoun,County,Gus Hall,Independent,1143,3.0,38082,Republican
1984,Alabama,AL,Calhoun,County,Other,Other,496,1.3,38082,Republican
1984,Alabama,AL,Chambers,County,Ronald Reagan,Republican,8024,59.6,13463,Republican
1984,Alabama,AL,Chambers,County,Walter Mondale,Democratic,5302,39.38,13463,Republican
1984,Alabama,AL,Chambers,County,David Bergland,Libertarian,113,0.84,13463,Republican
1984,Alabama,AL,Chambers,County,Gus Hall,Independent,10,0.07,13463,Republican
