year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
2016,Alabama,AL,Autauga,County,Donald Trump,Republican,18172,72.77,24973,Republican
2016,Alabama,AL,Autauga,County,Hillary Clinton,Democratic,5936,23.77,24973,Republican
2016,Alabama,AL,Autauga,County,Other,Other,865,3.46,24973,Republican
2016,Alabama,AL,Baldwin,County,Donald Trump,Republican,72883,76.55,95215,Republican
2016,Alabama,AL,Baldwin,County,Hillary Clinton,Democratic,18458,19.39,95215,Republican
2016,Alabama,AL,Baldwin,County,Other,Other,3874,4.06,95215,Republican
2016,Alabama,AL,Barbour,County,Donald Trump,Republican,5454,52.1,10469,Republican
2016,Alabama,AL,Barbour,County,Hillary Clinton,Democratic,4871,46.53,10469,Republican
2016,Alabama,AL,Barbour,County,Other,Other,144,1.37,10469,Republican
2016,Alabama,AL,Bibb,County,Donald Trump,Republican,6738,76.4,8819,Republican
2016,Alabama,AL,Bibb,County,Hillary Clinton,Democratic,1874,21.25,8819,Republican
2016,Alabama,AL,Bibb,County,Other,Other,207,2.35,8819,Republican
2016,Alabama,AL,Blount,County,Donald Trump,Republican,22859,89.33,25588,Republican
2016,Alabama,AL,Blount,County,Hillary Clinton,Democratic,2156,8.43,25588,Republican
2016,Alabama,AL,Blount,County,Other,Other,573,2.24,25588,Republican
2016,Alabama,AL,Bullock,County,Donald Trump,Republican,1140,24.2,4710,Democratic
2016,Alabama,AL,Bullock,County,Hillary Clinton,Democratic,3530,74.95,4710,Democratic
2016,Alabama,AL,Bullock,County,Other,Other,40,0.85,4710,Democratic
2016,Alabama,AL,Butler,County,Donald Trump,Republican,4901,56.13,8732,Republican
2016,Alabama,AL,Butler,County,Hillary Clinton,Democratic,3726,42.67,8732,Republican
2016,Alabama,AL,Butler,County,Other,Other,105,1.2,8732,Republican
2016,Alabama,AL,Calhoun,County,Donald Trump,Republican,32865,68.66,47864,Republican
2016,Alabama,AL,Calhoun,County,Hillary Clinton,Democratic,13242,27.67,47864,Republican
2016,Alabama,AL,Calhoun,County,Other,Other,1757,3.67,47864,Republican
2016,Alabama,AL,Chambers,County,Donald Trump,Republican,7843,56.42,13900,Republican
2016,Alabama,AL,Chambers,County,Hillary Clinton,Democratic,5784,41.61,13900,Republican
2016,Alabama,AL,Chambers,County,Other,Other,273,1.97,13900,Republican
2016,Alabama,AL,Cherokee,County,Donald Trump,Republican,8953,83.42,10733,Republican
2016,Alabama,AL,Cherokee,County,Hillary Clinton,Democratic,1547,14.41,10733,Republican
2016,Alabama,AL,Cherokee,County,Other,Other,233,2.17,10733,Republican
2016,Alabama,AL,Chilton,County,Donald Trump,Republican,15081,82.1,18369,Republican
2016,Alabama,AL,Chilton,County,Hillary Clinton,Democratic,2911,15.85,18369,Republican
2016,Alabama,AL,Chilton,County,Other,Other,377,2.05,18369,Republican
2016,Alabama,AL,Choctaw,County,Donald Trump,Republican,4106,56.31,7292,Republican
2016,Alabama,AL,Choctaw,County,Hillary Clinton,Democratic,3109,42.64,7292,Republican
2016,Alabama,AL,Choctaw,County,Other,Other,77,1.05,7292,Republican
2016,Alabama,AL,Clarke,County,Donald Trump,Republican,7140,54.79,13031,Republican
2016,Alabama,AL,Clarke,County,Hillary Clinton,Democratic,5749,44.12,13031,Republican
2016,Alabama,AL,Clarke,County,Other,Other,142,1.09,13031,Republican
2016,Alabama,AL,Clay,County,Donald Trump,Republican,5245,79.18,6624,Republican
2016,Alabama,AL,Clay,County,Hillary Clinton,Democratic,1237,18.67,6624,Republican
2016,Alabama,AL,Clay,County,Other,Other,142,2.15,6624,Republican
2016,Alabama,AL,Cleburne,County,Donald Trump,Republican,5764,87.43,6593,Republican
2016,Alabama,AL,Cleburne,County,Hillary Clinton,Democratic,684,10.37,6593,Republican
2016,Alabama,AL,Cleburne,County,Other,Other,145,2.2,6593,Republican
2016,Alabama,AL,Coffee,County,Donald Trump,Republican,15875,76.44,20767,Republican
2016,Alabama,AL,Coffee,County,Hillary Clinton,Democratic,4221,20.33,20767,Republican
2016,Alabama,AL,Coffee,County,Other,Other,671,3.23,20767,Republican
2016,Alabama,AL,Colbert,County,Donald Trump,Republican,16746,67.21,24915,Republican
2016,Alabama,AL,Colbert,County,Hillary Clinton,Democratic,7312,29.35,24915,Republican
2016,Alabama,AL,Colbert,County,Other,Other,857,3.44,24915,Republican
2016,Alabama,AL,Conecuh,County,Donald Trump,Republican,3420,51.94,6585,Republican
2016,Alabama,AL,Conecuh,County,Hillary Clinton,Democratic,3080,46.77,6585,Republican
2016,Alabama,AL,Conecuh,County,Other,Other,85,1.29,6585,Republican
2016,Alabama,AL,Coosa,County,Donald Trump,Republican,3381,64.38,5252,Republican
2016,Alabama,AL,Coosa,County,Hillary Clinton,Democratic,1782,33.93,5252,Republican
