year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
1996,Alabama,AL,Autauga,County,Bob Dole,Republican,9509,61.66,15422,Republican
1996,Alabama,AL,Autauga,County,Bill Clinton,Democratic,5015,32.52,15422,Republican
1996,Alabama,AL,Autauga,County,Ross Perot,Independent,813,5.27,15422,Republican
1996,Alabama,AL,Autauga,County,Other,Other,85,0.55,15422,Republican
1996,Alabama,AL,Baldwin,County,Bob Dole,Republican,29487,62.58,47119,Republican
1996,Alabama,AL,Baldwin,County,Bill Clinton,Democratic,12776,27.11,47119,Republican
1996,Alabama,AL,Baldwin,County,Ross Perot,Independent,4520,9.59,47119,Republican
1996,Alabama,AL,Baldwin,County,Other,Other,336,0.71,47119,Republican
1996,Alabama,AL,Barbour,County,Bob Dole,Republican,3627,40.51,8953,Democratic
1996,Alabama,AL,Barbour,County,Bill Clinton,Democratic,4787,53.47,8953,Democratic
1996,Alabama,AL,Barbour,County,Ross Perot,Independent,515,5.75,8953,Democratic
1996,Alabama,AL,Barbour,County,Other,Other,24,0.27,8953,Democratic
1996,Alabama,AL,Bibb,County,Bob Dole,Republican,3037,48.2,6301,Republican
1996,Alabama,AL,Bibb,County,Bill Clinton,Democratic,2775,44.04,6301,Republican
1996,Alabama,AL,Bibb,County,Ross Perot,Independent,455,7.22,6301,Republican
1996,Alabama,AL,Bibb,County,Other,Other,34,0.54,6301,Republican
1996,Alabama,AL,Blount,County,Bob Dole,Republican,9056,59.09,15327,Republican
1996,Alabama,AL,Blount,County,Bill Clinton,Democratic,5061,33.02,15327,Republican
1996,Alabama,AL,Blount,County,Ross Perot,Independent,985,6.43,15327,Republican
1996,Alabama,AL,Blount,County,Other,Other,225,1.47,15327,Republican
1996,Alabama,AL,Bullock,County,Bob Dole,Republican,1154,26.32,4384,Democratic
1996,Alabama,AL,Bullock,County,Bill Clinton,Democratic,3078,70.21,4384,Democratic
1996,Alabama,AL,Bullock,County,Ross Perot,Independent,111,2.53,4384,Democratic
1996,Alabama,AL,Bullock,County,Other,Other,41,0.94,4384,Democratic
1996,Alabama,AL,Butler,County,Bob Dole,Republican,3352,43.14,7770,Democratic
1996,Alabama,AL,Butler,County,Bill Clinton,Democratic,3828,49.27,7770,Democratic
1996,Alabama,AL,Butler,County,Ross Perot,Independent,538,6.92,7770,Democratic
1996,Alabama,AL,Butler,County,Other,Other,52,0.67,7770,Democratic
1996,Alabama,AL,Calhoun,County,Bob Dole,Republican,18088,49.0,36911,Republican
1996,Alabama,AL,Calhoun,County,Bill Clinton,Democratic,15725,42.6,36911,Republican
1996,Alabama,AL,Calhoun,County,Ross Perot,Independent,2613,7.08,36911,Republican
1996,Alabama,AL,Calhoun,County,Other,Other,485,1.31,36911,Republican
1996,Alabama,AL,Chambers,County,Bob Dole,Republican,4707,42.42,11097,Democratic
1996,Alabama,AL,Chambers,County,Bill Clinton,Democratic,5515,49.7,11097,Democratic
1996,Alabama,AL,Chambers,County,Ross Perot,Independent,812,7.32,11097,Democratic
1996,Alabama,AL,Chambers,County,Other,Other,63,0.57,11097,Democratic
1996,Alabama,AL,Cherokee,County,Bob Dole,Republican,3048,36.2,8421,Democratic
1996,Alabama,AL,Cherokee,County,Bill Clinton,Democratic,4399,52.24,8421,Democratic
1996,Alabama,AL,Cherokee,County,Ross Perot,Independent,899,10.68,8421,Democratic
1996,Alabama,AL,Cherokee,County,Other,Other,75,0.89,8421,Democratic
1996,Alabama,AL,Chilton,County,Bob Dole,Republican,7910,55.4,14278,Republican
1996,Alabama,AL,Chilton,County,Bill Clinton,Democratic,5354,37.5,14278,Republican
1996,Alabama,AL,Chilton,County,Ross Perot,Independent,929,6.51,14278,Republican
1996,Alabama,AL,Chilton,County,Other,Other,85,0.6,14278,Republican
1996,Alabama,AL,Choctaw,County,Bob Dole,Republican,2623,36.78,7131,Democratic
1996,Alabama,AL,Choctaw,County,Bill Clinton,Democratic,4074,57.13,7131,Democratic
1996,Alabama,AL,Choctaw,County,Ross Perot,Independent,413,5.79,7131,Democratic
1996,Alabama,AL,Choctaw,County,Other,Other,21,0.29,7131,Democratic
1996,Alabama,AL,Clarke,County,Bob Dole,Republican,4785,47.29,10118,Democratic
1996,Alabama,AL,Clarke,County,Bill Clinton,Democratic,4831,47.75,10118,Democratic
1996,Alabama,AL,Clarke,County,Ross Perot,Independent,478,4.72,10118,Democratic
1996,Alabama,AL,Clarke,County,Other,Other,24,0.24,10118,Democratic
1996,Alabama,AL,Clay,County,Bob Dole,Republican,2694,48.38,5568,Republican
1996,Alabama,AL,Clay,County,Bill Clinton,Democratic,2306,41.42,5568,Republican
1996,Alabama,AL,Clay,County,Ross Perot,Independent,538,9.66,5568,Republican
1996,Alabama,AL,Clay,County,Other,Other,30,0.54,5568,Republican
1996,Alabama,AL,Cleburne,County,Bob Dole,Republican,2063,48.64,4241,Republican
1996,Alabama,AL,Cleburne,County,Bill Clinton,Democratic,1737,40.96,4241,Republican
1996,Alabama,AL,Cleburne,County,Ross Perot,Independent,385,9.08,4241,Republican
1996,Alabama,AL,Cleburne,County,Other,Other,56,1.32,4241,Republican
1996,Alabama,AL,Coffee,County,Bob Dole,Republican,7805,55.12,14159,Republican
1996,Alabama,AL,Coffee,County,Bill Clinton,Democratic,5168,36.5,14159,Republican
1996,Alabama,AL,Coffee,County,Ross Perot,Independent,1042,7.36,14159,Republican
1996,Alabama,AL,Coffee,County,Other,Other,144,1.02,14159,Republican
1996,Alabama,AL,Colbert,County,Bob Dole,Republican,8305,40.88,20318,Democratic
