year,level,state,state_code,district,candidate,party,percentage,winner,incumbent,open_seat
2012,house,Alabama,AL,1,Jo Bonner,Republican,97.9,True,False,False
2012,house,Alabama,AL,2,Martha Roby,Republican,63.7,True,False,False
2012,house,Alabama,AL,2,Therese Ford,Democratic,36.3,False,False,False
2012,house,Alabama,AL,3,Mike Rogers,Republican,64.1,True,False,False
2012,house,Alabama,AL,3,John Andrew Harris,Democratic,35.9,False,False,False
2012,house,Alabama,AL,4,Robert Aderholt,Republican,74.0,True,False,False
2012,house,Alabama,AL,4,Daniel Boman,Democratic,26.0,False,False,False
2012,house,Alabama,AL,5,Mo Brooks,Republican,65.0,True,False,False
2012,house,Alabama,AL,5,Charlie Holley,Democratic,35.0,False,False,False
2012,house,Alabama,AL,6,Spencer Bachus,Republican,71.4,True,False,False
2012,house,Alabama,AL,6,Penny Bailey,Democratic,28.6,False,False,False
2012,house,Alabama,AL,7,Terri Sewell,Democratic,75.8,True,False,False
2012,house,Alabama,AL,7,Don Chamberlain,Republican,24.2,False,False,False
2012,house,Alaska,AK,AL,Don Young,Republican,64.7,True,True,False
2012,house,Alaska,AK,AL,Sharon Cissna,Democratic,28.4,False,False,False
2012,house,Alaska,AK,AL,Jim C. McDermott,Libertarian,5.1,False,False,False
2012,house,Alaska,AK,AL,Ted Gianoutsos,Independent,1.9,False,False,False
2012,house,Arizona,AZ,1,Ann Kirkpatrick,Democratic,48.8,True,False,True
2012,house,Arizona,AZ,1,Jonathan Paton,Republican,45.1,False,False,True
2012,house,Arizona,AZ,1,Kim Allen,Libertarian,6.0,False,False,True
2012,house,Arizona,AZ,2,Ron Barber,Democratic,50.42,True,False,False
2012,house,Arizona,AZ,2,Martha McSally,Republican,49.58,False,False,False
2012,house,Arizona,AZ,2,Anthony Powell,Libertarian,0.02,False,False,False
2012,house,Arizona,AZ,3,Raúl Grijalva,Democratic,57.8,True,False,False
2012,house,Arizona,AZ,3,Gabby Saucedo Mercer,Republican,37.7,False,False,False
2012,house,Arizona,AZ,3,Blanca Guerra,Libertarian,4.4,False,False,False
2012,house,Arizona,AZ,4,Paul Gosar,Republican,67.0,True,False,False
2012,house,Arizona,AZ,4,Johnnie Robinson,Democratic,28.3,False,False,False
2012,house,Arizona,AZ,4,Joe Pamelia,Libertarian,3.7,False,False,False
2012,house,Arizona,AZ,4,Richard Grayson,Other,1.0,False,False,False
2012,house,Arizona,AZ,5,Matt Salmon,Republican,67.2,True,False,True
2012,house,Arizona,AZ,5,Spencer Morgan,Democratic,32.7,False,False,True
2012,house,Arizona,AZ,6,David Schweikert,Republican,61.7,True,False,False
2012,house,Arizona,AZ,6,Matt Jette,Democratic,33.1,False,False,False
2012,house,Arizona,AZ,6,Jack Anderson,Libertarian,3.3,False,False,False
2012,house,Arizona,AZ,6,Mark Salazar,Green,1.8,False,False,False
2012,house,Arizona,AZ,7,Ed Pastor,Democratic,80.3,True,False,False
2012,house,Arizona,AZ,7,Joe Cobb,Libertarian,19.2,False,False,False
2012,house,Arizona,AZ,8,Trent Franks,Republican,63.6,True,False,False
2012,house,Arizona,AZ,8,Gene Scharer,Democratic,34.8,False,False,False
2012,house,Arizona,AZ,8,Stephen Dolgos,Other,1.5,False,False,False
