year,level,state,state_code,district,candidate,party,percentage,winner,incumbent,open_seat
2010,house,Alabama,AL,1,Jo Bonner,Republican,83.0,True,True,False
2010,house,Alabama,AL,1,Constitution,Constitution,17.0,False,False,False
2010,house,Alabama,AL,2,Martha Roby,Republican,51.3,True,False,False
2010,house,Alabama,AL,2,Bobby Bright,Democratic,48.7,False,True,False
2010,house,Alabama,AL,3,Mike D. Rogers,Republican,59.1,True,True,False
2010,house,Alabama,AL,3,Steve Segrest,Democratic,40.9,False,False,False
2010,house,Alabama,AL,4,Robert Aderholt,Republican,98.8,True,True,False
2010,house,Alabama,AL,5,Mo Brooks,Republican,58.5,True,False,False
2010,house,Alabama,AL,5,Steve Raby,Democratic,41.5,False,False,False
2010,house,Alabama,AL,6,Spencer Bachus,Republican,98.1,True,True,False
2010,house,Alabama,AL,7,Terri Sewell,Democratic,72.6,True,False,True
2010,house,Alabama,AL,7,Don Chamberlain,Republican,27.4,False,False,True
2010,house,Alaska,AK,AL,Don Young,Republican,69.0,True,True,False
2010,house,Alaska,AK,AL,Harry Crawford,Democratic,30.5,False,False,False
2010,house,Arizona,AZ,1,Paul Gosar,Republican,49.7,True,False,False
2010,house,Arizona,AZ,1,Ann Kirkpatrick,Democratic,43.7,False,True,False
2010,house,Arizona,AZ,1,Libertarian,Libertarian,6.6,False,False,False
2010,house,Arizona,AZ,2,Trent Franks,Republican,64.9,True,True,False
2010,house,Arizona,AZ,2,John Thrasher,Democratic,31.1,False,False,False
2010,house,Arizona,AZ,2,Powell Gammill,Libertarian,4.0,False,False,False
2010,house,Arizona,AZ,3,Ben Quayle,Republican,52.2,True,False,True
2010,house,Arizona,AZ,3,Jon Hulburd,Democratic,41.1,False,False,True
2010,house,Arizona,AZ,3,Michael Shoen,Libertarian,5.0,False,False,True
2010,house,Arizona,AZ,3,Green,Green,1.6,False,False,True
2010,house,Arizona,AZ,4,Ed Pastor,Democratic,66.9,True,True,False
2010,house,Arizona,AZ,4,Janet Contreras,Republican,27.5,False,False,False
2010,house,Arizona,AZ,4,Joe Cobb,Libertarian,3.0,False,False,False
2010,house,Arizona,AZ,4,Rebecca DeWitt,Green,2.6,False,False,False
2010,house,Arizona,AZ,5,David Schweikert,Republican,52.0,True,False,False
2010,house,Arizona,AZ,5,Harry Mitchell,Democratic,43.2,False,True,False
2010,house,Arizona,AZ,5,Nick Coons,Libertarian,4.8,False,False,False
2010,house,Arizona,AZ,6,Jeff Flake,Republican,66.4,True,True,False
2010,house,Arizona,AZ,6,Rebecca Schneider,Democratic,29.1,False,False,False
2010,house,Arizona,AZ,6,Richard Grayson,Green,3.1,False,False,False
2010,house,Arizona,AZ,6,Darell Tapp,Libertarian,1.4,False,False,False
2010,house,Arizona,AZ,7,Raúl Grijalva,Democratic,50.2,True,True,False
2010,house,Arizona,AZ,7,Ruth McClung,Republican,44.2,False,False,False
