year,level,state,state_code,district,candidate,party,percentage,winner,incumbent,open_seat
1988,house,Alabama,AL,1,Sonny Callahan,Republican,59.3,True,True,False
1988,house,Alabama,AL,1,John M. Tyson Jr.,Democratic,40.0,False,False,False
1988,house,Alabama,AL,1,Kenneth Ament,Libertarian,0.8,False,False,False
1988,house,Alabama,AL,2,Bill Dickinson,Republican,94.2,True,True,False
1988,house,Alabama,AL,2,Joel Brooke King,Libertarian,5.8,False,False,False
1988,house,Alabama,AL,3,Bill Nichols,Democratic,96.1,True,True,False
1988,house,Alabama,AL,3,Jerome Shockley,Libertarian,3.9,False,False,False
1988,house,Alabama,AL,4,Tom Bevill,Democratic,96.2,True,True,False
1988,house,Alabama,AL,4,John Sebastian,Libertarian,3.8,False,False,False
1988,house,Alabama,AL,5,Ronnie Flippo,Democratic,64.4,True,True,False
1988,house,Alabama,AL,5,Stan McDonald,Republican,34.6,False,False,False
1988,house,Alabama,AL,5,John Palmer,Libertarian,1.1,False,False,False
1988,house,Alabama,AL,6,Ben Erdreich,Democratic,66.5,True,True,False
1988,house,Alabama,AL,6,Charles Caddis,Republican,32.9,False,False,False
1988,house,Alabama,AL,6,William Wingo,Libertarian,0.5,False,False,False
1988,house,Alabama,AL,7,Claude Harris Jr.,Democratic,67.7,True,True,False
1988,house,Alabama,AL,7,James E. Bacon,Republican,31.5,False,False,False
1988,house,Alabama,AL,7,Alan F. Barksdale,Libertarian,0.7,False,False,False
1988,house,Alaska,AK,AL,Don Young,Republican,62.7,True,True,False
1988,house,Alaska,AK,AL,Peter Gruenstein,Democratic,37.3,False,False,False
1988,house,Arizona,AZ,1,John Jacob Rhodes III,Republican,72.1,True,True,False
1988,house,Arizona,AZ,1,John M. Fillmore,Democratic,27.9,False,False,False
1988,house,Arizona,AZ,2,Mo Udall,Democratic,73.3,True,True,False
1988,house,Arizona,AZ,2,Joseph D. Sweeney,Republican,26.7,False,False,False
1988,house,Arizona,AZ,3,Bob Stump,Republican,68.9,True,True,False
1988,house,Arizona,AZ,3,Dave Moss,Democratic,28.6,False,False,False
1988,house,Arizona,AZ,3,John Parsons,Independent,2.6,False,False,False
1988,house,Arizona,AZ,4,Jon Kyl,Republican,87.1,True,True,False
1988,house,Arizona,AZ,4,Gary Sprunk,Libertarian,12.9,False,False,False
1988,house,Arizona,AZ,5,Jim Kolbe,Republican,67.8,True,True,False
1988,house,Arizona,AZ,5,Judith E. Belcher,Democratic,32.2,False,False,False
1988,house,Arkansas,AR,1,Bill Alexander,Democratic,100.0,True,True,False
1988,house,Arkansas,AR,2,Tommy F. Robinson,Democratic,83.5,True,True,False
1988,house,Arkansas,AR,2,Warren D. Carpenter,Republican,16.5,False,False,False
1988,house,Arkansas,AR,3,John Paul Hammerschmidt,Republican,74.7,True,True,False
1988,house,Arkansas,AR,3,David Stewart,Democratic,25.3,False,False,False
1988,house,Arkansas,AR,4,Beryl Anthony Jr.,Democratic,69.2,True,True,False
1988,house,Arkansas,AR,4,Roger N. Bell,Republican,30.8,False,False,False
1988,house,California,CA,1,Douglas H. Bosco,Democratic,62.9,True,True,False
1988,house,California,CA,1,Samuel Vanderbilt,Republican,28.4,False,False,False
1988,house,California,CA,1,Eric Fried,Peace and Freedom,8.7,False,False,False
1988,house,California,CA,2,Wally Herger,Republican,58.8,True,True,False
1988,house,California,CA,2,Wayne Meyer,Democratic,38.5,False,False,False
1988,house,California,CA,2,Doc Pendery,Libertarian,2.6,False,False,False
1988,house,California,CA,3,Bob Matsui,Democratic,71.2,True,True,False
1988,house,California,CA,3,Lowell P. Landowski,Republican,28.8,False,False,False
1988,house,California,CA,4,Vic Fazio,Democratic,99.3,True,True,False
1988,house,California,CA,5,Nancy Pelosi,Democratic,76.4,True,True,False
1988,house,California,CA,5,Bruce O'Neill,Republican,19.3,False,False,False
1988,house,California,CA,5,Ted Zuur,Peace and Freedom,2.3,False,False,False
1988,house,California,CA,5,Sam Grove,Libertarian,2.0,False,False,False
1988,house,California,CA,6,Barbara Boxer,Democratic,73.4,True,True,False
1988,house,California,CA,6,William Steinmetz,Republican,26.6,False,False,False
1988,house,California,CA,7,George Miller,Democratic,68.4,True,True,False
1988,house,California,CA,7,Jean Last,Republican,31.6,False,False,False
1988,house,California,CA,8,Ron Dellums,Democratic,66.6,True,True,False
1988,house,California,CA,8,John J. Cuddihy Jr.,Republican,31.2,False,False,False
1988,house,California,CA,8,Tom Condit,Peace and Freedom,2.2,False,False,False
1988,house,California,CA,9,Pete Stark,Democratic,73.0,True,True,False
1988,house,California,CA,9,Howard Hertz,Republican,27.0,False,False,False
1988,house,California,CA,10,Don Edwards,Democratic,86.2,True,True,False
1988,house,California,CA,10,Kennita Watson,Libertarian,13.8,False,False,False
1988,house,California,CA,11,Tom Lantos,Democratic,71.0,True,True,False
1988,house,California,CA,11,Bill Quraishi,Republican,24.4,False,False,False
1988,house,California,CA,11,Bill Wade,Libertarian,2.3,False,False,False
1988,house,California,CA,11,Victor Martinez,Peace and Freedom,1.4,False,False,False
1988,house,California,CA,11,Nicholas W. Kudrovzeff,American Independent,0.9,False,False,False
1988,house,California,CA,12,Tom Campbell,Republican,51.7,True,False,False
1988,house,California,CA,12,Anna Eshoo,Democratic,46.0,False,False,False
1988,house,California,CA,12,Tom Grey,Libertarian,2.3,False,False,False
1988,house,California,CA,13,Norman Mineta,Democratic,67.1,True,True,False
1988,house,California,CA,13,Luke Sommer,Republican,29.8,False,False,False
1988,house,California,CA,13,John H. Webster,Libertarian,3.1,False,False,False
1988,house,California,CA,14,Norman D. Shumway,Republican,62.6,True,True,False
1988,house,California,CA,14,Patricia Malberg,Democratic,37.4,False,False,False
1988,house,California,CA,15,Tony Coelho,Democratic,69.8,True,True,False
1988,house,California,CA,15,Carol Harner,Republican,28.2,False,False,False
1988,house,California,CA,15,Richard M. Harris,Libertarian,2.1,False,False,False
1988,house,California,CA,16,Leon Panetta,Democratic,78.6,True,True,False
1988,house,California,CA,16,Stanley Monteith,Republican,21.4,False,False,False
1988,house,California,CA,17,Chip Pashayan,Republican,71.5,True,True,False
1988,house,California,CA,17,Vincent Lavery,Democratic,28.5,False,False,False
1988,house,California,CA,18,Richard H. Lehman,Democratic,69.9,True,True,False
1988,house,California,CA,18,David A. Linn,Republican,30.1,False,False,False
1988,house,California,CA,19,Bob Lagomarsino,Republican,50.2,True,True,False
1988,house,California,CA,19,Gary K. Hart,Democratic,48.5,False,False,False
1988,house,California,CA,19,Robert Donaldson,Libertarian,1.2,False,False,False
1988,house,California,CA,20,Bill Thomas,Republican,71.1,True,True,False
1988,house,California,CA,20,Lita Reid,Democratic,27.1,False,False,False
1988,house,California,CA,20,David Bersohn,Libertarian,1.8,False,False,False
1988,house,California,CA,21,Elton Gallegly,Republican,69.1,True,True,False
1988,house,California,CA,21,Donald E. Stevens,Democratic,28.8,False,False,False
1988,house,California,CA,21,Robert Jay,Libertarian,2.1,False,False,False
1988,house,California,CA,22,Carlos Moorhead,Republican,69.5,True,True,False
1988,house,California,CA,22,John G. Simmons,Democratic,26.0,False,False,False
1988,house,California,CA,22,Shirley Rachel Isaacson,Peace and Freedom,2.7,False,False,False
1988,house,California,CA,22,Ted Brown,Libertarian,1.8,False,False,False
1988,house,California,CA,23,Anthony Beilenson,Democratic,63.5,True,True,False
1988,house,California,CA,23,Jim Salomon,Republican,33.1,False,False,False
1988,house,California,CA,23,John Vernon,Libertarian,1.9,False,False,False
1988,house,California,CA,23,John Honigsfeld,Peace and Freedom,1.4,False,False,False
1988,house,California,CA,24,Henry Waxman,Democratic,72.2,True,True,False
1988,house,California,CA,24,John N. Cowles,Republican,23.8,False,False,False
1988,house,California,CA,24,James Green,Peace and Freedom,2.3,False,False,False
1988,house,California,CA,24,George Abrahams,Libertarian,1.7,False,False,False
1988,house,California,CA,25,Edward R. Roybal,Democratic,85.5,True,True,False
1988,house,California,CA,25,Paul Reyes,Peace and Freedom,8.8,False,False,False
1988,house,California,CA,25,John C. Thie,Libertarian,5.8,False,False,False
1988,house,California,CA,26,Howard Berman,Democratic,70.3,True,True,False
1988,house,California,CA,26,Brodie Broderson,Republican,29.7,False,False,False
1988,house,California,CA,27,Mel Levine,Democratic,67.5,True,True,False
1988,house,California,CA,27,Dennis Galbraith,Republican,29.6,False,False,False
1988,house,California,CA,27,William J. Fulco,Libertarian,2.8,False,False,False
1988,house,California,CA,28,Julian Dixon,Democratic,76.1,True,True,False
1988,house,California,CA,28,George Adams,Republican,19.8,False,False,False
1988,house,California,CA,28,Howard Johnson,Libertarian,2.1,False,False,False
1988,house,California,CA,28,Salomea Honigsfeld,Peace and Freedom,1.9,False,False,False
1988,house,California,CA,29,Augustus Hawkins,Democratic,82.8,True,True,False
1988,house,California,CA,29,Reuben D. Franco,Republican,13.7,False,False,False
1988,house,California,CA,29,Gregory P. Gilmore,Libertarian,3.5,False,False,False
1988,house,California,CA,30,Matthew G. Martínez,Democratic,59.9,True,True,False
1988,house,California,CA,30,Ralph R. Ramirez,Republican,36.3,False,False,False
1988,house,California,CA,30,Houston Myers,American Independent,2.2,False,False,False
1988,house,California,CA,30,Kim J. Goldsworthy,Libertarian,1.5,False,False,False
1988,house,California,CA,31,Mervyn Dymally,Democratic,71.6,True,True,False
1988,house,California,CA,31,Arnold C. May,Republican,25.5,False,False,False
1988,house,California,CA,31,B. Kwaku Duren,Peace and Freedom,2.9,False,False,False
1988,house,California,CA,32,Glenn M. Anderson,Democratic,66.9,True,True,False
1988,house,California,CA,32,Sanford W. Kahn,Republican,29.6,False,False,False
1988,house,California,CA,32,Vikki Murdock,Peace and Freedom,2.4,False,False,False
1988,house,California,CA,32,Marc F. Denny,Libertarian,1.1,False,False,False
1988,house,California,CA,33,David Dreier,Republican,69.2,True,True,False
1988,house,California,CA,33,Nelson Gentry,Democratic,26.2,False,False,False
1988,house,California,CA,33,Gail Lightfoot,Libertarian,3.0,False,False,False
1988,house,California,CA,33,Mike Noonan,Peace and Freedom,1.6,False,False,False
1988,house,California,CA,34,Esteban Torres,Democratic,63.2,True,True,False
1988,house,California,CA,34,Charles M. House,Republican,35.0,False,False,False
1988,house,California,CA,34,Carl M. Swinney,Libertarian,1.8,False,False,False
1988,house,California,CA,35,Jerry Lewis,Republican,70.4,True,True,False
1988,house,California,CA,35,Paul Sweeney,Democratic,27.7,False,False,False
1988,house,California,CA,35,Jeff Shuman,Libertarian,1.9,False,False,False
1988,house,California,CA,36,George Brown Jr.,Democratic,54.0,True,True,True
1988,house,California,CA,36,John Paul Stark,Republican,42.5,False,False,True
1988,house,California,CA,36,Kenneth E. Valentine,Libertarian,1.8,False,False,True
1988,house,California,CA,36,Fred L. Anderson,American Independent,1.8,False,False,True
1988,house,California,CA,37,Al McCandless,Republican,64.3,True,True,False
1988,house,California,CA,37,Johnny Pearson,Democratic,33.1,False,False,False
1988,house,California,CA,37,Bonnie Flickinger,Libertarian,2.6,False,False,False
1988,house,California,CA,38,Bob Dornan,Republican,59.5,True,True,True
1988,house,California,CA,38,Jerry Yudelson,Democratic,35.6,False,False,True
1988,house,California,CA,38,Bruce McKay,Libertarian,2.5,False,False,True
1988,house,California,CA,38,Frank German,Peace and Freedom,2.4,False,False,True
1988,house,California,CA,39,William Dannemeyer,Republican,74.0,True,True,False
1988,house,California,CA,39,Don E. Marquis,Democratic,22.8,False,False,False
1988,house,California,CA,39,Lee Connelly,Libertarian,3.3,False,False,False
1988,house,California,CA,40,Christopher Cox,Republican,67.1,True,False,True
1988,house,California,CA,40,Lida Lenney,Democratic,29.9,False,False,True
1988,house,California,CA,40,Roger Bloxham,Libertarian,1.7,False,False,True
1988,house,California,CA,40,Gretchen J. Farsai,Peace and Freedom,1.4,False,False,True
1988,house,California,CA,41,Bill Lowery,Republican,64.8,True,True,False
1988,house,California,CA,41,Dan Kripke,Democratic,31.5,False,False,False
1988,house,California,CA,41,Dick Rider,Libertarian,1.9,False,False,False
1988,house,California,CA,41,C. T. Weber,Peace and Freedom,1.7,False,False,False
1988,house,California,CA,42,Dana Rohrabacher,Republican,64.2,True,False,True
1988,house,California,CA,42,Guy C. Kimbrough,Democratic,33.0,False,False,True
1988,house,California,CA,42,Richard D. Rose,Peace and Freedom,2.8,False,False,True
1988,house,California,CA,43,Ron Packard,Republican,71.7,True,True,False
1988,house,California,CA,43,Howard Greenebaum,Democratic,25.7,False,False,False
1988,house,California,CA,43,Daniel L. Muhe,Libertarian,2.7,False,False,False
1988,house,California,CA,44,Jim Bates,Democratic,59.7,True,True,False
1988,house,California,CA,44,Rob Butterfield,Republican,36.5,False,False,False
1988,house,California,CA,44,Dennis Thompson,Libertarian,3.8,False,False,False
1988,house,California,CA,45,Duncan L. Hunter,Republican,74.0,True,True,False
1988,house,California,CA,45,Pete Lepiscopo,Democratic,24.0,False,False,False
1988,house,California,CA,45,Perry Willis,Libertarian,2.0,False,False,False
1988,house,Colorado,CO,1,Pat Schroeder,Democratic,69.9,True,True,False
1988,house,Colorado,CO,1,Joy Wood,Republican,30.1,False,False,False
1988,house,Colorado,CO,2,David Skaggs,Democratic,62.7,True,True,False
1988,house,Colorado,CO,2,Dave Bath,Republican,37.3,False,False,False
1988,house,Colorado,CO,3,Ben Nighthorse Campbell,Democratic,78.0,True,True,False
1988,house,Colorado,CO,3,Jim Zartman,Republican,22.0,False,False,False
1988,house,Colorado,CO,4,Hank Brown,Republican,73.1,True,True,False
1988,house,Colorado,CO,4,Charles S. Vigil,Democratic,26.9,False,False,False
1988,house,Colorado,CO,5,Joel Hefley,Republican,75.1,True,True,False
1988,house,Colorado,CO,5,John J. Mitchell,Democratic,24.9,False,False,False
1988,house,Colorado,CO,6,Daniel Schaefer,Republican,63.0,True,True,False
1988,house,Colorado,CO,6,Martha Ezzard,Democratic,35.6,False,False,False
1988,house,Colorado,CO,6,John Heckman,Independent,1.3,False,False,False
1988,house,Connecticut,CT,1,Barbara B. Kennelly,Democratic,77.2,True,True,False
