year,level,state,state_code,district,candidate,party,percentage,winner,incumbent,open_seat
2009,house,California,CA,10,John Garamendi,Democratic,25.7,False,False,True
2009,house,California,CA,10,David Harmer,Republican,21.05,False,False,True
2009,house,California,CA,10,Mark DeSaulnier,Democratic,17.6,False,False,True
2009,house,California,CA,10,Joan Buchanan,Democratic,12.02,False,False,True
2009,house,California,CA,10,Anthony Woods,Democratic,8.75,False,False,True
2009,house,California,CA,10,Chris Bunch,Republican,4.54,False,False,True
2009,house,California,CA,10,Gary Clift,Republican,3.88,False,False,True
2009,house,California,CA,10,John Toth,Republican,3.11,False,False,True
2009,house,California,CA,10,David Peterson,Republican,1.56,False,False,True
2009,house,California,CA,10,Jeremy Cloward,Green,0.51,False,False,True
2009,house,California,CA,10,Mark Loos,Republican,0.39,False,False,True
2009,house,California,CA,10,Adriel Hampton,Democratic,0.35,False,False,True
2009,house,California,CA,10,Jerome Denham,Independent,0.29,False,False,True
2009,house,California,CA,10,Mary McIlroy,Freedom,0.25,False,False,True
2009,house,California,CA,10,Tiffany Attwood (write-in),Democratic,0.0,False,False,True
2009,house,California,CA,32,Judy Chu,Democratic Party (california),61.8,True,False,True
2009,house,California,CA,32,Betty Chu,Republican Party (california),33.0,False,False,True
2009,house,California,CA,32,Christopher Agrella,Libertarian Party (california),5.2,False,False,True
2009,house,California,CA,32,Eleanor Garcia (write-in),Independent,0.0,False,False,True
2009,house,Illinois,IL,5,Mike Quigley,Democratic,69.2,True,False,True
2009,house,Illinois,IL,5,Rosanna Pulido,Republican,24.2,False,False,True
2009,house,Illinois,IL,5,Matt Reichel,Green,6.6,False,False,True
2009,house,Illinois,IL,5,John Fritchey,Democratic,18.0,False,False,True
2009,house,Illinois,IL,5,Sara Feigenholtz,Democratic,17.0,False,False,True
2009,house,Illinois,IL,5,Victor Forys,Democratic,12.0,False,False,True
2009,house,Illinois,IL,5,Patrick J. O'Connor,Democratic,12.0,False,False,True
2009,house,Illinois,IL,5,Charles Wheelan,Democratic,7.0,False,False,True
2009,house,Illinois,IL,5,Tom Geoghegan,Democratic,6.0,False,False,True
2009,house,Illinois,IL,5,Paul Bryar,Democratic,2.0,False,False,True
2009,house,Illinois,IL,5,Jan Donatelli,Democratic,2.0,False,False,True
2009,house,Illinois,IL,5,Frank Annunzio,Democratic,1.0,False,False,True
2009,house,Illinois,IL,5,Cary Capparelli,Democratic,1.0,False,False,True
2009,house,Illinois,IL,5,Carlos Monteagudo,Democratic,1.0,False,False,True
2009,house,Illinois,IL,5,Tom Hanson,Republican,21.0,False,False,True
2009,house,Illinois,IL,5,David Anderson,Republican,18.0,False,False,True
2009,house,Illinois,IL,5,Gregory Bedell,Republican,17.0,False,False,True
2009,house,Illinois,IL,5,Daniel Kay,Republican,10.0,False,False,True
2009,house,Illinois,IL,5,Jon Stewart,Republican,9.0,False,False,True
2009,house,Illinois,IL,5,Deb Gordils,Green,32.0,False,False,True
2009,house,Illinois,IL,5,Mark Fredrickson,Green,14.0,False,False,True
2009,house,Illinois,IL,5,Alan Augustson,Green,13.0,False,False,True
2009,house,Illinois,IL,5,Simon Ribeiro,Green,8.0,False,False,True
2009,house,New York,NY,20,Scott Murphy,New York State Democratic Committee,,False,False,True
2009,house,New York,NY,20,Jim Tedisco,New York Republican State Committee,,False,False,True
2009,house,New York,NY,23,Bill Owens,Democratic,,False,False,True
2009,house,New York,NY,23,Doug Hoffman,Conservative,46.0,False,False,True
2009,house,New York,NY,23,Dede Scozzafava,Republican,,False,False,True
