year,level,state,state_code,district,candidate,party,percentage,winner,incumbent,open_seat
1972,house,Alaska,AK,AL,Nick Begich,Democratic,56.2,True,True,False
1972,house,Alaska,AK,AL,Don Young,Republican,43.8,False,False,False
1972,house,Arizona,AZ,1,John Jacob Rhodes,Republican,57.3,True,True,False
1972,house,Arizona,AZ,2,Mo Udall,Democratic,63.5,True,True,False
1972,house,Arizona,AZ,3,Sam Steiger,Republican,63.0,True,True,False
1972,house,Arizona,AZ,4,John Bertrand Conlan,Republican,53.0,True,False,True
1972,house,Arkansas,AR,1,William Vollie Alexander Jr.,Democratic,100.0,True,True,False
1972,house,Arkansas,AR,2,Wilbur Mills,Democratic,100.0,True,True,False
1972,house,Arkansas,AR,3,John Paul Hammerschmidt,Republican,77.3,True,True,False
1972,house,Arkansas,AR,4,Ray Thornton,Democratic,83.0,True,False,True
1972,house,California,CA,1,Donald H. Clausen,Republican,62.2,True,True,False
1972,house,California,CA,1,Peace and Freedom,Unknown,3.7,False,False,False
1972,house,California,CA,2,Harold T. Johnson,Democratic,68.3,True,True,False
1972,house,California,CA,3,John E. Moss,Democratic,69.9,True,True,False
1972,house,California,CA,4,Robert L. Leggett,Democratic,67.4,True,True,False
1972,house,California,CA,5,Phillip Burton,Democratic,81.8,True,True,False
1972,house,California,CA,6,William S. Mailliard,Republican,52.0,True,True,False
1972,house,California,CA,6,Roger Boas,Democratic,48.0,False,False,False
1972,house,California,CA,7,Ron Dellums,Democratic,56.0,True,True,False
1972,house,California,CA,8,Pete Stark,Democratic,52.9,True,False,False
1972,house,California,CA,9,Don Edwards,Democratic,72.3,True,True,False
1972,house,California,CA,10,Charles S. Gubser,Republican,64.6,True,True,False
1972,house,California,CA,11,Leo Ryan,Democratic,60.4,True,False,True
1972,house,California,CA,12,Burt L. Talcott,Republican,54.0,True,True,False
1972,house,California,CA,13,Charles M. Teague,Republican,73.9,True,True,False
1972,house,California,CA,14,Jerome Waldie,Democratic,77.6,True,True,False
1972,house,California,CA,15,John J. McFall,Democratic,100.0,True,True,False
1972,house,California,CA,16,B. F. Sisk,Democratic,79.1,True,True,False
1972,house,California,CA,17,Pete McCloskey,Republican,60.2,True,False,False
1972,house,California,CA,18,Bob Mathias,Republican,66.5,True,True,False
1972,house,California,CA,19,Chet Holifield,Democratic,67.2,True,True,False
1972,house,California,CA,19,Peace and Freedom,Unknown,4.9,False,False,False
1972,house,California,CA,20,Carlos Moorhead,Republican,57.4,True,False,True
1972,house,California,CA,21,Augustus Hawkins,Democratic,82.9,True,True,False
1972,house,California,CA,22,James C. Corman,Democratic,67.6,True,True,False
1972,house,California,CA,22,Peace and Freedom,Unknown,3.1,False,False,False
1972,house,California,CA,23,Del M. Clawson,Republican,61.4,True,True,False
1972,house,California,CA,24,John H. Rousselot,Republican,70.1,True,True,False
1972,house,California,CA,25,Charles E. Wiggins,Republican,64.9,True,True,False
1972,house,California,CA,26,Thomas M. Rees,Democratic,68.6,True,True,False
1972,house,California,CA,26,Peace and Freedom,Unknown,3.5,False,False,False
1972,house,California,CA,27,Barry Goldwater Jr.,Republican,57.4,True,True,False
1972,house,California,CA,28,Alphonzo E. Bell Jr.,Republican,60.7,True,True,False
1972,house,California,CA,28,Peace and Freedom,Unknown,1.8,False,False,False
1972,house,California,CA,29,George E. Danielson,Democratic,62.8,True,True,False
1972,house,California,CA,29,Peace and Freedom,Unknown,3.7,False,False,False
1972,house,California,CA,30,Edward R. Roybal,Democratic,68.4,True,True,False
1972,house,California,CA,30,Peace and Freedom,Unknown,3.0,False,False,False
1972,house,California,CA,31,Charles H. Wilson,Democratic,52.3,True,True,False
1972,house,California,CA,31,Peace and Freedom,Unknown,5.2,False,False,False
1972,house,California,CA,32,Craig Hosmer,Republican,65.9,True,True,False
1972,house,California,CA,32,Peace and Freedom,Unknown,2.2,False,False,False
1972,house,California,CA,33,Jerry Pettis,Republican,75.1,True,True,False
1972,house,California,CA,34,Richard T. Hanna,Democratic,67.2,True,True,False
1972,house,California,CA,34,American Independent,Unknown,3.9,False,False,False
1972,house,California,CA,35,Glenn M. Anderson,Democratic,74.8,True,False,False
1972,house,California,CA,36,William M. Ketchum,Republican,52.7,True,False,True
1972,house,California,CA,37,Yvonne Brathwaite Burke,Democratic,73.2,True,False,True
1972,house,California,CA,37,Peace and Freedom,Unknown,2.1,False,False,True
1972,house,California,CA,38,George Brown Jr.,Democratic,56.3,True,False,True
1972,house,California,CA,39,Andrew J. Hinshaw,Republican,65.7,True,False,False
1972,house,California,CA,40,Bob Wilson,Republican,67.8,True,False,False
1972,house,California,CA,40,Peace and Freedom,Unknown,1.9,False,False,False
1972,house,California,CA,41,Lionel Van Deerlin,Democratic,74.1,True,False,False
1972,house,California,CA,42,Clair Burgener,Republican,67.4,True,False,True
1972,house,California,CA,43,Victor Veysey,Republican,62.7,True,False,False
1972,house,Colorado,CO,1,Pat Schroeder,Democratic,51.6,True,False,False
1972,house,Colorado,CO,1,Mike McKevitt,Republican,47.5,False,True,False
1972,house,Colorado,CO,1,Socialist Workers,Unknown,0.2,False,False,False
1972,house,Colorado,CO,2,Donald G. Brotzman,Republican,66.3,True,True,False
1972,house,Colorado,CO,2,Socialist Workers,Unknown,0.3,False,False,False
1972,house,Colorado,CO,3,Frank Evans,Democratic,66.3,True,True,False
1972,house,Colorado,CO,4,James Paul Johnson,Republican,51.0,True,False,False
1972,house,Colorado,CO,5,William L. Armstrong,Republican,62.3,True,False,True
1972,house,Colorado,CO,5,Byron L. Johnson,Democratic,36.5,False,False,True
1972,house,Colorado,CO,5,Libertarian,Unknown,1.2,False,False,True
1972,house,Connecticut,CT,1,William R. Cotter,Democratic,56.9,True,True,False
1972,house,Connecticut,CT,1,American Independent,Unknown,1.2,False,False,False
1972,house,Connecticut,CT,2,Robert H. Steele,Republican,65.9,True,True,False
1972,house,Connecticut,CT,2,Roger Hilsman,Democratic,34.1,False,False,False
1972,house,Connecticut,CT,3,Robert Giaimo,Democratic,53.3,True,True,False
1972,house,Connecticut,CT,4,Stewart McKinney,Republican,63.1,True,True,False
1972,house,Connecticut,CT,5,Ronald A. Sarasin,Republican,51.2,True,False,False
1972,house,Connecticut,CT,5,John S. Monagan,Democratic,48.8,False,True,False
1972,house,Connecticut,CT,6,Ella Grasso,Democratic,60.2,True,True,False
1972,house,Delaware,DE,AL,Pete du Pont,Republican,62.5,True,True,False
1972,house,Delaware,DE,AL,American,Unknown,0.5,False,False,False
1972,house,Delaware,DE,AL,Prohibition,Unknown,0.1,False,False,False
1972,house,Florida,FL,1,Bob Sikes,Democratic,100.0,True,True,True
1972,house,Florida,FL,2,Don Fuqua,Democratic,100.0,True,True,False
1972,house,Florida,FL,3,Charles E. Bennett,Democratic,82.0,True,True,False
1972,house,Florida,FL,4,Bill Chappell,Democratic,55.9,True,True,False
1972,house,Florida,FL,5,Bill Gunter,Democratic,55.5,True,False,True
1972,house,Florida,FL,6,Bill Young,Republican,76.0,True,False,False
