year,level,state,state_code,district,candidate,party,percentage,winner,incumbent,open_seat
2017,house,California,CA,34,Jimmy Gomez,Democratic,25.5,True,False,True
2017,house,California,CA,34,Robert Lee Ahn,Democratic,22.2,True,False,True
2017,house,California,CA,34,Maria Cabildo,Democratic,10.1,False,False,True
2017,house,California,CA,34,Sara Hernandez,Democratic,5.6,False,False,True
2017,house,California,CA,34,Arturo Carmona,Democratic,5.2,False,False,True
2017,house,California,CA,34,Wendy Carrillo,Democratic,5.2,False,False,True
2017,house,California,CA,34,Kenneth Mejia,Green,4.6,False,False,True
2017,house,California,CA,34,Yolie Flores,Democratic,3.2,False,False,True
2017,house,California,CA,34,William Morrison,Republican,3.2,False,False,True
2017,house,California,CA,34,Tracy Van Houten,Democratic,2.5,False,False,True
2017,house,California,CA,34,Alejandra Campoverdi,Democratic,2.4,False,False,True
2017,house,California,CA,34,Vanessa Aramayo,Democratic,2.0,False,False,True
2017,house,California,CA,34,Sandra Mendoza,Democratic,1.6,False,False,True
2017,house,California,CA,34,Steven Mac,Democratic,1.6,False,False,True
2017,house,California,CA,34,Raymond Meza,Democratic,1.2,False,False,True
2017,house,California,CA,34,Mark Edward Padilla,No party preference,1.0,False,False,True
2017,house,California,CA,34,Ricardo De La Fuente,Democratic,0.8,False,False,True
2017,house,California,CA,34,Angela McArdle,Libertarian,0.7,False,False,True
2017,house,California,CA,34,Adrienne Nicole Edwards,Democratic,0.4,False,False,True
2017,house,California,CA,34,Richard Joseph Sullivan,Democratic,0.4,False,False,True
2017,house,California,CA,34,Armando Sotomayor,Democratic,0.3,False,False,True
2017,house,California,CA,34,Tenaya Wallace,Democratic,0.2,False,False,True
2017,house,California,CA,34,"Melissa ""Sharkie"" Garza",Democratic,0.2,False,False,True
2017,house,California,CA,34,Michelle Walker (write-in),Democratic,0.0,False,False,True
2017,house,Georgia,GA,6,Karen Handel,Republican,51.78,True,False,True
2017,house,Georgia,GA,6,Jon Ossoff,Democratic,48.22,False,False,True
2017,house,Kansas,KS,4,Ron Estes,Republican,52.2,True,False,True
2017,house,Kansas,KS,4,James Thompson,Democratic,46.0,False,False,True
2017,house,Kansas,KS,4,Chris Rockhold,Libertarian,1.7,False,False,True
2017,house,Montana,MT,AL,Greg Gianforte,Republican,49.95,True,False,True
2017,house,Montana,MT,AL,Rob Quist,Democratic,44.37,False,False,True
2017,house,Montana,MT,AL,Mark Wicks,Libertarian,5.68,False,False,True
2017,house,South Carolina,SC,5,Ralph Norman,Republican,51.04,True,False,True
2017,house,South Carolina,SC,5,Archie Parnell,Democratic,47.94,False,False,True
2017,house,South Carolina,SC,5,Josh Thornton,American Party (south Carolina),0.36,False,False,True
2017,house,South Carolina,SC,5,Victor Kocher,Libertarian,0.31,False,False,True
2017,house,South Carolina,SC,5,David Kulma,Green,0.27,False,False,True
2017,house,South Carolina,SC,5,Write-in,Write-in Candidate,0.07,False,False,True
2017,house,Utah,UT,3,John Curtis,Republican,58.02,True,False,True
2017,house,Utah,UT,3,Kathie Allen,Democratic,25.58,False,False,True
2017,house,Utah,UT,3,Jim Bennett,Utah,9.3,False,False,True
2017,house,Utah,UT,3,Sean Whalen,Independent,3.08,False,False,True
2017,house,Utah,UT,3,Joe Buchman,Libertarian,2.47,False,False,True
2017,house,Utah,UT,3,Jason Christensen,Independent American,1.55,False,False,True
2017,house,Utah,UT,3,Brendan Phillips,Write-in,0.01,False,False,True
2017,house,Utah,UT,3,Russell Paul Roesler,Write-in,0.0,False,False,True
